/*
kana romaji table
仮名/ロマ字(羅馬字)

see also: JIS input tool, jit.htm
*/

// ロマ字	平仮名（ひらがな）
a	あ
i	い
u	う
//e	へ
e	え
o	お
ka	か
ki	き
ku	く
ke	け
ko	こ
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
sa	さ
si	し
ci	し
shi	し
su	す
se	せ
so	そ
za	ざ
ji	じ
zu	ず
ze	ぜ
zo	ぞ
ta	た
ti	ち
chi	ち
thi	ち
tu	つ
tsu	つ
te	て
to	と
da	だ
di	ぢ
zi	ぢ
zzu	づ
de	で
do	ど
na	な
ni	に
nu	ぬ
ne	ね
no	の
ha	は
hi	ひ
hu	ふ
he	へ
ho	ほ
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
ma	ま
mi	み
mu	む
me	め
mo	も
ya	や
yu	ゆ
yo	よ
ra	ら
ri	り
ru	る
re	れ
ro	ろ
//wa	は
wa	わ
oo	を
n	ん
x	っ
kya	きゃ
kyu	きゅ
kyo	きょ
sya	しゃ
sha	しゃ
syu	しゅ
shu	しゅ
syo	しょ
sho	しょ
cha	ちゃ
chu	ちゅ
cho	ちょ
nya	にゃ
nyu	にゅ
nyo	にょ
rya	りゃ
ryu	りゅ
ryo	りょ
zya	じゃ
zyu	じゅ
zyo	じょ
ja	じゃ
ju	じゅ
jo	じょ
xa	ぁ
xi	ぃ
xu	ぅ
xe	ぇ
xo	ぉ
xka	ヵ
xya	ゃ
xyu	ゅ
xyo	ょ

// ロマ字	片仮名（カタカナ）
A	ア
I	イ
U	ウ
//E	ヘ
E	エ
O	オ
KA	カ
KI	キ
KU	ク
KE	ケ
KO	コ
GA	ガ
GI	ギ
GU	グ
GE	ゲ
GO	ゴ
SA	サ
SI	シ
CI	シ
SHI	シ
SU	ス
SE	セ
SO	ソ
ZA	ザ
ZI	ジ
ZU	ズ
ZE	ゼ
ZO	ゾ
TA	タ
TI	チ
CHI	チ
THI	チ
TU	ツ
TSU	ツ
TE	テ
TO	ト
DA	ダ
DI	ヂ
JI	ヂ
ZZU	ヅ
DE	デ
DO	ド
NA	ナ
NI	ニ
NU	ヌ
NE	ネ
NO	ノ
HA	ハ
HI	ヒ
HU	フ
HE	ヘ
HO	ホ
BA	バ
BI	ビ
BU	ブ
BE	ベ
BO	ボ
PA	パ
PI	ピ
PU	プ
PE	ペ
PO	ポ
MA	マ
MI	ミ
MU	ム
ME	メ
MO	モ
YA	ヤ
YU	ユ
YO	ヨ
RA	ラ
RI	リ
RU	ル
RE	レ
RO	ロ
WA	ワ
WWA	ヮ
OO	ヲ
N	ン
X	ッ
KYA	キャ
KYU	キュ
KYO	キョ
SYA	シャ
SHA	シャ
SYU	シュ
SHU	シュ
SYO	ショ
SHO	ショ
CHA	チャ
CHU	チュ
CHO	チョ
NYA	ニャ
NYU	ニュ
NYO	ニョ
RYA	リャ
RYU	リュ
RYO	リョ
ZYA	ジャ
ZYU	ジュ
ZYO	ジョ
JA	ジャ
JU	ジュ
JO	ジョ
XA	ァ
XI	ィ
XU	ゥ
XE	ェ
XO	ォ
XKA	ヶ
XYA	ャ
XYU	ュ
XYO	ョ

/*
aa	あぁ
-	ー
..	々
,,	ゝ
...	…
0	０
1	１
2	２
3	３
4	４
5	５
6	６
7	７
8	８
9	９
*	☆
/.	・
.	。
?	？
,	、
~	〜
^	＾
;	；
(	（
)	）
!	！
>	＞

II	私
watashi	私
watasi	私
tomo	友
tathi	達
ai	会
tw	台湾
saikin	最近
kana	仮名
onaji	同じ
nou	脳
omo	思
youbi	曜日
yakusoku	約束
hen	変
gakusei	学生
//ijiban	一番
isoga	忙
//kane	金
zotsugyo	卒業
akogare	憧れ
tanoshi	楽し
//kura	暮ら
//hunou	不能
muri	無理
suu	すぅ
ganba	頑張
deki	出来

*/
