伲	你
倮	裸
凇	淞
処	處
凼	幽
剳	劄
勛	勳
勦	剿
哌	呱
嗬	呵
嚮	向
囯	國
坂	阪
墒	墑
奬	獎
寀	采
尜	嘎
崐	崑
嵛	崳
巌	巖
幷	並
彔	录
彚	彙
捜	搜
擀	搟
暸	瞭
朮	術
桔	橘
榘	矩
槼	規
歎	嘆
氽	汆
沲	沱
浜	濱
溼	濕
炤	照
煅	鍛
獃	呆
珉	玟
珏	玨
琯	管
産	產
畲	畬
皰	疱
眎	視
礡	礴
禰	祢
稭	秸
紥	紮
綫	線
罎	罈
肀	聿
脩	修
葯	藥
蔴	麻
蝰	虺
蟮	蟺
証	證
贜	贓
躰	體
郃	合
郄	隙
鈡	鐘
鉆	鑽
銼	剉
鋻	鑑
錘	鎚
録	錄
鑒	鑑
閑	閒
閧	鬨
靣	面
騃	呆
鶏	雞
鷄	雞
！象	！像
‘	『
’	』
“	「
”	」
「恩！	「嗯！
﹁	「
﹂	」
一干就	一幹就
一斗不	一鬥不
一只只	一隻隻
一松林	一松林
一松鼠	一松鼠
人象	人像
又干又	又乾又
又松	又鬆
又象	又像
也象	也像
口干一	口幹一
口干什	口幹什
口干那	口幹那
口干活	口幹活
口干掉	口幹掉
子姜	子薑
山涯	山崖
已松	已鬆
已松下	已鬆下
已象	已像
已象征服	已像征服
干弋	干戈
干似	乾似
干坤	乾坤
干的好	幹的好
干屍	乾屍
干疤	乾疤
干面前	乾面前
干掉杯	乾掉杯
干窘	乾窘
干隆	乾隆
干瞪	乾瞪
才干了杯	才乾了杯
才干那杯	才乾那杯
才干枯	才乾枯
才干耗	才乾耗
才干脆	才乾脆
才干涸	才乾涸
才干爽	才乾爽
才不干枯	才不乾枯
才不干涸	才不乾涸
才不干燥	才不乾燥
才象	才像
丑得象	醜得像
不修篇幅	不修邊幅
不象	不像
仍象	仍像
分象	分像
升泰	昇泰
天佑	天祐
太後	太后
太象	太像
尤如	猶如
尤疑	猶疑
尤豫	猶豫
手表示	手表示
手表演	手表演
扎彩	紮彩
斗灼	斗杓
比拼	比拚
火拼	火拚
王後	王后
他白干	他白幹
他象	他像
令媛	令嬡
包函	包涵
包卷	包捲
北游	北遊
去干一杯	去乾一杯
去干了杯	去乾了杯
去干洗	去乾洗
去干耗	去乾耗
去卷	去捲
可以象	可以像
可象	可像
古法自制	古法自製
只大老鼠	隻大老鼠
只牛	隻牛
只犬	隻犬
只母老虎	隻母老虎
只羊	隻羊
只老狐狸	隻老狐狸
只老虎	隻老虎
只老鼠	隻老鼠
只兔	隻兔
只怪物	隻怪物
只招子	隻招子
只狗	隻狗
只狐狸	隻狐狸
只虎	隻虎
只狼	隻狼
只畜生	隻畜生
只鬼	隻鬼
只蛋	隻蛋
只鹿	隻鹿
只猴	隻猴
它象	它像
必游	必遊
戊戍	戊戌
未松下	未鬆下
未愈	未癒
未端	末端
正象	正像
母後	母后
玉佩	玉珮
甘乃迪	甘迺迪
生克	生剋
白白干	白白幹
白淅	白皙
白澈	白皙
目定口呆	目瞪口呆
石象	石像
石膏象	石膏像
仿徉	彷徉
仿效	倣傚
全象	全像
共制	共製
共御	共禦
再卷	再捲
再象	再像
吊考	弔考
吊系	吊繫
吊念	弔念
吊信	弔信
吐干	吐乾
吃茶	喫茶
回光反照	迴光反照
地卷	地捲
奸拐	姦拐
好象	好像
她象	她像
宅弟	宅第
宅紫	奼紫
曲薛	麴薛
朱喻	硃喻
竹框	竹筐
竹荀	竹筍
而象	而像
舟揖	舟楫
佛象	佛像
伺奉	侍奉
伸卷	伸捲
作崇	作祟
你白干	你白幹
你象	你像
低迥	低迴
伶敏	靈敏
克苦	刻苦
克剜	剋剜
即象	即像
君子好求	君子好逑
吹卷	吹捲
吮干	吮乾
彷佛	彷彿
快卷	快捲
我白干	我白幹
我象	我像
扼塞	阨塞
折卷	折捲
扮象	扮像
更象	更像
狂卷	狂捲
系引	係引
系手	繫手
系乎	繫乎
系妥	繫妥
系於	繫於
系起	繫起
肖象	肖像
谷稻	穀稻
豆鼓	豆豉
身系	身繫
巡戈	巡弋
劭雍	邵雍
事干涉	事干涉
事干脆	事乾脆
些象	些像
函洞	涵洞
函容	涵容
函意	涵意
函煦	涵煦
函管	涵管
函蓄	涵蓄
函濡	涵濡
刻象	刻像
刻象征服	刻像征服
制丹	製丹
制器	製器
卒草	捽草
卒悉	窣窸
卷出	捲出
卷伏	捲伏
卷向	捲向
卷好	捲好
卷至	捲至
卷伴	捲伴
卷身	捲身
卷往	捲往
卷拂	捲拂
卷射	捲射
卷得	捲得
卷碎	捲碎
卷罩	捲罩
卷舞	捲舞
卷裹	捲裹
呷干	呷乾
呼卷	呼捲
周息	週息
姓於	姓于
岳立	嶽立
岳峙	嶽峙
弦管	絃管
彼彼皆是	比比皆是
忽松	忽鬆
所扎	所紮
所卷	所捲
抹台	抹檯
抬扛	抬摃
於小姐	于小姐
於氏	于氏
於先生	于先生
於於	于于
於嗟	于嗟
易斗的	易鬥的
昏瞑	昏暝
松化	鬆化
松去	鬆去
松甩	鬆甩
松肘	鬆肘
松泛	鬆泛
松肩	鬆肩
松骨	鬆骨
松筋	鬆筋
