"000","中央銀行國庫局","6位\n繳存國庫款類14位","台北市羅斯福路一段２號","02 23571064"
"004","臺灣銀行","12位\n信用卡14位","台北市重慶南路一段１２０號","02 23493399"
"005","臺灣土地銀行","存款類12位\n放款類13位","台北市館前路４６號","02 23483456"
"006","合作金庫商業銀行","存款類一、放款類一13位","台北市館前路７７號","02 23118811"
"007","第一商業銀行","存款類11位\n代收專戶14位","台北市重慶南路一段３０號","02 23613611"
"008","華南商業銀行","12位","台北市重慶南路一段３８號","02 23713111"
"009","彰化商業銀行","支存類14位\n存款類14位","台中市自由路二段３８號","04 22222001"
"011","上海商業儲蓄銀行","14位","台北市民權東路一段２號","02 25817111"
"012","台北富邦商業銀行","存款類12位\n放款類14位","台北市仁愛路四段１６９號","02 27716699"
"013","國泰世華商業銀行","存款類一12位\n存款類二11位\n存款類三14位","台北市信義區松仁路７號","02 23125555"
"016","高雄銀行","12位","高雄市博愛二路１６８號","07 5570535"
"017","兆豐國際商業銀行","存款類11位\n代收類14位","台北市吉林路１００號","02 25633156"
"018","全國農業金庫","14位","台北市館前路７１號","02 23805100"
"020","日商瑞穗實業銀行台北分行","存款類14位","台北市敦化北路１６７號","02 27153911"
"021","花旗（台灣）商業銀行","信用卡專戶14位\n10位","台北市松智路一號１樓","02 87297100"
"022","美國銀行台北分行","8位\n14位","台北市信義路５段７號４３樓","02 81011288"
"023","泰國盤谷銀行台北分行","存款類、其他業務13位","台北市松江路１２１號","02 25073275"
"025","菲律賓首都銀行台北分行","存款類11位\n外籍勞工約定專戶類13位\n放款類14位","台北市忠孝東路四段１０７號２Ｆ","02 27766355"
"037","法國興業銀行台北分行","12位","台北市民生東路３段１０９號７樓","02 21750000"
"039","荷商荷蘭銀行台北分行","企業金融部 7位\n消費金融部9-14位\n信用卡專戶14位","台北市松仁路７號１８樓","02 87225090/"
"040","中華開發工業銀行","14位","台北市南京東路五段１２５號","02 27638800"
"048","台灣工業銀行","12位","台北市內湖區堤頂大道２段９９號","02 87527000"
"050","臺灣中小企業銀行","11位","台北市塔城街３０號","02 25597171"
"052","渣打國際商業銀行","12位\n11位\n14位","新竹市中央路１０６號六樓","03 5245131"
"053","台中商業銀行","12位","台中市西區民權路８７號","04 22236021"
