"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"004","臺灣銀行","12位\n信用卡14位","台北市重慶南路一段１２０號","02 23493399"
"通匯金融代號","支單位名稱","地址","電話"
"0040037","營業部","台北市重慶南路一段１２０號","02 23493456"
"0040059","公庫部","台北市貴陽街一段１２０號","02 23494123"
"0040071","館前分行","台北市館前路４９號","02 23812949"
"0040093","台南分行","台南市府前路一段１５５號","06 2160168"
"0040107","台中分行","台中市自由路一段１４０號","04 22224001"
"0040118","高雄分行","高雄市中正四路２６４號","07 2515131"
"0040129","基隆分行","基隆市義一路１６號","02 24247113"
"0040130","中興新村分行","南投縣南投市中興新村光華路１１號","0492332101"
"0040141","嘉義分行","嘉義市中山路３０６號","05 2224471"
"0040152","新竹分行","新竹市林森路２９號","03 5266161"
"0040163","彰化分行","彰化縣彰化市成功路１３０號","04 7225191"
"0040174","屏東分行","屏東縣屏東市中山路４３號","08 7328141"
"0040185","花蓮分行","花蓮縣花蓮市公園路３號","03 8322151"
"0040196","延平分行","台北市南京西路４０６號","02 25522859"
"0040200","中山分行","台北市中山北路一段１５０號","02 25423434"
"0040211","高雄加工出口區分行","高雄市高雄加工出口區中一路１號","07 8215141"
"0040222","宜蘭分行","宜蘭縣宜蘭市中山路１號","03 9355121"
"0040233","台東分行","台東縣台東市中山路３１３號","089324201"
"0040244","澎湖分行","澎湖縣馬公市仁愛路２４號","06 9279935"
"0040255","鳳山分行","高雄縣鳳山市曹公路２０號","07 7416131"
"0040266","桃園分行","桃園縣桃園市中正路４６號","03 3352801"
"0040277","板橋分行","台北縣板橋市府中路２１號","02 29680172"
"0040288","新營分行","台南縣新營市中正路８號","06 6351111"
"0040299","苗栗分行","苗栗縣苗栗市中正路５１０號","037326791"
"0040303","豐原分行","台中縣豐原市中正路３０２號","04 25278686"
"0040314","斗六分行","雲林縣斗六市文化路２７號","05 5324155"
"0040325","南投分行","南投縣南投市復興路１０１號","0492232121"
"0040336","南門分行","台北市南昌街一段１２０號","02 23512121"
"0040347","公館分行","台北市羅斯福路四段１２０號","02 23672581"
"0040358","左營分行","高雄市左營大路１９號","07 5819141"
"0040369","北投分行","台北市北投區中央南路一段１５２號","02 28951200"
"0040370","霧峰分行","台中縣霧峰鄉中正路８３８號","04 23302216"
"0040381","金門分行","金門縣金湖鎮復興路４號","08 2333711"
"0040392","馬祖分行","連江縣馬祖南竿介壽村文化路２５７號","08 3626046"
"0040406","安平分行","台南市中正路２４０號１－４樓","06 2292181"
"0040417","中壢分行","桃園縣中壢市延平路５８０號","03 4252161"
"0040428","三重分行","台北縣三重市重新路四段３９號","02 29719621"
"0040439","頭份分行","苗栗縣頭份鎮中正路６５號","037663451"
"0040440","前鎮分行","高雄市前鎮區擴建路１∣３號","07 8115171"
"0040451","城中分行","台北市青島東路４７號","02 23218934"
"0040462","民權分行","台北市承德路二段１６４號","02 25530121"
"0040473","潭子分行","台中縣潭子鄉建國路１號","04 25323133"
"0040484","永和分行","台北縣永和市永和路一段９７號","02 29216611"
"0040495","員林分行","彰化縣員林鎮民生路６３號","04 8323191"
"0040509","松江分行","台北市松江路１１５號","02 25069421"
"0040510","鼓山分行","高雄市臨海一路２３號","07 5218291"
"0040521","龍山分行","台北市康定路３８０號","02 23088111"
"0040532","忠孝分行","台北市敦化南路一段２０２號","02 27516091"
"0040543","信義分行","台北市信義路二段８８號","02 23515486"
"0040554","復興分行","台中市復興路四段１０２號","04 22244181"
"0040565","三民分行","高雄市三民區九如二路５６７號","07 3127143"
"0040576","台中港分行","台中縣梧棲鎮梧棲路４７號","04 26562311"
"0040587","羅東分行","宜蘭縣羅東鎮公正路９３號","03 9576866"
"0040598","埔里分行","南投縣埔里鎮東榮路１１２號","0492983991"
"0040602","岡山分行","高雄縣岡山鎮壽天路１６號","07 6216141"
"0040613","新興分行","高雄市新興區民族二路１３３號","07 2384611"
"0040624","苓雅分行","高雄市苓雅區青年一路２６１號","07 3358700"
"0040646","松山分行","台北市忠孝東路四段５６０號","02 27293111"
"0040657","健行分行","台中市中正路１４４號","04 22242141"
"0040668","中和分行","台北縣中和市中山路二段２５３號","02 22488980"
"0040679","太保分行","嘉義縣太保市祥和新村祥和一路２號","05 3620016"
"0040680","竹北分行","新竹縣竹北市光明六路１６號","03 5513111"
"0040705","士林分行","台北市士林區中山北路六段２４８號","02 28367080"
"0040716","新莊分行","台北縣新莊市新泰路８５號","02 22056699"
"0040727","大甲分行","台中縣大甲鎮文武路１０號","04 26868111"
"0040738","新竹科學園區分行","新竹市新竹科學園區工業東六路５號二樓","03 5770050"
"0040749","樹林分行","台北縣樹林市中山路一段１６６號","02 26866511"
"0040750","新店分行","台北縣新店市寶中路４５號","02 29180795"
"0040794","黎明分行","台中市南屯區黎明路３７號６之１","04 22551178"
"0040808","民生分行","台北市復興北路１６７號","02 27192081"
"0040819","永康分行","台南縣永康市小東路５１３號","06 3125411"
"0040820","三多分行","高雄市新光路１４２號","07 3349341"
"0040853","台北世貿中心分行","台北市基隆路一段３３３號三樓","02 27200315"
"0040864","大安分行","台北市信義路四段１６５號","02 27553121"
"0040875","華江分行","台北縣板橋市中山路一段２９３∣２號","02 29610101"
"0040886","潮州分行","屏東縣潮州鎮新生路１３之２號","08 7883084"
"0040897","蘇澳分行","宜蘭縣蘇澳鎮中山路９７號","03 9962566"
"0040901","大雅分行","台中縣大雅鄉民生路２１０號","04 25683330"
"0040912","楠梓分行","高雄市楠梓區楠梓路２０１號１－３樓","07 3532115"
"0040923","台中工業區分行","台中市工業區一路１９６號","04 23597850"
"0041067","敦化分行","台北市敦化北路２０５號","02 25455111"
"0041078","南港分行","台北市南港路二段９５號","02 26516706"
"0041089","和平分行","台北市和平東路一段２３８號","02 23687027"
"0041090","水湳分行","台中市崇德路二段４６號","04 22468130"
"0041104","中崙分行","台北市南京東路五段１０８號","02 27698618"
"0041115","土城分行","台北縣土城市中央路二段３４４號","02 22703791"
"0041159","桃園國際機場分行","桃園縣大園鄉航站南路１５號","03 3982166"
"0041160","大昌分行","高雄市大順二路４１７號","07 3891036"
"0041182","五甲分行","高雄縣鳳山市五甲二路１６８號","07 7170730"
"0041193","博愛分行","高雄市左營區裕誠路３９４號","07 5567690"
"0041207","中庄分行","高雄縣大寮鄉鳳屏一路２９５號","07 7038838"
"0041218","平鎮分行","桃園縣平鎮市環南路二段１１號","03 4945688"
"0041229","仁愛分行","台北市仁愛路二段９９號","02 23975936"
"0041230","南崁分行","桃園縣蘆竹鄉南崁路一段８１號","03 3529191"
"0041241","圓山分行","台北市中山北路三段３１號","02 25976699"
"0041355","五股分行","台北縣五股鄉中興路四段４２號","02 22936699"
"0041366","大里分行","台中縣大里市國光路二段４８１號","04 24180211"
"0041377","安南分行","台南市安和路二段２９８號１－３樓","06 3555111"
"0041414","西屯分行","台中市西屯區青海路二段４１號","04 23128528"
"0041425","天母分行","台北市中山北路七段１８號","02 28755222"
"0041436","鹿港分行","彰化縣鹿港鎮鹿工路２號","04 7810168"
"0041447","內壢分行","桃園縣中壢市興農路１２５號","03 4618519"
