"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"007","第一商業銀行","存款類11位\n代收專戶14位","台北市重慶南路一段３０號","02 23613611"
"通匯金融代號","支單位名稱","地址","電話"
"0070937","營業部","台北市重慶南路一段３０號","02 23481111"
"0070948","安和分行","台北市信義路四段１８４號","02 23256000"
"0071015","南港分行","台北市南港區園區路３號２樓之８","02 26558777"
"0071026","西門分行","台北市西寧南路５２號","02 23119111"
"0071037","忠孝路分行","台北市忠孝東路二段９４號","02 23416111"
"0071059","東湖簡易型分行","台北市民權東路六段４８３號","02 26348811"
"0071060","景美分行","台北市文山區景中街２８號","02 29303011"
"0071071","大直分行","台北市中山區明水路５８８號","02 85095611"
"0071118","大稻埕分行","台北市迪化街一段６３號","02 25553711"
"0071130","信維分行","台北市復興南路一段３６８號","02 27557241"
"0071211","建成分行","台北市承德路一段４０號","02 25556231"
"0071299","華山分行","台北市中山區長安東路１段２２號","02 25368111"
"0071314","大同分行","台北市重慶北路三段５６號","02 25913251"
"0071358","劍潭分行","台北市承德路４段１５２號","02 28802468"
"0071406","圓山分行","台北市民權西路５３號","02 25979234"
"0071417","中山分行","台北市中山北路二段６１號","02 25211111"
"0071428","中崙分行","台北市南京東路五段１８８號","02 27606969"
"0071439","南京東路分行","台北市南京東路二段１２５號","02 25062111"
"0071440","城東分行","台北市南京東路三段１０３號","02 25062881"
"0071451","民生分行","台北市松山區民生東路３段１３１號","02 27138512"
"0071462","松江分行","台北市松江路３０９號","02 25017171"
"0071473","民權分行","台北市復興北路３６５號一樓","02 27192009"
"0071484","八德分行","台北市敦化南路一段３號","02 25793616"
"0071495","長春分行","台北市復興北路１６９號","02 27192132"
"0071509","內湖分行","台北市內湖區成功路三段１４３、１４５號","02 27932311"
"0071510","松山分行","台北市八德路四段７６０號","02 27674111"
"0071521","延吉分行","台北市忠孝東路四段２８９號","02 27315741"
"0071532","光復分行","台北市光復北路１６號","02 25773323"
"0071554","興雅分行","台北市永吉路１６７號","02 27655935"
"0071576","永春分行","台北市信義區忠孝東路五段４００號","02 27208696"
"0071587","內科園區分行","台北市內湖路一段３８８號","02 87978711"
"0071598","吉林簡易型分行","台北市長安東路二段９９號","02 25123111"
"0071602","仁愛分行","台北市仁愛路四段５０號","02 27023111"
"0071613","大安分行","台北市信義區基隆路二段４８號","02 27298111"
"0071624","信義分行","台北市信義路二段１６８號","02 23216811"
"0071635","復興分行","台北市中山區復興南路一段３６號之十","02 27722345"
"0071646","敦化分行","台北市敦化南路二段２６７號","02 27362711"
"0071657","仁和分行","台北市仁愛路四段３７６號","02 27556556"
"0071668","世貿分行","台北市敦化南路二段６５號","02 27849811"
"0071679","木柵分行","台北市保儀路１２號","02 22345101"
"0071680","松貿分行","台北市信義路五段１８號","02 27236111"
"0071691","新湖分行","台北市內湖區行愛路１５９號","02 27931811"
"0071716","古亭分行","台北市羅斯福路二段９５號","02 23695222"
"0071727","南門分行","台北市南昌路一段９４號","02 23947162"
"0071738","公館分行","台北市大安區羅斯福路３段２９３號","02 23623111"
"0071761","和平分行","台北市大安區和平東路２段１５１號","02 27035111"
"0071819","萬華分行","台北市康定路８７號","02 23719221"
"0071831","雙園分行","台北市中華路二段４２號","02 23068620"
"0071901","天母分行","台北市士林區忠誠路１段６２號","02 28369898"
"0071912","北投分行","台北市北投區光明路１３３號","02 28913921"
"0071923","士林分行","台北市士林區中正路４５８號","02 28370011"
"0071934","建國分行","台北市民生東路二段１６１號","02 25060110"
"0071945","萬隆簡易型分行","台北市興隆路二段３４７號","02 29326478"
"0071956","石牌分行","台北市北投區明德路１００號","02 28209111"
"0072012","板橋分行","台北縣板橋市四川路一段１０７號","02 29615171"
"0072023","華江分行","台北縣板橋市文化路一段３２９號","02 22578091"
"0072034","樹林分行","台北縣樹林市中山路一段２７之７號","02 26833191"
"0072056","土城分行","台北縣土城市中央路三段２０８號","02 22679611"
"0072067","江子翠分行","台北縣板橋市文化路二段３８８號","02 82570111"
"0072115","三重埔分行","台北縣三重市三和路三段７０號","02 29822111"
"0072126","長泰分行","台北縣三重市重新路二段９９號","02 29884433"
"0072137","蘆洲分行","台北縣蘆洲市中山一路１２號","02 82826788"
"0072148","頭前分行","台北縣新莊市化成路３２０號","02 22762311"
"0072159","五股分行","台北縣五股鄉四維路９０號","02 29845577"
"0072160","重陽分行","台北縣三重市重陽路一段８９號","02 29868822"
"0072171","五股工業區分行","台北縣五股鄉五工路１１７號","02 22997811"
"0072182","淡水分行","台北縣淡水鎮中山路８４號","02 26202611"
"0072218","新店分行","台北縣新店市中興路三段１３４號","02 29181835"
"0072229","吉成分行","台北縣新店市民權路８２號","02 22184651"
"0072300","泰山分行","台北縣泰山鄉明志路一段１３５號","02 29097111"
"0072311","新莊分行","台北縣新莊市中正路３１６號","02 29929001"
"0072322","鶯歌分行","台北縣鶯歌鎮仁愛路一號","02 26791921"
"0072333","中和分行","台北縣中和市中山路二段１５２號","02 22495011"
"0072344","永和分行","台北縣永和市福和路２９６號","02 29221711"
"0072355","雙和分行","台北縣中和市安樂路８９號","02 29408000"
"0072366","連城分行","台北縣中和市連城路２５８號","02 82272111"
"0072377","瑞芳分行","台北縣瑞芳鎮明燈路三段７６號","02 24967711"
"0072388","埔墘分行","台北縣板橋市民生路一段３號","02 29599211"
"0072399","丹鳳分行","台北縣新莊市中正路６６９之１號","02 29021111"
"0072414","基隆分行","基隆市孝三路１０３號","02 24279121"
"0072436","哨船頭分行","基隆市中正區義一路５７號","02 24266141"
"0072458","汐止分行","台北縣汐止鎮大同路一段２８０號","02 26471688"
"0072517","宜蘭分行","宜蘭縣宜蘭市中山路三段７７號","03 9324111"
"0072610","羅東分行","宜蘭縣羅東鎮中正路１６５號","03 9545611"
"0072621","蘇澳分行","宜蘭縣蘇澳鎮中山路一段１２號","03 9962711"
"0072713","桃園分行","桃園縣桃園市民族路５５號","03 3326111"
"0072724","北桃分行","桃園縣桃園市三民路二段２５８號","03 3353131"
"0072791","大湳分行","桃園縣八德市介壽路一段９１９號","03 3661966"
"0072805","內壢分行","桃園縣中壢市信義路１１７號","03 4552410"
"0072816","中壢分行","桃園縣中壢市中正路１４６號","03 4225111"
"0072827","西壢分行","桃園縣中壢市中央西路二段３０號","03 4918111"
"0072838","平鎮分行","桃園縣中壢市環西路６８號","03 4939211"
"0072849","大園分行","桃園縣大園鄉新生路６３號","03 3857111"
"0072850","南崁分行","桃園縣蘆竹鄉中正路１１２號","03 3216882"
"0072872","迴龍分行","桃園縣龜山鄉萬壽路一段１６１號","02 82006111"
"0072908","林口分行","桃園縣龜山鄉文化三路６８號","03 3186611"
"0072919","大溪分行","桃園縣大溪鎮康莊路１１１號","03 3882101"
"0072920","龍潭分行","桃園縣龍潭鄉中正路８０號","03 4991111"
"0073019","新竹分行","新竹市英明街３號","03 5226111"
"0073020","東門分行","新竹市東門街２１６號","03 5249211"
"0073031","竹科分行","新竹市光復路一段６１１號","03 5637111"
"0073112","竹東分行","新竹縣竹東鎮東林路３０號","03 5963251"
"0073123","關西分行","新竹縣關西鎮正義路１８號","03 5872411"
"0073134","竹北分行","新竹縣竹北市中正東路１７６號","03 5559111"
"0073215","苗栗分行","苗栗縣苗栗市中正路６０１號","037322411"
"0073318","竹南分行","苗栗縣竹南鎮民族街５３號","037477111"
"0073329","頭份分行","苗栗縣頭份鎮中正路６７號","037672611"
"0074016","台中分行","台中市自由路一段１４４號","04 22233611"
"0074027","南台中分行","台中市復興路四段３３號","04 22231111"
"0074038","北台中分行","台中市中正路２７１號","04 22238111"
"0074049","中港分行","台中市台中港路二段６０之７號","04 23136111"
"0074050","北屯分行","台中市文心路四段６９６號","04 22366111"
"0074061","進化分行","台中市進化北路２３６號","04 22300311"
"0074072","南屯分行","台中市南屯區五權西路２段６６８號","04 23801515"
"0074119","豐原分行","台中縣豐原市中山路４２３號","04 25225111"
"0074120","大里分行","台中縣大里市東榮路４３號","04 24838111"
"0074153","中科分行","台中縣大雅鄉中科路６號之３","04 25659111"
