"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"011","上海商業儲蓄銀行","14位","台北市民權東路一段２號","02 25817111"
"通匯金融代號","支單位名稱","地址","電話"
"0110026","營業部","台北市民權東路一段２號","02 25817111"
"0110037","儲蓄部","台北市民生東路二段１４９號","02 25159111"
"0110048","高雄分行","高雄市中正三路６１號","07 2315111"
"0110060","城中分行","台北市館前路２８號","02 23123111"
"0110082","台中分行","台中市三民路二段４６號","04 22214111"
"0110093","東台北分行","台北市松江路８９號","02 25152111"
"0110107","台南分行","台南市金華路二段３０５號","06 2636111"
"0110118","桃園分行","桃園縣桃園市三民路三段１７８號","03 3369111"
"0110129","北高雄分行","高雄市明華路３１７號","07 9618111"
"0110130","三重分行","台北縣三重市自強路一段１０５號","02 29826111"
"0110141","板橋分行","台北縣板橋市中正路６９號","02 29657111"
"0110152","永和分行","台北縣永和市福和路２９５號","02 22312111"
"0110163","員林分行","彰化縣員林鎮中山路二段３６０號","04 8335111"
"0110185","信義分行","台北市敦化南路二段４０號","02 27018111"
"0110196","民生分行","台北市復興北路２０３號","02 25465111"
"0110200","忠孝分行","台北市敦化南路一段２２５號","02 27409111"
"0110211","龍山分行","台北市成都路６０號","02 23115111"
"0110222","內湖分行","台北市內湖區成功路四段１６６號","02 27921111"
"0110233","中山分行","台北市南京東路一段４６號","02 25625111"
"0110244","仁愛分行","台北市仁愛路２段１６號","02 23933111"
"0110255","新莊分行","台北縣新莊市中平路８５號","02 89912111"
"0110266","中壢分行","桃園縣中壢市中美路一段１８號","03 4263111"
"0110288","松山分行","台北市八德路四段３１９號","02 27679111"
"0110299","新店分行","台北縣新店市民權路７５號","02 86657111"
"0110303","前金分行","高雄市成功一路４２０號","07 2721111"
"0110314","松南分行","台北市信義路四段２７５號","02 27037111"
"0110325","蘆洲分行","台北縣蘆洲市三民路２４９號","02 22890111"
"0110336","中和分行","台北縣中和市中山路二段１４６號","02 22469111"
"0110347","新竹分行","新竹市北大路１１５號１樓","03 5324111"
"0110358","中港分行","台中市中港路一段３４５號","04 23268111"
"0110369","士林分行","台北市中正路３２８號","02 28336111"
"0110370","東台南分行","台南市民族路二段６６號","06 2237111"
"0110381","永康分行","台南縣永康市小東路６８９號","06 3121111"
"0110392","北三重分行","台北縣三重市自強路四段４５號","02 22862111"
"0110406","南京東路分行","台北市南京東路四段１６３號","02 25467111"
"0110417","大里分行","台中縣大里市益民路二段１２７號","04 24824111"
"0110428","土城分行","台北縣土城市金城路三段５０號","02 22636111"
"0110439","世貿分行","台北市松德路１７１號之６","02 27597111"
"0110440","承德分行","台北市承德路二段７７號","02 25506111"
"0110451","汐止分行","台北縣汐止市新台五路一段８１號之２","02 26983111"
"0110462","屏東分行","屏東縣屏東市中正路４６８號","08 7385111"
"0110473","三民分行","台北市民生東路五段１４１號","02 27487111"
"0110484","華江分行","台北縣板橋市莊敬路５８號","02 22564111"
"0110495","豐原分行","台中縣豐原市三民路９５號","04 25240111"
"0110509","鳳山分行","高雄縣鳳山市光遠路１６３號","07 7105111"
"0110510","天母分行","台北市中山北路七段１２５號","02 28739111"
"0110521","樹林分行","台北縣樹林市樹新路１７號","02 26877111"
"0110532","基隆分行","基隆市仁二路２０５號","02 24277111"
"0110543","楊梅分行","桃園縣楊梅鎮新成路１２５號","03 4880111"
"0110554","內湖科技園區分行","台北市內湖區堤頂大道二段２５７號","02 26576111"
"0110565","北中和分行","台北縣中和市中山路三段１０６號","02 22287111"
"0110576","西湖分行","台北市瑞光路１８８巷４６號","02 26599111"
"0110598","二重分行","台北縣三重市重新路五段６０９巷１０－２號","02 22787111"
"0110602","延平簡易型分行","桃園縣中壢市延平路５５１號","03 4262111"
"0110613","南崁簡易型分行","桃園縣龜山鄉民生北路一段５３８號","03 2121111"
"0110624","南港分行","台北市南港區重陽路２００號","02 27832111"
"0110635","北新竹分行","新竹縣新埔鎮中正路１９６號","03 5880111"
"0110657","宜蘭分行","宜蘭縣五結鄉中正路一段１６０號","03 9532111"
"0110668","文山分行","台北市羅斯福路五段２５１號１樓","02 86632111"
"0110680","敦北分行","台北市松山區民權東路３段１４２號","02 27168111"
