"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"016","高雄銀行","12位","高雄市博愛二路１６８號","07 5570535"
"通匯金融代號","支單位名稱","地址","電話"
"0161017","營業部","高雄市博愛二路１６８號","07 5570535"
"0161028","公庫部","高雄市四維三路２號","07 3360408"
"0161039","七賢分行","高雄市七賢二路３９６號","07 2517012"
"0161040","國外部","高雄市中華四路５１號２樓","07 5355375"
"0161051","信託部","高雄市六合一路２７號２Ｆ","07 2385188"
"0162003","鳳山分行","高雄縣鳳山市青年路二段３６２─６號","07 7763688"
"0162025","前金分行","高雄市六合二路１４５號","07 2861136"
"0162036","三民分行","高雄市博愛一路２８７號","07 3218814"
"0162081","左營分行","高雄市左營大路４７９號","07 5819131"
"0162106","小港分行","高雄市小港路１５８號","07 8122268"
"0162117","桃園分行","桃園縣桃園市民生路４１３號","03 3381288"
"0162128","前鎮分行","高雄市民權二路１８０號","07 3327131"
"0162139","右昌分行","高雄市軍校路７８０號之２","07 3637478"
"0162140","灣內分行","高雄市大順二路４７０號","07 3865905"
"0162151","屏東分行","屏東縣屏東市中正路１５２之１號","08 7368811"
"0162162","桂林分行","高雄市小港區桂陽路３３２號","07 7931616"
"0162173","六合分行","高雄市六合一路２７號","07 2384888"
"0162184","楠梓分行","高雄市建楠路１４１號","07 3524391"
"0162195","鼓山分行","高雄市九如四路１０１８號","07 5321001"
"0162209","建國分行","高雄市建國一路１９９號","07 2230511"
"0162210","九如分行","高雄市陽明路４５９號","07 3812499"
"0162221","鹽埕簡易型分行","高雄市鹽埕區大仁路６號","07 5511061"
"0162232","草衙分行","高雄市漁港路５２號","07 8413847"
"0162243","板橋分行","台北縣板橋市四川路２段１００號","02 89671250"
"0162254","台南分行","台南市安平區慶平路１９１號","06 2955588"
"0162265","三多分行","高雄市三多二路１７１號","07 7511168"
"0162276","大發分行","高雄縣大寮鄉鳳林三路４８０號","07 7861899"
"0162287","大直分行","台北市中山區敬業一路９７號","02 85021656"
"0162298","台中分行","台中市惠中路三段６９號","04 22522588"
"0162313","旗津簡易型分行","高雄市旗津區通山路５４號","07 5718263"
"0162324","南高雄分行","高雄市中華四路５１號","07 3301060"
"0162335","大昌分行","高雄市大昌二路７１號","07 3807306"
"0162346","新竹分行","新竹市民族路２２號","03 5230333"
"0162357","市府分行","高雄市苓雅區四維三路２號","07 3350260"
"0162379","中和分行","台北縣中和市建一路１９８號","02 82271399"
"0162380","台北分行","台北市松江路１６８號","02 25630101"
"0162405","明誠分行","高雄市三民區明誠一路１６８號","07 3595336"
"0162416","北高雄分行","高雄市民族一路１０１２號","07 3599291"
"0162450","博愛分行","台北市中正區博愛路３８號１樓","02 23751188"
