"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"050","臺灣中小企業銀行","11位","台北市塔城街３０號","02 25597171"
"通匯金融代號","支單位名稱","地址","電話"
"0500016","吉林分行","台北市民權東路二段４６號","02 25417171"
"0500027","中和分行","台北縣中和市景平路６３４之１０號","02 22427171"
"0500038","博愛分行","高雄市明誠二路４１９號","07 5567171"
"0500049","北桃園分行","桃園縣桃園市春日路９８５號","03 3567171"
"0500050","南崁分行","桃園縣蘆竹鄉中正路３８１號","03 3227171"
"0500061","西屯分行","台中市台中港路三段１０７號","04 23587171"
"0500072","忠明分行","台中市忠明南路３０１號","04 23057171"
"0500108","營業部","台北市塔城街３０號","02 25597171"
"0500119","大雅分行","台中縣大雅鄉大雅路１６１號","04 25687171"
"0500120","仁大分行","高雄市鳳楠路１８３號","07 3537171"
"0500201","仁愛分行","台北市仁愛路四段３５７號","02 27217171"
"0500212","松山分行","台北市南京東路四段１４７號","02 27167171"
"0500223","建成分行","台北市南京西路７６號","02 25507171"
"0500234","士林分行","台北市士林區中正路６０１號","02 28117171"
"0500245","永和分行","台北縣永和市竹林路１６８號","02 29277171"
"0500256","新店分行","台北縣新店市中興路２段１９２號","02 29117171"
"0500267","新莊分行","台北縣新莊市中華路一段一六號","02 29907171"
"0500278","化成分行","台北縣新莊市頭前路二十五號一、二樓","02 29977171"
"0500407","松江分行","台北市松江路１５８號","02 25377171"
"0500500","台北分行","台北市重慶南路一段７２號","02 23717171"
"0500603","萬華分行","台北市廣州街１４６號","02 23387171"
"0500614","南台北分行","台北市羅斯福路二段９３號","02 23697171"
"0500706","復興分行","台北市復興南路一段３９０號","02 27057171"
"0500809","中山分行","台北市長春路１７號","02 25517171"
"0500810","建國分行","台北市民權東路三段４號","02 25097171"
"0500821","內湖分行","台北市內湖路一段３６０巷１５號","02 27997171"
"0500902","南京東路分行","台北市南京東路三段３１１號","02 27127171"
"0501002","忠孝分行","台北市忠孝東路３段２６７號","02 27727171"
"0501013","東台北分行","台北市八德路四段１３５號１樓","02 87877171"
"0501024","世貿分行","台北市光復南路５４７號","02 23457171"
"0501035","永春分行","台北市忠孝東路五段５５２號","02 23467171"
"0501057","南港分行","台北市三重路１９之２號","02 26553771"
"0501105","松南分行","台北市基隆路一段１６１號","02 27647171"
"0501116","東湖分行","台北市內湖區民權東路６段１５２號","02 87929771"
"0501208","大安分行","台北市敦化南路二段９２號","02 27007171"
"0501219","雙和分行","台北縣中和市中和路３５６號","02 22327171"
"0501220","錦和分行","台北縣中和市中山路二段４０３號","02 22287171"
"0501301","五股分行","台北縣新莊市五股工業區五工路９５號","02 22987171"
"0501312","林口分行","台北縣林口鄉中山路１８８號１樓之２","02 26037171"
"0501404","板橋分行","台北縣板橋市明德街２之１號","02 29687171"
"0501415","樹林分行","台北縣樹林市中山路一段２１７號","02 26757171"
"0501426","土城分行","台北縣土城市中央路二段１２６號","02 22737171"
"0501437","迴龍分行","台北縣新莊市中正路９３３號","02 82097171"
"0501448","汐止分行","台北縣汐止市新台五路一段７５號","02 26987171"
"0501507","基隆分行","基隆市愛三路９號","02 24237171"
"0501518","埔墘分行","台北縣板橋市中山路二段６２之１號","02 29547171"
"0501529","北三重分行","台北縣三重市三和路四段１３７號","02 22867171"
"0501530","南三重分行","台北縣三重市自強路一段２３２號","02 29827171"
"0501541","蘆洲分行","台北縣蘆洲市永樂街４２號","02 28477171"
"0501600","宜蘭分行","宜蘭縣宜蘭市神農里中山路二段３０５號","03 9367171"
"0501703","羅東分行","宜蘭縣羅東鎮中正北路１３號","03 9567171"
"0501714","蘇澳分行","宜蘭縣蘇澳鎮蘇北里中山路一段９６∣１號","03 9965051"
