"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"053","台中商業銀行","12位","台中市西區民權路８７號","04 22236021"
"通匯金融代號","支單位名稱","地址","電話"
"0530019","中正分行","台中市中區中正路１８９號","04 37010800"
"0530020","營業部","台中市西區民權路８７號","04 37002000"
"0530042","南台中分行","台中市南區復興路三段３５５號","04 37017000"
"0530053","霧峰分行","台中縣霧峰鄉中正路８２９號","04 37065555"
"0530064","大甲分行","台中縣大甲鎮蔣公路４２號","04 37059000"
"0530075","沙鹿分行","台中縣沙鹿鎮中山路２９８號","04 37051111"
"0530086","豐原分行","台中縣豐原市中正路３０２∣１號","04 37053888"
"0530097","東勢分行","台中縣東勢鎮中山路６１號","04 25872185"
"0530101","彰化分行","彰化縣彰化市光復路１２６號","04 7051111"
"0530112","溪湖分行","彰化縣溪湖鎮彰水路三段２９０號","04 7080000"
"0530123","員林分行","彰化縣員林鎮中山南路２７號","04 7071111"
"0530134","田中分行","彰化縣田中鎮中州路一段１９７號","04 7081111"
"0530145","北斗分行","彰化縣北斗鎮斗苑路一段１８０號","04 7087000"
"0530156","二林分行","彰化縣二林鎮仁愛路４９６、４９８號","04 7088989"
"0530167","南投分行","南投縣南投市民生街５２號","0497006888"
"0530178","水里簡易型分行","南投縣水里鄉民權路２７０號","0492772177"
"0530189","草屯分行","南投縣草屯鎮碧山路１４１號","0497007777"
"0530190","竹山分行","南投縣竹山鎮竹山路１４８號","0492643181"
"0530204","埔里分行","南投縣埔里鎮西康路６２號","0492984001"
"0530215","鹿港分行","彰化縣鹿港鎮中山路２６６號","04 7073333"
"0530226","西台中分行","台中市西區公益路３６９號","04 37000222"
"0530237","清水分行","台中縣清水鎮中山路１０４號","04 37060222"
"0530248","東豐原分行","台中縣豐原市三民路２０３號","04 37053705"
"0530259","烏日分行","台中縣烏日鄉三民街１０７號","04 37056226"
"0530271","北台中分行","台中市北區大雅路６２４號","04 37020505"
"0530307","南豐原分行","台中縣豐原市中山路２３２號","04 37053000"
"0530318","和美分行","彰化縣和美鎮鹿和路六段３９３號","04 7070088"
"0530330","西屯分行","台中市西屯區河南路二段４３６號","04 37031666"
"0530341","太平分行","台中縣太平市中興路１１５號","04 37052888"
"0530363","大雅分行","台中縣大雅鄉中清南路３９號","04 37055555"
"0530374","后里分行","台中縣后里鄉民生路９５號","04 37067688"
"0530385","潭子分行","台中縣潭子鄉潭興路三段７６號","04 37054999"
"0530396","社頭分行","彰化縣社頭鄉員集路二段３１１號","04 7085555"
"0530400","永靖分行","彰化縣永靖鄉永南村西門路７１號","04 7072000"
"0530411","花壇分行","彰化縣花壇鄉花壇村中山路一段４４６號","04 7078000"
"0530422","秀水分行","彰化縣秀水鄉彰水路二段５９７號","04 7077077"
"0530444","南屯分行","台中市南屯區五權西路二段６６３號","04 37042888"
"0530455","大肚分行","台中縣大肚鄉沙田路二段７７８號","04 26991166"
"0530466","神岡分行","台中縣神岡鄉社南村民族路４０號","04 25621501"
"0530477","內新分行","台中縣大里市中興路二段３３９號","04 37050050"
"0530488","伸港分行","彰化縣伸港鄉新港村中山東路１１１號","04 7983171"
"0530499","北太平分行","台中市東區精武東路６６號","04 37025500"
"0530503","台中港分行","台中縣梧棲鎮八德路３６號","04 37057700"
"0530514","北員林分行","彰化縣員林鎮大同路二段１１６號","04 7071222"
"0530525","南陽分行","台中縣豐原市圓環東路３３８號","04 37053999"
"0530536","大竹分行","彰化縣彰化市彰南路一段３６４號","04 7050000"
"0530570","埤頭分行","彰化縣埤頭鄉斗苑西路１６３號","04 7090090"
"0530581","四民分行","台中市北屯區崇德路３段１９９號","04 37020555"
"0530592","軍功分行","台中市北屯區東山路一段２２２號","04 37037666"
"0530617","大慶分行","台中市南區復興路一段２９５號","04 37019999"
"0530639","北屯分行","台中市北屯區進化北路８０號","04 37036888"
"0530662","埔心分行","彰化縣埔心鄉東門村中正路一段２１７號","04 7084266"
"0530684","台北分行","台北市中正區忠孝東路一段８５號","02 77259888"
"0530710","松山分行","台北市信義區基隆路一段１７６號","02 77180008"
"0530721","三重分行","台北縣三重市中正北路２號","02 29877878"
"0530732","高雄分行","高雄市苓雅區民權一路１１號","07 9726666"
"0530754","龍井分行","台中縣龍井鄉遊園南路７７號","04 37065000"
"0530776","林口分行","台北縣林口鄉竹林路８號","02 26021888"
"0530787","虎尾分行","雲林縣虎尾鎮林森路２段５７之２號","05 7701818"
"0530798","苑裡分行","苗栗縣苑裡鎮信義路７９號","037771188"
"0530813","斗南分行","雲林縣斗南鎮中山路１５１之９號","05 5954879"
"0530824","竹南分行","苗栗縣竹南鎮和平街６６號","037779888"
"0530846","內湖分行","台北市內湖區瑞光路３０６號","02 77201111"
"0530857","鳳山分行","高雄縣鳳山市武慶二路１７２號","07 9758888"
"0530868","板橋分行","台北縣板橋市民生路一段２８之２號","02 77290000"
"0530879","平鎮分行","桃園縣平鎮市中豐路１４號１樓","03 2725858"
"0530880","新莊分行","台北縣新莊市中正路６５１號","02 77161888"
"0530891","民雄分行","嘉義縣民雄鄉雙福村建國路２段７８號","05 3206222"
"0530905","桃園分行","桃園縣桃園市中山路３２４號１樓","03 2701666"
"0530916","永康分行","台南縣永康市中華路７６０號","06 7021199"
"0530927","竹北分行","新竹縣竹北市光明六路東一段２７６號","03 6201888"
"0530938","南崁分行","桃園縣蘆竹鄉南崁路一段２８８號","03 2705899"
"0530949","新竹分行","新竹市四維路１２８號","03 6200888"
"0530950","內壢分行","桃園縣中壢市忠孝路２４號","03 2721288"
"0530961","新豐分行","新竹縣新豐鄉建興路一段１５５之１２號","03 6213328"
"0530972","大園分行","桃園縣大園鄉大觀路４７號１樓","03 2712377"
"0530983","中壢分行","桃園縣中壢市延平路３２６號１樓","03 2712599"
"0530994","龜山分行","桃園縣龜山鄉萬壽路二段１１８５號","03 2712626"
"0531005","楊梅分行","桃園縣楊梅鎮新農街３３７－１號一樓","03 2712666"
