"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"114","基隆第一信用合作社","13位","基隆市義一路７６號","02 24262301"
"通匯金融代號","支單位名稱","地址","電話"
"1140015","營業部","基隆市義一路７６號","02 24262301"
"1140024","仁一路分社","基隆市仁一路１５７號","02 24262351"
"1140033","愛三路分社","基隆市愛三路７號","02 24262331"
"1140042","忠二路分社","基隆市忠二路２０號","02 24262321"
"1140051","安一路分社","基隆市安一路６１號","02 24262311"
"1140060","信二路分社","基隆市信二路１６１號","02 24247206"
"1140079","中華路分社","基隆市中華路７１號","02 24281026"
"1140088","八斗子分社","基隆市北寧路２８２號","02 24691186"
"1140097","南興路分社","基隆市南興路７４號","02 24567176"
"1140103","大武崙分社","基隆市基金一路１３１之２１號","02 24334533"
"1140112","碇內分社","基隆市源遠路２２６巷３３號","02 24590825"
"1140121","仁二路分社","基隆市仁二路１９２號","02 24255577"
