"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"127","桃園縣桃園信用合作社","11位","桃園縣桃園市中正路１３３號","03 3321100"
"通匯金融代號","支單位名稱","地址","電話"
"1270019","營業部","桃園縣桃園市中正路１３３號","03 3321100"
"1270028","大林分社","桃園縣桃園市昆明路３５號","03 3624846"
"1270037","永興分社","桃園縣桃園市中正路３５７號","03 3381155"
"1270046","南華分社","桃園縣桃園市育樂街６１號","03 3354703"
"1270055","介壽分社","桃園縣桃園市介壽路１０７號","03 3617887"
"1270064","中山分社","桃園縣桃園市中山路５９９號","03 2205563"
"1270073","永安分社","桃園縣桃園市永安路４３６號","03 3368540"
"1270082","會稽分社","桃園縣桃園市大興路１５６號","03 3550947"
"1270091","莊敬分社","桃園縣蘆竹鄉大竹路５０６號","03 3134123"
"1270107","大湳分社","桃園縣八德市廣福路１２７號","03 3775646"
"1270116","南崁分社","桃園縣蘆竹鄉中正路３１２號","03 3214100"
