"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"608","桃園農八德農大園農大溪農平鎮農新屋農楊梅","","龍潭農龜山農蘆竹農","03 3792721"
"通匯金融代號","支單位名稱","地址","電話"
"6080088","八德市農會","桃園縣八德市與仁村興豐路２６８號","03 3687611"
"6080309","大湳分部","桃園縣八德市大興村介壽路二段３４號","03 3662911"
"6080446","瑞豐分部","桃園縣八德市瑞泰里介壽路二段９３１號","03 3653840"
"6080457","大福分部","桃園縣八德市大正里介壽路一段２３６號","03 3679230"
"6080549","茄苳分部","桃園縣八德市茄苳村永豐路５５０號","03 3697277"
"6080550","桃鶯分部","桃園縣八德市大仁里和平路１１４７號","03 3618068"
"6080837","霄裡分部","桃園縣八德市長興路７２５號","03 3658749"
"6080055","大園鄉農會","桃園縣大園鄉橫峰村中正東路１０３號","03 3863177"
"6080228","埔心分部","桃園縣大園鄉埔心村埔心街２５號","03 3813181"
"6080239","竹圍分部","桃園縣大園鄉竹圍街４５∣３５號","03 3835062"
"6080240","三和分部","桃園縣大園三石村三和路２２巷２號","03 3835216"
"6080561","和平分部","桃園縣大園鄉溪海村崙頂３２之２號","03 3863180"
"6080745","五權分部","桃園縣大園鄉五權村中正東路三段２７５號","03 3814849"
"6080756","潮音分部","桃園縣大園鄉北港村大工路５６號","03 3852960"
"6080033","大溪鎮農會","桃園縣大溪鎮福仁里民生路１號","03 3871122"
"6080158","一心分部","桃園縣大溪鎮一德里中華路３４３號","03 3879866"
"6080169","中新分部","桃園縣大溪鎮中新里大鶯路１２８１號","03 3801684"
"6080170","新峰分部","桃園縣大溪鎮新峰里復興路二段７００號","03 3825373"
"6080181","埔頂分部","桃園縣大溪鎮仁和路一段２００號","03 3801427"
"6080387","員林分部","桃園縣大溪鎮員林路二段３７１號","03 3805248"
"6080435","僑愛分部","桃園縣大溪鎮介壽路２６７號","03 3892708"
"6080712","崎頂分部","桃園縣大溪鎮介壽路９００號","03 3893842"
"6080826","南興分部","桃園縣大溪鎮南興里永昌路８０號","03 3895966"
"6080099","北勢分部","桃園縣平鎮市和平路１９０號","03 4592612"
"6080365","山峰分部","桃園縣平鎮市湧光里南豐路３５號","03 4507274"
"6080413","龍崗分部","桃園縣平鎮市龍興里龍南路６５號","03 4507032"
"6080424","宋屋分部","桃園縣中壢市中正路３８９號","03 4932230"
"6080686","平鎮市農會","桃園縣平鎮市南勢里南東路２號","03 4395333"
"6080767","金陵分部","桃園縣平鎮市金陵路三段８５號","03 4593508"
"6080011","桃園市農會","桃園縣桃園市新生路１６５號","03 3364026"
"6080468","大林分部","桃園縣桃園市桃鶯路１６５號","03 3637506"
"6080479","會稽分部","桃園縣桃園市春日路１０３８號","03 3253230"
"6080527","中路分部","桃園縣桃園市中山路６４５號","03 2204652"
"6080538","慈文分部","桃園縣桃園市中正路６０６號","03 3351592"
"6080631","埔子分部","桃園縣桃園市永安路７７０號","03 3559332"
"6080642","龍山分部","桃園縣桃園市龍壽街８１之６號","03 3790867"
"6080136","復興鄉農會","桃園縣復興鄉澤仁村中正路２５６號","03 3822318"
"6080619","三民分部","桃園縣復興鄉三民村１１鄰２８號","03 3825033"
"6080103","新屋鄉農會","桃園縣新屋鄉新屋村中華路２４２號","03 4772124"
"6080310","永安分部","桃園縣新屋鄉中山西路二段１１７６號","03 4862448"
"6080321","大坡分部","桃園縣新屋鄉大坡村五鄰８１號","03 4769955"
