"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"610","北農中心所屬會員","","新埔農；關西農；新豐農；芝林農","02 29676789"
"通匯金融代號","支單位名稱","地址","電話"
"6100108","北埔鄉農會","新竹縣北埔鄉北埔街９４號","03 5802207"
"6100038","竹北市農會","新竹縣竹北市中正東路４８７號","03 5513127"
"6100153","六家分部","新竹縣竹北市竹北市中興里２２９號","03 5503534"
"6100290","豐田分部","新竹縣竹北市竹北市白地里３５∣１號","03 5563041"
"6100304","鳳岡分部","新竹縣竹北市鳳岡路三段２２７號","03 5561209"
"6100430","高鐵分部","新竹縣竹北市東興路一段９３９號１樓","03 6672896"
"6100061","新竹市農會信用部","新竹市頂埔里中山路５９８號","03 5386143"
"6100186","三姓橋分部","新竹市中華路５段６７之１","03 5381178"
"6100315","樹林頭分部","新竹市東大路２段５７５號","03 5311236"
"6100337","光復分部","新竹市光復路一段６０９號","03 5780585"
"6100359","內湖分部","新竹市中華路六段２７４號","03 5372120"
"6100360","民權分部","新竹市民族路１６４之１號","03 5322215"
"6100429","新興分部","新竹市南大路７６２號","03 5242959"
"6100441","虎林分部","新竹市延平路二段２２５號","03 5307166"
"6100452","光華分部","新竹市中華路一段２５２號","03 5427750"
"6100119","竹東地區農會","新竹縣竹東鎮東寧路８５２號","03 5963131"
"6100223","竹中分部","新竹縣竹東鎮竹中路８７號","03 5822239"
"6100234","二重辦事處","新竹縣竹東鎮中興路三段１２９號","03 5823239"
"6100256","五峰辦事處","新竹縣五峰鄉大隘村１３４號","03 5851021"
"6100382","東寧辦事處","新竹縣竹東鎮東寧路一段１２９號","03 5962059"
"6100094","峨眉鄉農會","新竹縣峨眉鄉峨眉村８鄰１２號","03 5800216"
"6100371","富興分部","新竹縣峨眉鄉富興村４鄰１５號","03 5806123"
"6100050","湖口鄉農會","新竹縣湖口鄉民族街４９號","03 5996155"
"6100348","中興辦事處","新竹縣湖口鄉中興村中興二巷１之２號","03 5982543"
"6100027","新埔鎮農會","新竹縣新埔鎮中正路３９０號","03 5882002"
"6100393","照門分部","新竹縣新埔鎮楊新路一段３２２號","03 5882396"
"6100463","新豐鄉農會","新竹縣新豐鄉重興村新庄路２９３號","03 5576369"
"6100120","橫山地區農會","新竹縣橫山鄉新興村１９１號","03 5932006"
"6100267","橫山分部","新竹縣橫山鄉橫山村８４號","03 5934355"
"6100289","尖石分部","新竹縣尖石鄉嘉樂村１２號","03 5841026"
"6100016","關西鎮農會","新竹縣關西鎮大同路４２號","03 5872621"
"6100131","石光分部","新竹縣關西鎮北斗里６鄰中興路５號","03 5868805"
"6100142","錦山分部","新竹縣關西鎮金山里３鄰２１號","03 5478321"
"6100083","寶山鄉農會","新竹縣寶山鄉雙溪村１３鄰雙園路７８號","03 5201119"
"6100201","新城分部","新竹縣寶山鄉新城村２鄰寶新路４７５號","03 5762208"
"6100212","寶山分部","新竹縣寶山鄉寶山村５鄰寶山路４３３號","03 5761331"
"6100072","芎林鄉農會","新竹縣芎林鄉文林村文昌街１２０號","03 5921173"
"6100197","秀湖分部","新竹縣芎林鄉秀湖村２３∣２號","03 5932225"
"6100326","石潭分部","新竹縣芎林鄉石潭村石壁潭７６∣９號","03 5922920"
