"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"619","大社仁武大樹橋頭湖內路竹阿蓮燕巢杉林甲仙","","梓官茄萣大寮彌陀永安岡山鳥松林園內門等","07 7439121"
"通匯金融代號","支單位名稱","地址","電話"
"6190222","大社鄉農會","高雄縣大社鄉三民路３３４號","07 3511111"
"6190196","大寮鄉農會","高雄縣大寮鄉會社村鳳林三路３５１號","07 7811141"
"6190565","大寮分部","高雄縣大寮鄉大寮路２９０∣１０號","07 7884430"
"6190576","中庄分部","高雄縣大寮鄉中庄村仁愛路１３巷２９號","07 7034471"
"6190587","後庄分部","高雄縣大寮鄉後庄村鳳屏一路２３３號","07 7013403"
"6190598","昭明分部","高雄縣大寮鄉昭明村鳳林一路３４８號","07 6413534"
"6190602","潮寮分部","高雄縣大寮鄉潮寮村潮寮路４９之９號","07 7875051"
"6191012","翁園分部","高雄縣大寮鄉翁園村翁園路７０之３２號","07 7860624"
"6191104","大樹鄉農會","高雄縣大樹鄉檨腳村中興西路２０號","07 6526665"
"6190211","仁武鄉農會","高雄縣仁武鄉中正路１３７號","07 3713104"
"6190727","灣內分部","高雄縣仁武鄉灣內村仁心路１５號","07 3715803"
"6191045","八卦分部","高雄縣仁武鄉八德中路５０號","07 3719612"
"6191115","內門鄉農會","高雄縣內門鄉內豐村內埔１－１號","07 6672161"
"6190303","六龜鄉農會","高雄縣六龜鄉義寶村光復路１０９號","07 6892111"
"6190130","永安鄉農會","高雄縣永安鄉永安村永安路３４號","07 6911851"
"6190679","保寧分部","高雄縣永安鄉保安路２４０號","07 6913805"
"6190761","維新分部","高雄縣永安鄉維新路光明九巷３４號","07 6912034"
"6190071","田寮鄉農會","高雄縣田寮鄉崗安路８２號","07 6361501"
"6190794","新興分部","高雄縣田寮鄉新興路１００號","07 6381872"
"6190808","崇德分部","高雄縣田寮鄉崇德路８４∣１號","07 6366677"
"6190255","甲仙地區農會","高雄縣甲仙鄉中正路２６號","07 6751001"
"6190819","桃源分部","高雄縣桃源鄉北進巷６８號","07 6861246"
"6190989","那瑪夏分部","高雄縣那瑪夏鄉鞍山巷６號","07 6701230"
"6190244","杉林鄉農會","高雄縣杉林鄉山仙路３２號","07 6772210"
"6190026","岡山鎮農會","高雄縣岡山鎮岡山路４３４號","07 6214101"
"6190277","市場分部","高雄縣岡山鎮平安里開元街２之１號","07 6212013"
"6190288","嘉興分部","高雄縣岡山鎮嘉興里嘉興路１５１號","07 6212744"
"6190299","仁壽分部","高雄縣岡山鎮仁壽里民族路９號","07 6263724"
"6190772","協榮分部","高雄縣岡山鎮介壽西路６７號","07 6250620"
"6191067","後紅分部","高雄縣岡山鎮大仁南路１１號","07 6231773"
"6190185","林園鄉農會","高雄縣林園鄉忠孝西路４７號","07 6432556"
"6190831","中厝分部","高雄縣林園鄉潭頭村潭頭路１４９∣１號","07 6427447"
"6190082","阿蓮鄉農會","高雄縣阿蓮鄉中山路２３號","07 6311141"
"6190624","中路分部","高雄縣阿蓮鄉中路村中路路２３８號","07 6312063"
"6191078","復安分部","高雄縣阿蓮鄉復安村８８號","07 6332503"
"6190048","美濃鎮農會","高雄縣美濃鎮中正路一段１號","07 6813311"
"6190369","中壇分部","高雄縣美濃鎮中正路二段３１８號","07 6812123"
"6190370","龍肚分部","高雄縣美濃鎮龍肚街６２號","07 6851012"
"6190381","廣興分部","高雄縣美濃鎮民族路６９號","07 6812149"
"6190392","南隆分部","高雄縣美濃鎮中正路三段６５４號","07 6831055"
"6190118","茄萣鄉農會","高雄縣茄萣鄉保定仁愛路二段１０２號","07 6906111"
"6190750","白砂崙分部","高雄縣茄萣鄉白雲村白砂路１５１∣２號","07 6900701"
"6190141","梓官鄉農會","高雄縣梓官鄉禮蚵村光明路１１１號","07 6101181"
"6190473","赤崁分部","高雄縣梓官鄉赤崁南路７５號","07 6173848"
"6190484","大舍分部","高雄縣梓官鄉大舍村大舍南路８號","07 6170014"
"6190495","梓官分部","高雄縣梓官鄉梓官路２７０號","07 6173181"
"6191089","鳥松鄉農會","高雄縣鳥松鄉神農路５２５號","07 7322012"
"6191090","澄清湖分部","高雄縣鳥松鄉鳥松村中正路２９３號","07 7316589"
"6190107","湖內鄉農會","高雄縣湖內鄉中正路二段２９號","07 6991216"
"6190462","大湖分部","高雄縣湖內鄉大湖村民權路１１１號","07 6931013"
