"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"808","玉山商業銀行","13位","台北市民生東路三段１１７號","02 27191313"
"通匯金融代號","支單位名稱","地址","電話"
"8080015","營業部","台北市民生東路三段１１５號","02 27191313"
"8080026","南京東路分行","台北市南京東路五段８９號","02 27601313"
"8080048","城東分行","台北市松江路１１１號","02 25041313"
"8080059","新莊分行","台北縣新莊市中正路３９３號","02 22021313"
"8080060","新竹分行","新竹市民族路３４號","03 5231313"
"8080071","嘉義分行","嘉義市新榮路２４２號","05 2231313"
"8080082","高雄分行","高雄市四維四路３號","07 3361313"
"8080118","基隆路分行","台北市基隆路二段４１號","02 23781313"
"8080129","雙和分行","台北縣永和市中山路一段３２０號","02 29231313"
"8080130","中壢分行","桃園縣中壢市中山路１２６號","03 4271313"
"8080141","台中分行","台中市文心路三段１０２３號","04 22911313"
"8080152","台南分行","台南市民生路二段７６號","06 2411313"
"8080163","天母分行","台北市忠誠路一段９９號","02 28351313"
"8080174","埔墘分行","台北縣板橋市三民路二段１８８號","02 29631313"
"8080185","桃園分行","桃園縣桃園市三民路二段３００號","03 3321313"
"8080196","前鎮分行","高雄市前鎮區瑞隆路４７４號","07 7611313"
"8080211","民生分行","台北市民生東路三段４９號","02 25091313"
"8080222","大里分行","台中縣大里市東榮路３１２號","04 24851313"
"8080233","永康分行","台南縣永康市永大路二段１５１８號","06 2011313"
"8080244","鳳山分行","高雄縣鳳山市五甲一路１００號","07 7431313"
"8080255","三重分行","台北縣三重市三和路四段３８０號","02 22801313"
"8080266","土城分行","台北縣土城市裕民路１１６號","02 22741313"
"8080277","八德分行","桃園縣八德市介壽路一段８７０號","03 3671313"
"8080288","大墩分行","台中市大墩路７６８號","04 23201313"
"8080299","七賢分行","高雄市新興區林森一路２３３號","07 2351313"
"8080303","復興分行","台北市復興南路一段１２７號","02 27711313"
"8080314","敦南分行","台北市敦化南路一段３３９號","02 27541313"
"8080325","重新分行","台北縣三重市重新路四段６５號","02 29841313"
"8080336","彰化分行","彰化縣彰化市曉陽路１６２號","04 7281313"
"8080347","北高雄分行","高雄市明誠二路１１８號","07 3501313"
"8080358","大雅分行","台中縣大雅鄉民興街３５號","04 25681313"
"8080369","楊梅分行","桃園縣楊梅鎮中山路１４０號","03 4881313"
"8080370","樹林分行","台北縣樹林市中山路一段１０３號","02 86751313"
"8080381","豐原分行","台中縣豐原市中正路５４３號","04 25121313"
"8080392","斗六分行","雲林縣斗六市中正路１８號","05 5321313"
"8080406","長春分行","台北市復興北路１７８號","02 25461313"
"8080417","中山分行","台北市中山北路一段１４５號","02 25371313"
"8080428","佳里分行","台南縣佳里鎮延平路３５１號","06 7211313"
"8080439","中和分行","台北縣中和市中山路二段３８９號","02 22221313"
"8080440","竹南分行","苗栗縣竹南鎮民族路６１號","037461313"
"8080451","羅東分行","宜蘭縣羅東鎮公正路１５４號","03 9571313"
"8080462","內湖分行","台北市內湖路一段３６０巷８號","02 26591313"
"8080473","壢新分行","桃園縣中壢市民族路３２８號","03 4921313"
"8080484","板新分行","台北縣板橋市忠孝路３７號","02 89521313"
"8080495","光華分行","新竹市光華街６４－２號","03 5331313"
"8080509","東嘉義分行","嘉義市垂楊路１１１號１樓","05 2161313"
"8080510","北天母分行","台北市天母西路２６－１號","02 28771313"
"8080521","永和分行","台北縣永和市中正路１４５號","02 29491313"
"8080532","城中分行","台北市武昌街一段７７號","02 23891313"
"8080543","五股分行","台北縣五股鄉五股工業區五權路１號","02 22901313"
"8080554","新店分行","台北縣新店市民權路６９號","02 29161313"
"8080565","松山分行","台北市信義區永吉路３５６號１樓","02 37651313"
"8080576","和平分行","台北市和平東路一段２１６號","02 23621313"
"8080587","海山分行","台北縣板橋市文化路一段１２０號","02 22561313"
"8080598","民權分行","台北市民權西路４８號","02 25681313"
"8080602","泰山分行","台北縣泰山鄉明志路２段５３號１樓","02 22971313"
"8080613","南崁分行","桃園縣蘆竹鄉中正路３４６號","03 3521313"
"8080624","大順分行","高雄市苓雅區大順三路８８號","07 7271313"
"8080635","左營分行","高雄市左營區博愛二路５７８號","07 5591313"
"8080646","楠梓分行","高雄市楠梓區軍校路９８０號","07 3641313"
