"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"809","萬泰商業銀行","12位","台北市敦化南路二段３９號","02 27011777"
"通匯金融代號","支單位名稱","地址","電話"
"8090016","建成分行","台北市承德路一段７０號","02 25557777"
"8090027","忠孝分行","台北市忠孝東路四段２７０號","02 27781277"
"8090038","三重分行","台北縣三重市重陽路三段１９２號","02 29812233"
"8090049","台中分行","台中市台中港路一段１６０∣１號","04 23283331"
"8090050","台南分行","台南市西門路二段３５１號","06 2268777"
"8090061","高雄分行","高雄市四維三路８０號","07 3367977"
"8090072","城東分行","台北市南京東路三段２２４號","02 27788777"
"8090094","東台北分行","台北市南京東路四段１６０號","02 25705777"
"8090108","板橋分行","台北縣板橋市民生路三段１５號","02 22597767"
"8090119","桃園分行","桃園縣桃園市南華街８０號","03 3397779"
"8090120","中壢分行","桃園縣中壢市中央東路１３號","03 4272777"
"8090131","北高雄分行","高雄市民族一路８７８號","07 3463677"
"8090153","新莊分行","台北縣新莊市思源路３３１號","02 22776377"
"8090164","中正分行","高雄市中正四路１５１號","07 2411777"
"8090175","員林分行","彰化縣員林鎮莒光路２６６號","04 8339777"
"8090197","營業部","台北市敦化南路二段３９號","02 27011777"
"8090201","松江分行","台北市松江路１３７∣１３９號","02 25173777"
"8090212","蘆洲分行","台北縣蘆洲市集賢路４０１號","02 22898877"
"8090223","鳳山分行","高雄縣鳳山市博愛路１６５∣３號","07 7419777"
"8090234","新竹分行","新竹市西大路６４５號","03 5255577"
"8090245","松山分行","台北市松山路１３２號","02 27616688"
"8090256","土城分行","台北縣土城市金城路三段１２３號","02 22605588"
"8090267","中和分行","台北縣中和市景平路２００號","02 86685566"
"8090278","赤崁分行","台南市忠義路二段１６７號","06 2256131"
"8090289","基隆分行","基隆市麥金路１９３號","02 24336566"
"8090290","斗六分行","雲林縣斗六市西平路８０號","05 5331566"
"8090304","東門分行","台南市府前路一段２６號","06 2256141"
"8090315","北門分行","台南市北區開元路１３３號","06 2364401"
"8090326","屏東分行","屏東縣屏東市廣東路４５１號","08 7385678"
"8090337","林森簡易型分行","台南市林森路二段１８４號","06 2376391"
"8090348","歸仁簡易型分行","台南縣歸仁鄉華厝村中正路１０３之１號","06 3308777"
"8090359","海東分行","台南市海佃路一段１２９號","06 2502183"
"8090371","永康分行","台南縣永康市國光二街２號","06 2727757"
"8090382","天母分行","台北市中山北路六段２４６號","02 88661117"
"8090393","新店分行","台北縣新店市北新路三段２０２號","02 29181199"
"8090407","大安分行","台北市大安區新生南路二段８號","02 33223677"
"8090429","苗栗分行","苗栗縣苗栗市中正路８１號","037265725"
"8090430","八德分行","台北市八德路四段８８號","02 37651111"
"8090452","花蓮分行","花蓮縣花蓮市中正路５６０號１樓","038352299"
"8090463","繼光分行","台中市中正路６３號","04 22220077"
"8090474","彰化分行","彰化縣彰化市曉陽路１９９之３號","04 7287777"
"8090485","豐原分行","台中縣豐原市中山路３２９號","04 25152777"
"8090511","大里簡易型分行","台中縣大里市中興路二段３３１號","04 24866363"
"8090522","嘉義分行","嘉義市中山路３０２號","05 2280777"
"8090577","風城分行","新竹市中正路５９號","03 5261101"
"8090588","南大分行","新竹市南大路３３９號","03 5263155"
"8090599","竹科分行","新竹市光復路一段２３８號","03 5775131"
"8090625","台東簡易型分行","台東縣台東市中華路一段３４１號","089329797"
"8090669","羅東分行","宜蘭縣羅東鎮公正路５０號","03 9533377"
