"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"008","華南商業銀行","12位","台北市重慶南路一段３８號","02 23713111"
"通匯金融代號","支單位名稱","地址","電話"
"0081005","營業部","台北市重慶南路一段３８號","02 23713111"
"0081016","儲蓄分行","台北市南京東路二段１６０號","02 25076131"
"0081027","國外營業部","台北市重慶南路一段３８號","02 23713111"
"0081038","城內分行","台北市博愛路９３號","02 23818781"
"0081049","大稻埕分行","台北市延平北路二段９６號","02 25556280"
"0081050","建成分行","台北市南京西路２２８號","02 25563110"
"0081061","中山分行","台北市長安東路一段１８號","02 25611121"
"0081072","圓山分行","台北市中山北路二段１１２號","02 25619588"
"0081083","城東分行","台北市松江路１４６號","02 25512111"
"0081094","西門分行","台北市西寧南路１７３號","02 23149978"
"0081108","南松山分行","台北市忠孝東路五段２９３號","02 27695957"
"0081119","仁愛路分行","台北市仁愛路四段２５號","02 27722090"
"0081120","南京東路分行","台北市南京東路三段２１７號","02 27155111"
"0081131","新生分行","台北市新生南路一段４８號","02 23934211"
"0081142","大同分行","台北市重慶北路三段２７６號","02 25917767"
"0081153","松山分行","台北市八德路四段６５４號","02 27652132"
"0081164","中崙分行","台北市八德路三段１４５號","02 25780377"
"0081175","臺北南門分行","台北市羅斯福路二段１１號","02 23217111"
"0081186","公館分行","台北市羅斯福路三段２１６號１樓","02 23622141"
"0081197","信義分行","台北市信義路二段１８３號","02 23943141"
"0081201","忠孝東路分行","台北市忠孝東路四段２１２號","02 27733577"
"0081212","和平分行","台北市和平東路二段９３號","02 27002405"
"0081223","雙園分行","台北市西藏路１２７號","02 23071122"
"0081234","士林分行","台北市承德路四段２４６號","02 28819500"
"0081245","東台北分行","台北市南京東路四段５０號","02 25794141"
"0081256","大安分行","台北市光復南路４５８號","02 27039851"
"0081267","民生分行","台北市民生東路四段５４號","02 27155011"
"0081278","復興分行","台北市復興北路３３７號","02 27171781"
"0081289","龍江分行","台北市民生東路二段１８０號","02 25045341"
"0081290","永吉分行","台北市忠孝東路五段８００號１樓","02 27593111"
"0081304","敦化分行","台北市敦化南路二段２號","02 27557467"
"0081315","忠興分行","台北市復興南路一段１３７號","02 27774552"
"0081326","大直分行","台北市中山區樂群三路５６號１樓","02 85020818"
"0081337","敦和分行","台北市敦化南路二段１０７號","02 27010900"
"0081348","東湖分行","台北市內湖區成功路五段４５６號１樓","02 26315550"
"0081360","長春分行","台北市長春路１４３號","02 25231113"
"0081371","北南港分行","台北市南港區園區街三號二樓之十","02 26558788"
