"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"081","香港上海匯豐銀行台北分行","存款類一12位\n存款類二14位","台北市信義區信義路５段８號１Ｆ","02 26527000"
"通匯金融代號","支單位名稱","地址","電話"
"0810016","台北分行","台北市信義區五段８號１樓","02 26527000"
"0810027","高雄分行","高雄市民權二路６號３Ｆ","07 3377333"
"0810049","台中分行","台中市文心路一段２１８號１Ｆ","04 24712626"
"0810050","台南分行","台南市金華路三段１７６號","06 6028688"
"0810061","板橋分行","台北縣板橋市文化路二段２８５號","02 22535000"
"0810072","桃園分行","桃園縣桃園市中山路５２６號","03 3373456"
"0810083","建國分行","台北市南京東路二段１６７號","02 25129000"
"0810094","天母分行","台北市天母西路２０號","02 28771575"
"0810108","忠孝分行","台北市忠孝西路一段６號","02 66336666"
"0810120","光復分行","台北市光復南路３號","02 66336600"
"0810131","中山分行","台北市林森北路３７２號","02 66336677"
"0810142","文心分行","台中市文心路三段２３０號","04 36036366"
"0810153","南京東路分行","台北市南京東路三段７０號","02 66336688"
"0810164","重慶分行","台北縣板橋市重慶路１９８號","02 66336000"
"0810175","豐原分行","台中縣豐原市中山路２９５號","04 36036333"
"0810186","嘉義分行","嘉義市林森西路１５５號","05 3105988"
"0810197","民生分行","高雄市民生一路１１１號","07 9638088"
"0810201","新生分行","台北市新生南路一段１４８號","02 66336222"
"0810212","三重分行","台北縣三重市福德北路１２號","02 66339262"
"0810223","新竹分行","新竹市北區北大路１１７號１樓、２樓","03 6108288"
"0810234","松江分行","台北市松江路２６６號","02 66336066"
"0810245","雙和分行","台北縣永和市林森路１２２之１號","02 66336077"
"0810256","彰化分行","彰化縣彰化市三民路４０７號","04 7036789"
"0810267","信義分行","台北市基隆路二段１２３號","02 66336255"
"0810278","新莊分行","台北縣新莊市思源路３４５號","02 66336070"
"0810289","永康分行","台南縣永康市中華路２４７號","06 6028666"
"0810290","新店分行","台北縣新店市建國路２１９之１號","02 66336080"
"0810304","南港分行","台北市中坡北路９２號","02 66336299"
"0810315","中壢分行","桃園縣中壢市元化路２７６號１樓","03 2636111"
"0810326","仁愛分行","台北市仁愛路二段２號","02 66336088"
"0810337","敦北分行","台北市松山區敦化北路１６７號１樓","02 66336633"
"0810348","前鎮分行","高雄市前鎮區一心二路１２８號","07 9638066"
"0810359","大安分行","台北市信義路三段１５１號","02 66336099"
"0810360","內湖分行","台北市內湖區瑞光路５５２號１樓","02 66336699"
