"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"102","華泰商業銀行","13位","台北市長安東路二段２４６號","02 27525252"
"通匯金融代號","支單位名稱","地址","電話"
"1020010","營業部","台北市長安東路二段２４６號","02 27525252"
"1020029","迪化街分行","台北市迪化街一段９９號","02 25563101"
"1020038","建成簡易型分行","台北市寧夏路５４號","02 25552175"
"1020047","大同分行","台北市重慶北路三段２２５號","02 25963271"
"1020056","中山分行","台北市民權東路二段４２號","02 25675255"
"1020065","大安分行","台北市和平東路三段３２１號","02 27322128"
"1020074","松山分行","台北市民生東路五段１５０號","02 27639177"
"1020083","古亭分行","台北市中華路二段４１８∣４２０號","02 23051655"
"1020092","士林分行","台北市延平北路五段２３７號","02 28160633"
"1020108","內湖分行","台北市內湖路一段７２９號","02 27976282"
"1020117","信義分行","台北市光復南路４７５號","02 27582919"
"1020126","永吉分行","台北市永吉路３４８號","02 27643140"
"1020135","和平分行","台北市和平東路二段１２２號","02 27339900"
"1020144","光復分行","台北市光復南路１號","02 27531101"
"1020153","文山分行","台北市木新路三段１６１號","02 29373099"
"1020171","石牌分行","台北市石牌路二段９５號","02 28263515"
"1020180","萬華分行","台北市西園路一段１２４號","02 23062699"
"1020199","南門分行","台北市和平西路一段８０號","02 23649001"
"1020205","松德分行","台北市松德路６５號","02 23460501"
"1020214","新莊分行","台北縣新莊市中正路８９１之４３號","02 29072255"
"1020223","中和分行","台北縣中和市中和路３１２號","02 89214188"
"1020232","板橋分行","台北縣板橋市民族路２１１號","02 89512201"
"1020241","南京東路分行","台北市南京東路三段９１－３號","02 25063998"
"1020250","敦化分行","台北市敦化南路二段１３０號","02 27089399"
"1020269","新店分行","台北縣新店市順安街２號","02 86655958"
"1020278","中壢分行","桃園縣中壢市中山路９１號","03 4265668"
"1020287","高雄分行","高雄市前金區中正四路１３９號１樓","07 2727998"
"1020296","三重簡易型分行","台北縣三重市五華街１２４號","02 29898368"
"1020302","東湖分行","台北市內湖區康寧路三段３５－３７號１樓","02 26316099"
"1020366","台中分行","台中市文心路三段２２號１樓","04 23158558"
