"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"103","臺灣新光商業銀行","存款類13位\n放款類14位","台北市忠孝西路１段６６號２７樓","02 21711055"
"通匯金融代號","支單位名稱","地址","電話"
"1030019","營業部","台北市西昌街１３４號","02 23812160"
"1030028","東台北分行","台北市光復北路１１巷２９號１樓","02 27685966"
"1030037","龍山分行","台北市康定路２０７號","02 23023531"
"1030046","西園分行","台北市西園路２段１２９號","02 23061271"
"1030055","西門分行","台北市西寧南路７３號","02 23145791"
"1030064","大同分行","台北市重慶北路三段２６９號","02 25974951"
"1030073","復興分行","台北市復興北路３１１號１樓","02 27150825"
"1030082","忠孝簡易型分行","台北市大安區延吉街１６０號１、２樓及Ｂ１","02 27410101"
"1030091","五常分行","台北市龍江路３５６巷７６號","02 25059161"
"1030107","城北分行","台北市松江路１６２號１樓","02 25652711"
"1030116","城內分行","台北市重慶南路一段１１５號","02 23814518"
"1030125","東湖分行","台北市內湖區民權東路六段３１２號１樓","02 26348787"
"1030134","民生分行","台北市民生東路三段８號２樓","02 25165887"
"1030143","慶城分行","台北市慶城街一之一號","02 27199811"
"1030152","內湖分行","台北市內湖路一段３６０巷１７號","02 27976768"
"1030161","莊敬分行","台北市莊敬路３３０號","02 23451888"
"1030170","松山分行","台北市忠孝東路五段５１０號２Ｆ","02 23466636"
"1030189","南港分行","台北市南港區重陽路２１８號１、２樓","02 27821787"
"1030198","林森北路分行","台北市林森北路５５４號","02 25861991"
"1030204","大安簡易型分行","台北市復興南路二段１７７號","02 27551639"
"1030213","新竹分行","新竹市中山路８４號","03 5215171"
"1030222","中壢分行","桃園縣中壢市中山路２０１號","03 4270123"
"1030231","桃園分行","桃園縣桃園市復興路２０７號１樓","03 3316996"
"1030240","東三重分行","台北縣三重市重新路一段１０２號","02 29737788"
"1030259","竹北分行","新竹縣竹北市中華路３７２號","03 5552058"
"1030268","連城路分行","台北縣中和市連城路１６６號","02 22477330"
"1030277","關東橋分行","新竹市光復路一段３３３號","03 5678989"
"1030286","土城分行","台北縣土城市金城路三段１２２號","02 22705050"
"1030295","蘆洲分行","台北縣蘆洲市復興路１０１號","02 82813182"
"1030301","建成分行","台北市重慶北路一段７３號","02 25567227"
"1030310","北三重分行","台北縣三重市溪尾街１１５號","02 29875522"
"1030329","永和分行","台北縣永和市中正路４１１號","02 32335656"
"1030338","新埔分行","台北縣板橋市雨農路２１號","02 22521919"
"1030347","台中分行","台中市台中路１０１號","04 22284113"
"1030356","中港分行","台中市台中港路三段９９號","04 23588211"
"1030365","左營華夏路分行","高雄市左營區華夏路６９２號","07 3487077"
"1030374","大甲分行","台中縣大甲鎮順天路２０２號","04 26760020"
"1030383","大墩分行","台中市公益路２段５號","04 23296236"
"1030392","員林分行","彰化縣員林鎮中山路二段３４６號","04 8377007"
"1030408","南屯分行","台中市五權西路二段５０１號","04 23832121"
"1030417","東台南分行","台南市中華東路一段１２號","06 2347777"
"1030426","大里分行","台中縣大里市德芳南路２６９號","04 24835123"
"1030435","松竹分行","台中市松竹路二段１６２號","04 22453456"
"1030444","彰化分行","彰化縣彰化市三民路３４１號","04 7235997"
"1030453","樹林分行","台北縣樹林市中華路１１６之１號","02 86848777"
"1030462","後埔分行","台北縣板橋市四川路一段１７８號","02 29617997"
"1030471","古亭分行","台北市羅斯福路二段４１號","02 23432330"
"1030480","士林分行","台北市文林路５１０號","02 28338789"
"1030499","信義分行","台北市信義路四段１８１號","02 27059669"
"1030505","丹鳳分行","台北縣新莊市中正路６６５號","02 29083636"
"1030514","北投復興崗分行","台北市中央北路二段４２２號","02 28982399"
"1030523","新生南路分行","台北市新生南路一段１０１號","02 87719099"
"1030541","新營分行","台南縣新營市中山路１３８號","06 6378266"
"1030550","天母分行","台北市士林區中山北路七段４１－１號１樓","02 28762126"
"1030569","新店分行","台北縣新店市中正路３１１號","02 89117180"
"1030578","大直簡易型分行","台北市中山區明水路５７１號１耬","02 85091819"
"1030587","興隆簡易型分行","台北市景隆街１３３號","02 89311099"
"1030596","八德簡易型分行","桃園縣八德市介壽路二段１０３２號","03 3658085"
"1030602","龍潭簡易型分行","桃園縣龍潭鄉中興路３９０號","03 4991277"
"1030611","長安分行","台北市長安東路二段１００號","02 25067366"
"1030620","嘉義分行","嘉義市中山路２４８號","05 2247755"
"1030639","東嘉義簡易型分行","嘉義市民族路１８８號","05 2223633"
"1030648","鳳山分行","高雄縣鳳山市建國路三段２４２號１樓","07 7805966"
"1030657","台南分行","台南市民生路２段３０７號","06 2219511"
"1030666","北嘉義簡易型分行","嘉義市中興路４６７號１樓","05 2330367"
"1030675","斗六分行","雲林縣斗六市中山路８７號","05 5375586"
"1030684","苗栗分行","苗栗縣苗栗市中正路５６７號１樓","037380088"
"1030693","花蓮分行","花蓮縣花蓮市中正路４８４號","03 8310802"
"1030709","基隆分行","基隆市仁一路２５９號１、２樓","02 24213998"
"1030718","宜蘭分行","宜蘭縣宜蘭市光復路４８號","03 9358178"
"1030727","三峽分行","台北縣三峽鎮復興路４５號","02 86717616"
"1030736","路竹簡易型分行","高雄縣路竹鄉中山路１１８５號","07 6975395"
"1030745","高雄分行","高雄市前金區中華四路３４９號１樓","07 2158811"
"1030754","新莊分行","台北縣新莊市新泰路２５２號","02 29965995"
"1030763","江子翠分行","台北縣板橋市文化路二段４２８號","02 82586288"
"1030772","南勢角分行","台北縣中和市景新街３４７號１樓","02 29484888"
"1030781","彌陀簡易型分行","高雄縣彌陀鄉中正路２４２號","07 6178407"
"1030790","岡山分行","高雄縣岡山鎮岡山路３３９號１、２樓","07 6212551"
"1030806","北高雄分行","高雄市民族一路５２３號","07 3478511"
"1030824","小港分行","高雄市小港區漢民路２９２號","07 8025588"
"1030833","中華分行","台中市中區中華路一段１２６號","04 22203176"
"1030842","承德分行","台北市士林區承德路四段３１８號１樓","02 28812628"
"1030851","敦南分行","台北市敦化南路一段２４３號１樓","02 27513989"
"1030860","中和分行","台北縣中和市中山路三段３５之１號","02 82213878"
"1030879","南台中分行","台中市復興路二段１６０之１號","04 22612516"
"1030888","水湳分行","台中市北屯區中清路５０號","04 22910388"
"1030897","北屯分行","台中市北屯區文心路四段９７４號","04 22333626"
"1030903","西屯分行","台中市西屯區光明路６３號","04 27019551"
"1030912","向上分行","台中市西區向上路一段１１６號","04 23056881"
"1030921","十甲分行","台中市東區精武東路３６號","04 22120606"
"1030930","豐原分行","台中縣豐原市圓環南路１９３號１、２樓","04 25251201"
"1030949","永安分行","台中市西屯路三段１５９號之７５號","04 24616115"
"1030958","屏東分行","屏東縣屏東市中正路１２３號","08 7339911"
"1030967","東園分行","屏東縣屏東市廣東路６３號","08 7228306"
"1030976","萬丹分行","屏東縣萬丹鄉萬全村萬丹路一段２５６號","08 7772010"
"1030985","七賢分行","高雄市新興區七賢一路２４９號","07 2361678"
"1030994","和生分行","屏東縣屏東市和生路二段６８號","08 7529782"
"1031003","汐止分行","台北縣汐止市中興路１４６號１樓","02 26959659"
"1031012","桃北分行","桃園縣桃園市經國路４４９號","03 3465660"
"1031021","東新竹分行","新竹市中央路１８９號","03 5153288"
"1031030","九如簡易型分行","屏東縣九如鄉九如路二段１００號","08 7390985"
"1031049","永華簡易型分行","台南市西區永華路３２號","06 2262088"
"1031058","壢新分行","桃園縣中壢市環西路１２１號１樓","03 4918787"
"1031067","太平簡易型分行","台中縣太平市太平路７５６號","04 22788696"
