"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"104","台北市第五信用合作社","14位","台北市民生西路２２８號","02 25551151"
"通匯金融代號","支單位名稱","地址","電話"
"1040018","營業部","台北市民生西路２２８號","02 25551151"
"1040027","吉林分社","台北市吉林路３１２號","02 25426255"
"1040036","大同分社","台北市民族西路８０號","02 25959776"
"1040045","中山分社","台北市龍江路２６６號","02 25017206"
"1040054","松山分社","台北市中坡南路１１號","02 26516885"
"1040063","大安分社","台北市復興南路二段８６∣５號","02 27548656"
"1040072","石牌分社","台北市北投區裕民六路１３２號","02 28218955"
"1040081","南港分社","台北市研究院路一段２０號","02 26516010"
"1040090","文山分社","台北市興隆路四段７０號","02 22342313"
"1040106","中正分社","台北市南昌路二段１３９號","02 23696881"
"1040115","北投分社","台北市中央南路一段１０８號","02 28930131"
"1040124","內湖分社","台北市金龍路６９號","02 87920676"
"1040133","天母分社","台北市德行東路１５號","02 28385252"
