"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"108","陽信商業銀行","11位、12位","台北市石牌路一段８８號","02 28208166"
"通匯金融代號","支單位名稱","地址","電話"
"1080014","營業部","台北市中正路２５５號","02 28822330"
"1080023","石牌分行","台北市石牌路一段９０號","02 28238480"
"1080032","北投分行","台北市光明路１５２號","02 28917361"
"1080041","社子分行","台北市延平北路五段２６０號","02 28121112"
"1080050","士林分行","台北市大北路８２號","02 28823660"
"1080069","大屯分行","台北市中和街３０４號","02 28919196"
"1080078","劍潭分行","台北市通河街１３１號","02 28854181"
"1080087","蘭雅分行","台北市中山北路六段１６９號","02 28362072"
"1080096","天母分行","台北市天母東路１５號","02 28732500"
"1080102","社中分行","台北市士林區社中街２１８號","02 28151415"
"1080111","吉林分行","台北市吉林路３０４號","02 25611188"
"1080120","成功分行","台北市成功路四段７０號","02 27922433"
"1080139","民生分行","台北市民生東路五段１６７號","02 27606335"
"1080148","延吉分行","台北市延吉街１１號","02 25786201"
"1080157","木柵分行","台北市木柵路三段９６號","02 22345890"
"1080166","龍江分行","台北市龍江路３５６巷４９號","02 25165945"
"1080175","南京分行","台北市南京東路四段１３２號","02 25790229"
"1080184","景美分行","台北市景後街９５號之１２","02 29300202"
"1080193","中興分行","台北市民生東路三段３６號","02 25165268"
"1080209","信義分行","台北市信義路四段１８８號","02 27068388"
"1080218","中和分行","台北縣中和市建一路２４５號","02 22225199"
"1080227","永和分行","台北縣永和市中山路一段１８６號","02 29265899"
"1080236","蘆洲分行","台北縣蘆洲市集賢路３９３號","02 82822068"
"1080245","板橋分行","台北縣板橋市四川路一段１３３號","02 29550008"
"1080263","新和簡易型分行","台北縣中和市華新街８９號","02 89419339"
"1080272","溪洲分行","台北縣板橋市篤行路三段８７號","02 26819960"
"1080281","泰山分行","台北縣泰山鄉明志路一段１１０號１樓","02 22979797"
"1080290","新莊分行","台北縣新莊市龍安路５３３號","02 82019069"
"1080306","古亭分行","台北市汀州路二段４０號","02 83692288"
"1080315","三重分行","台北縣三重市自強路四段１０８號","02 89817171"
"1080324","大業簡易型分行","桃園縣桃園市大業路一段５３號","03 3478899"
"1080333","雙和分行","台北縣中和市景平路７２２號","02 82423919"
"1080342","復興分行","台北市復興北路１４３號","02 27196166"
"1080351","大安簡易型分行","台北市和平東路三段２２５號","02 27337711"
"1080360","桃園分行","桃園縣桃園市中山東路３２之２０號一樓之五","03 3360555"
"1080379","新店分行","台北縣新店市中正路２６３之５號","02 89117676"
"1080397","新福簡易型分行","台北縣新莊市幸福路８００號","02 29983366"
"1080403","新竹分行","新竹市中央路２４７號","03 5153608"
"1080412","員林分行","彰化縣員林鎮靜修路１２號","04 8322171"
"1080430","精武分行","台中市精武東路１８８號","04 22112368"
"1080449","社頭簡易型分行","彰化縣社頭鄉員集路二段２５７號","04 8721017"
"1080458","屏東分行","屏東縣屏東市中正路７０號","08 7326123"
"1080467","中正分行","屏東縣屏東市中正路２９３號","08 7360811"
"1080476","高雄分行","高雄市九如一路１９２號","07 3843163"
"1080485","苓雅分行","高雄市苓雅區復興二路２２號","07 3310066"
"1080494","自由簡易型分行","屏東縣屏東市自由路西段１１４號","08 7539224"
"1080500","嘉義分行","嘉義市西區中興路２９８號","05 2342023"
"1080519","新埔分行","台北縣板橋市四維路２４５號","02 82537789"
"1080528","台南分行","台南市忠義路二段１４８號","06 2282171"
"1080555","東寧分行","台南市東寧路２４７號","06 2375141"
"1080564","中華分行","台南市中華東路三段１０２號１樓","06 2670751"
"1080573","健康分行","台南市健康路二段３７０號","06 2612136"
"1080582","台中分行","台中市台中港路一段１５９號","04 23109996"
"1080607","西華分行","台南市中華西路二段３５９號","06 2979880"
"1080616","安順分行","台南市安和路一段２０２號","06 2563146"
"1080634","左營分行","高雄市左營區博愛二路１０２號","07 5560128"
"1080643","向上簡易型分行","台中市向上南路一段１６６號","04 24722528"
"1080652","內湖分行","台北市內湖區內湖路一段２５０號","02 26586698"
"1080661","中壢分行","桃園縣中壢市健行路１７１號","03 4281116"
"1080670","五股分行","台北縣五股鄉中興路一段十二號","02 89769000"
"1080689","林森分行","新竹市西大路１０９號地下１樓、１樓、２樓","03 6100189"
"1080698","立文分行","高雄市左營區立文路７５號","07 5580711"
"1080704","新興分行","高雄市新興區中正四路６號","07 2884131"
"1080713","青年分行","高雄市苓雅區青年一路１６９之１號","07 3318526"
"1080722","三鳳分行","高雄市三民區中華三路２９３號","07 2315101"
"1080731","四維分行","高雄市苓雅區中華四路１５９號","07 3333701"
"1080740","大公分行","高雄市鹽埕區大公路４０號","07 5315105"
"1080759","大順分行","高雄市三民區大順二路４１號","07 3861622"
"1080768","海光分行","高雄市左營區左營大路１９０號","07 5823511"
"1080777","前鎮分行","高雄市苓雅區三多二路２８１號","07 7110046"
"1080786","平等分行","高雄市三民區自立一路２８３號","07 3214622"
"1080795","民族分行","高雄市新興區中正二路２１８號","07 2242426"
"1080801","小港分行","高雄市小港區康莊路１７８之１號","07 8065171"
"1080810","右昌分行","高雄市楠梓區加昌路８０３號","07 3646530"
"1080829","建國分行","高雄市苓雅區武廟路１２４號","07 7153513"
"1080838","五甲分行","高雄縣鳳山市五甲二路３６８號","07 7260801"
"1080847","鼎力分行","高雄市三民區鼎力路１４２號","07 3465955"
"1080856","楠梓分行","高雄市楠梓區楠梓路５５號","07 3535513"
"1080865","旗山分行","高雄縣旗山鎮中山路１５８號","07 6612081"
"1080874","六龜簡易型分行","高雄縣六龜鄉義寶村光復路９４號","07 6892741"
"1080883","美濃簡易型分行","高雄縣美濃鎮中正路一段２５號","07 6818346"
"1080917","林園分行","高雄縣林園鄉東林西路１３６號１樓","07 6438141"
"1080926","岡山分行","高雄縣岡山鎮大德一路１６號１樓","07 6236182"
"1080935","仁德分行","台南縣仁德鄉中正路二段２７３號","06 2706361"
"1080944","佳里分行","台南縣佳里鎮建南里新生路２７７號","06 7217396"
"1080953","永康分行","台南縣永康市中華路６２５號","06 2036607"
"1080971","中山分行","屏東縣屏東市中山路１８７號","08 7331053"
"1080980","里港分行","屏東縣里港鄉春林村里港路４３號","08 7757735"
"1080999","東港簡易型分行","屏東縣東港鎮中正路１６６號","08 8320887"
"1081017","光華分行","嘉義市東區光華路１１９號","05 2285830"
"1081026","臺北分行","台北市民生東路一段４３號","02 25633710"
"1081035","長安分行","台北市大同區長安西路二０五號","02 25595500"
"1081053","羅東分行","宜蘭縣羅東鎮中正北路三十號","03 9571259"
"1081062","竹北分行","新竹縣光明六路東一段二三六號","03 6585818"
"1081071","重新分行","台北縣三重市重新路四段２８號","02 29779886"
"1081080","彰化分行","彰化縣彰化市曉陽路１８７號","04 7289399"
