"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"115","基隆市第二信用合作社","11位","基隆市愛二路７８號","02 24202701"
"通匯金融代號","支單位名稱","地址","電話"
"1150014","營業部（公誠證券收付處）","基隆市愛二路７８號","02 24202701"
"1150023","廟口分社","基隆市愛三路３７號","02 24266181"
"1150032","中正分社","基隆市中正路４３１號","02 24623171"
"1150041","新店分社（國際證券收付處）","基隆市孝三路８１號","02 24266176"
"1150050","七堵分社","基隆市南興路７０號","02 24566116"
"1150069","安樂分社","基隆市安一路７５號","02 24266171"
"1150078","信義分社","基隆市信二路１３７號","02 24266196"
"1150087","港東分社","基隆市義一路４３號","02 24202726"
"1150096","暖暖分社","基隆市暖暖街８７號","02 24579136"
"1150102","安和分社","基隆市安樂路二段１２４號","02 24332346"
"1150111","銘傳簡易型分社","基隆市仁一路１７３號","02 24241171"
"1150120","百福分社","基隆市福二街１４５號","02 24521226"
"1150139","基金簡易型分社","基隆市基金一路１７４－４號","02 24329066"
"1150148","新豐簡易型分社","基隆市新豐街４３０號","02 24602095"
"1150157","復興簡易型分社","基隆市復興路１０１號","02 24367477"
