"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"162","彰化第六信用合作社","13位","彰化縣彰化市彰美路一段１８６號","04 7248031"
"通匯金融代號","支單位名稱","地址","電話"
"1620012","車路口分社","彰化縣彰化市中正路一段３３６號","04 7231133"
"1620021","營業部","彰化縣彰化市彰美路一段１８６號","04 7248031"
"1620030","觀音亭口分社","彰化縣彰化市民族路５２０號","04 7242192"
"1620049","華陽分社","彰化縣彰化市南郭路一段１０１號","04 7240216"
"1620058","和美分社","彰化縣和美鎮永樂路２２號","04 7561121"
"1620067","花壇分社","彰化縣花壇鄉花壇街２５７號","04 7869400"
"1620076","曉陽分社","彰化縣彰化市曉陽路１４７號","04 7265626"
"1620085","伸港分社","彰化縣伸港鄉新港路２５７號","04 7988276"
"1620094","秀水分社","彰化縣秀水鄉彰水路二段３５０號","04 7683976"
"1620100","福興分社","彰化縣福興鄉彰鹿路七段３９７號","04 7769626"
