"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"178","嘉義市第三信用合作社","14位","嘉義市文化路８５號","05 2224087"
"通匯金融代號","支單位名稱","地址","電話"
"1780013","營業部","嘉義市文化路８５號","05 2224087"
"1780022","國華分社","嘉義市國華街１７４號","05 2271615"
"1780031","新榮分社","嘉義市新榮路１９５號","05 2222125"
"1780040","北興分社","嘉義市民生北路３１０號","05 2222494"
"1780059","忠孝分社","嘉義市公明路３００號","05 2275105"
"1780068","興嘉分社","嘉義市新民路７０６號","05 2855540"
"1780077","新南分社","嘉義市興業東路３１１號","05 2289670"
"1780086","新興分社","嘉義市友愛路２１０號","05 2332983"
"1780095","美源分社","嘉義市林森東路３９６號","05 2754906"
"1780101","新生分社","嘉義市新生路６７３號","05 2773420"
"1780110","民生分社","嘉義市民生南路３８７號","05 2841090"
