"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"188","台南第三信用合作社","14位","台南市中正路７號","06 2289136"
"通匯金融代號","支單位名稱","地址","電話"
"1880010","營業部","台南市中正路７號","06 2289136"
"1880029","東門分社","台南市東門路一段２５１號","06 2387111"
"1880038","西門分社","台南市西門路二段６８號","06 2111711"
"1880047","安平分社","台南市古堡街６２號","06 2112811"
"1880056","成功分社","台南市成功路１９２號","06 2112233"
"1880065","大同分社","台南市大同路二段２０５號","06 2154166"
"1880074","文賢分社","台南市文賢路３３５號","06 2591125"
"1880083","金華分社","台南市金華路二段５９號","06 2656575"
"1880092","小東分社","台南市小東路３７３號","06 2753356"
"1880108","開元分社","台南市開元路３３５號","06 2341212"
"1880117","中華分社","台南市中華東路三段１３９號","06 2896066"
"1880126","大灣分社","台南縣永康市民族路２７５號","06 2717123"
"1880135","安中分社","台南市安中路一段７５５號","06 2471133"
