"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"605","高雄市農會","13位","高雄市三民區民族一路７７號","07 3119151"
"通匯金融代號","支單位名稱","地址","電話"
"6050018","信用部","高雄市三民區民族一路７７號","07 3119151"
"6050029","三民分部","高雄市三民區建工路７３８號","07 3822411"
"6050030","鼓山分部","高雄市鼓山區吳鳳路７１號","07 5820113"
"6050041","新興分部","高雄市新興區七賢二路２１號","07 2861332"
"6050052","鼎力分部","高雄市三民區鼎力路９２號","07 3472611"
"6050063","苓雅分部","高雄市苓雅區三多一路１７４號","07 7257066"
"6050074","前鎮分部","高雄市前鎮區擴建一路４３號","07 8217414"
"6050085","楠梓分部","高雄市楠梓區楠梓路４７號","07 3511221"
"6050096","右昌分部","高雄市楠梓區盛昌街２１７號","07 3625163"
"6050100","後勁分部","高雄市楠梓區加昌路３０１號","07 3615107"
"6050111","左營分部","高雄市左營區左營大路７３號","07 5817130"
"6050122","營北分部","高雄市左營區左營大路６１２號","07 5815193"
"6050133","新庄分部","高雄市左營區新庄仔路７２６號","07 5572207"
