"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"607","北農中心所屬會員","","","02 29676789"
"通匯金融代號","支單位名稱","地址","電話"
"6070102","三星地區農會","宜蘭縣三星鄉義德村中山路３１號","03 9893170"
"6070249","大洲辦事處","宜蘭縣三星鄉大洲村大洲路３９號","03 9542371"
"6070250","福山辦事處","宜蘭縣三星鄉天山村福山街１１０號","03 9891835"
"6070353","大隱辦事處","宜蘭縣三星鄉大隱村大埔路１３８∣１２號","03 9890676"
"6070434","大同辦事處","宜蘭縣大同鄉南山村埤南巷４∣５號","03 9809116"
"6070076","五結鄉農會","宜蘭縣五結鄉五結村五結中路２３號","03 9501161"
"6070157","利澤分部","宜蘭縣五結鄉利澤村利成路二段４６３號","03 9504734"
"6070168","二結分部","宜蘭縣五結鄉三興村復興路１之９號","03 9506488"
"6070179","四結分部","宜蘭縣五結鄉四結村中正路一段４１號","03 9534702"
"6070054","壯圍鄉農會","宜蘭縣壯圍鄉壯五路１５２號","03 9385001"
"6070135","古亭辦事處","宜蘭縣壯圍鄉古亭村古亭路９７之３號","03 9304567"
"6070526","美城分部","宜蘭縣壯圍鄉美城村美間路２６之４０號","03 9307955"
"6070010","宜蘭市農會","宜蘭縣宜蘭市中山路３號","03 9322214"
"6070308","神農分部","宜蘭縣宜蘭市健康路二段１２９號","03 9323160"
"6070386","小東分部","宜蘭縣宜蘭市小東路６號","03 9323116"
"6070412","新店分部","宜蘭縣宜蘭市吳沙路２７∣１號","03 9284554"
"6070515","延平分部","宜蘭縣宜蘭市東港路１７之４６號","03 9384980"
"6070065","員山鄉農會","宜蘭縣員山鄉員山村員山路一段２１０號","03 9222161"
"6070146","同樂分部","宜蘭縣員山鄉同樂村永同路一段１９３號","03 9223452"
"6070331","深溝分部","宜蘭縣員山鄉深溝村深溝路１∣３號","03 9223616"
"6070445","大湖分部","宜蘭縣員山鄉湖北村大湖路１９∣３５號","03 9221291"
"6070021","頭城鎮農會","宜蘭縣頭城鎮西五巷３∣１號","03 9773100"
"6070113","大溪分部","宜蘭縣頭城鎮外大溪路３４０號","03 9781234"
"6070342","金面分部","宜蘭縣頭城鎮金面里（路）１１４號","03 9771595"
"6070478","竹安分部","宜蘭縣頭城鎮竹安路１００∣１號","03 9778733"
"6070032","羅東鎮農會","宜蘭縣羅東鎮純精南路１０９號","03 9518667"
"6070283","民權辦事處","宜蘭縣羅東鎮民權路１７１號","03 9576481"
"6070319","南門辦事處","宜蘭縣羅東鎮中正南路１９７號","03 9540358"
"6070364","北門辦事處","宜蘭縣羅東鎮公正路３２２號","03 9542866"
"6070375","中正路辦事處","宜蘭縣羅東鎮中正路１３０號","03 9542811"
"6070467","東門辦事處","宜蘭縣羅東鎮光榮路２２２號","03 9508100"
"6070098","蘇澳地區農會","宜蘭縣蘇澳鎮中山路９８號","03 9965111"
"6070205","南方澳分部","宜蘭縣蘇澳鎮南寧路６２號","03 9965161"
"6070216","南澳分部","宜蘭縣蘇澳鎮南澳路６號","03 9981566"
"6070227","新馬分部","宜蘭縣蘇澳鎮大同路１３５號","03 9905178"
"6070238","新城分部","宜蘭縣蘇澳鎮新城南路１０號","03 9963066"
"6070423","龍德分部","宜蘭縣蘇澳鎮福德路４０６號","03 9905181"
