"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"807","永豐商業銀行","14位","台北市南京東路三段３６號","02 25063333"
"通匯金融代號","支單位名稱","地址","電話"
"8070014","世貿分行","台北市信義區基隆路１段３８０號１樓","02 23451177"
"8070025","敦北分行","台北市敦化北路２０９號","02 27127899"
"8070036","台中分行","台中市自由路一段１０１號","04 22205766"
"8070047","高雄分行","高雄市中正二路１４３及１４５號","07 2243733"
"8070058","忠孝分行","台北市敦化南路一段２３６巷１號","02 27788811"
"8070069","西松分行","台北市松山區東興路１２號","02 27469888"
"8070070","板新分行","台北縣板橋市民權路１８６號","02 29681616"
"8070092","敦南分行","台北市安和路二段１８５號","02 23780707"
"8070106","新泰分行","台北縣新莊市新泰路２６５號","02 29929898"
"8070117","桃園分行","桃園縣桃園市復興路５１號","03 3339000"
"8070128","北台中分行","台中市文心路三段１０２７號","04 22938101"
"8070139","台南分行","台南市健康路二段１１４號","06 2232888"
"8070151","松江分行","台北市松江路１９２號","02 25679911"
"8070162","嘉義分行","嘉義市興業西路３３８號","05 2357888"
"8070173","三民分行","高雄市民族一路７８號","07 3928988"
"8070184","新竹分行","新竹市光復路二段２９３號","03 5728866"
"8070195","三重分行","台北縣三重市忠孝路二段８０號","02 29833008"
"8070210","台北分行","台北市建國北路二段９之１號","02 25088992"
"8070221","彰化分行","彰化縣彰化市民族路３１７號","04 7263111"
"8070232","岡山分行","高雄縣岡山鎮大德一路１號１樓","07 6226688"
"8070243","中壢分行","桃園縣中壢市慈惠三街１６０號","03 4278988"
"8070254","鳳山分行","高雄縣鳳山市光遠路３６６號","07 7108866"
"8070265","中正簡易型分行","台北市羅斯福路二段１７２號","02 23672888"
"8070276","北新分行","台北縣新店市北新路二段２６０號","02 29127799"
"8070287","屏東分行","屏東縣屏東市復興北路１４號","08 7323322"
"8070298","北桃園分行","桃園縣桃園市春日路６５６號","03 3178889"
"8070302","學府分行","台北縣土城市學府路一段１２４號","02 22662000"
"8070313","南高雄分行","高雄市中華四路１００號","07 5351111"
"8070324","光華分行","新竹市田美三街３５號","03 5356688"
"8070335","新生分行","台北市信義路二段２６３號１樓","02 23926611"
"8070346","天母分行","台北市忠誠路二段２４９號１樓","02 28721177"
"8070357","東板橋分行","台北縣板橋市中山路二段１４７號","02 89522200"
"8070368","東台南分行","台南市長榮路二段１６３號","06 2005566"
"8070379","竹南分行","苗栗縣竹南鎮光復路１５７號１－３樓","037479898"
"8070380","南台中分行","台中市南屯區公益路二段６６號","04 23232468"
"8070391","福林簡易型分行","台北市士林區中山北路５段６２０號１樓","02 28330505"
"8070405","永康分行","台南縣永康市中華路７２５號","06 2028599"
"8070416","中科分行","台中市台中港路３段１２６－２１號１樓","04 24651688"
"8070427","北高雄分行","高雄市左營區裕誠路４４１號","07 5575888"
"8070438","東三重簡易型分行","台北縣三重市正義北路５５號","02 89852888"
"8070449","信維簡易型分行","台北市信義路四段４６號","02 27049911"
"8070450","中崙分行","台北市八德路二段３０６號３樓","02 81618000"
"8070461","西湖分行","台北市內湖路一段２４４號１樓","02 87976633"
"8070472","豐原分行","台中縣豐原市中正路２４５號１樓","04 25208966"
"8070483","新工簡易型分行","新竹縣湖口鄉鳳山村中華路２２號２樓","03 5972277"
"8071011","忠孝東路分行","台北市忠孝東路四段４８號１樓","02 27717011"
"8071033","建成分行","台北市長安西路４３號１樓","02 25553261"
"8071044","西門簡易型分行","台北市成都路７５號１樓","02 23818255"
"8071055","萬華分行","台北市康定路２８０－２８８號１樓","02 23023485"
"8071066","興隆分行","台北市興隆路二段２２２號","02 29339831"
"8071077","南門分行","台北市南昌路一段１１０號","02 23917565"
"8071088","東門分行","台北市信義路二段１５２號１樓","02 23943203"
"8071099","延平分行","台北市民生西路２８６號１樓","02 25580091"
"8071103","北投分行","台北市光明路１６６之４號１樓","02 28912127"
"8071114","松山分行","台北市八德路四段６８０號１樓","02 27611331"
"8071125","中山分行","台北市中山北路二段７９號１樓","02 25717221"
"8071136","士林分行","台北市士林區承德路４段８５號","02 28868877"
"8071147","三和分行","台北縣三重市重新路二段２４號１樓","02 29728787"
"8071158","雙園分行","台北市東園街５８號１樓","02 23038222"
"8071169","永和分行","台北縣永和市永和路二段４７號１樓","02 29274000"
"8071170","板橋分行","台北縣板橋市府中路２３號１樓","02 29671112"
"8071181","基隆分行","基隆市中正區義一路２號１樓","02 24231161"
"8071192","羅東分行","宜蘭縣羅東鎮中正路２０３號１樓Ａ區","03 9545421"
"8071206","宜蘭分行","宜蘭縣宜蘭市中山路三段３３號１樓","03 9324511"
"8071217","營業部","台北市南京東路三段３６號","02 21835001"
"8071228","景美分行","台北市車前路１２號１樓","02 29328540"
"8071239","新莊分行","台北縣新莊市中正路３４１號１樓","02 22016123"
"8071251","汐止分行","台北縣汐止市汐萬路一段１號","02 26421561"
"8071262","城中分行","台北市博愛路１７號１樓","02 23817777"
"8071273","光復分行","台北縣中和市立德街２０４號１－３樓","02 82275058"
"8071284","正義分行","台北縣三重市正義北路３４３號１樓","02 29811335"
"8071295","中和分行","台北縣永和市中正路５１號１樓","02 86689393"
"8071310","士東分行","台北市中山北路六段４２３號１樓","02 28727155"
"8071321","中港分行","台北縣新莊市中港路３９９號１樓","02 29923123"
"8071332","蘆洲分行","台北縣蘆洲市三民路３０號１樓","02 22818966"
"8071343","內湖分行","台北市內湖路一段７２１號１樓","02 27971600"
"8071354","社子分行","台北市延平北路六段１１１號１樓","02 28129477"
"8071365","信義分行","台北市信義路四段２５２號","02 27058322"
"8071376","永春分行","台北市永吉路３５２號１樓","02 27695323"
"8071387","南三重分行","台北縣三重市中正北路４００號１樓","02 29820711"
"8071398","積穗分行","台北縣中和市連城路５３３號","02 22234077"
"8071402","鶯歌分行","台北縣鶯歌鎮建國路２１２號１樓","02 26786000"
"8071413","新店分行","台北縣新店市中正路２９０號１樓","02 29172202"
"8071435","西盛分行","台北縣新莊市後港一路６１號１樓","02 22027700"
"8071446","板橋忠孝分行","台北縣板橋市忠孝路４２號１樓","02 29553678"
"8071457","思源分行","台北縣新莊市化成路５４０號之１","02 29968840"
"8071468","土城分行","台北縣土城市中央路二段２２３之５號１樓","02 22608122"
"8071479","三興分行","台北市莊敬路２９４號１樓","02 27232955"
"8071480","龍江分行","台北市龍江路４０７號１樓","02 25095570"
"8071491","樹林分行","台北縣樹林市中山路一段２８８號１樓","02 26838668"
"8071505","五股分行","台北縣五股鄉工商路８４號１樓","02 22917333"
"8071538","松德分行","台北市信義區松德路１３２號","02 87882688"
"8071549","東湖分行","台北市東湖路２３號１樓","02 26335555"
"8071550","華江分行","台北縣板橋市新海路８２號１樓","02 22572199"
"8071561","北三重分行","台北縣三重市自強路四段８３號１樓","02 29826239"
