"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"812","台新國際商業銀行","14位","台北市中山北路二段４４號","02 25683988"
"通匯金融代號","支單位名稱","地址","電話"
"8120012","營業部","台北市中山北路二段４４號","02 25683988"
"8120023","敦南分行","台北市大安區仁愛路４段１１８號","02 23268899"
"8120045","新生分行","台北市新生南路一段６２號","02 23952888"
"8120056","新莊分行","台北縣新莊市中華路二段７５號","02 29980888"
"8120067","桃園分行","桃園縣桃園市復興路２０５號","03 3396000"
"8120078","台中分行","台中市台中港路一段３０８號","04 23285577"
"8120089","板橋分行","台北縣板橋市中正路１７６號","02 29658888"
"8120090","高雄分行","高雄市中華三路９８號","07 2824300"
"8120104","台南分行","台南市西門路二段３８９號","06 2233383"
"8120115","南京東路分行","台北市南京東路三段２８９號","02 25461068"
"8120126","中壢分行","桃園縣中壢市延平路３６６號１樓","03 4272345"
"8120137","信託部","台北市南京東路三段２８７號２Ｆ","02 27195888"
"8120159","苓雅分行","高雄市中山二路２６０號１樓","07 5375537"
"8120160","蘆洲分行","台北縣蘆洲市民族路２６５∣２６７號","02 28485858"
"8120171","天母分行","台北市忠誠路一段５６號","02 28363988"
"8120182","大里分行","台中縣大里市中興路二段１２７號","04 24834088"
"8120207","中和分行","台北縣永和市中和路３４３號","02 22327788"
"8120218","嘉義分行","嘉義市垂楊路６２０號","05 2222818"
"8120229","豐原分行","台中縣豐原市圓環南路１２９號","04 25257999"
"8120230","花蓮分行","花蓮縣花蓮市中正路１８３號","03 8345930"
"8120241","新竹分行","新竹市東大路二段８３號","03 5351546"
"8120252","七賢分行","高雄市七賢一路３８６號１樓","07 2388545"
"8120263","信義分行","台北市樂利路８９號","02 27393988"
"8120274","北台中分行","台中市北屯區崇德路二段５５號","04 22326886"
"8120285","三重分行","台北縣三重市正義北路１１２號","02 29836100"
"8120296","永福分行","台南市永福路二段１５０號","06 2204622"
"8120300","屏東分行","屏東縣屏東市廣東路１０３號","08 7217777"
"8120311","大安分行","台北市信義路三段１１８號","02 27009388"
"8120322","龍潭分行","桃園縣龍潭鄉中正路１７６號","03 4993800"
"8120333","崇德分行","台南市崇德路２６０號","06 2906901"
"8120344","金華分行","台南市金華路二段１９５號","06 2639121"
"8120355","後甲分行","台南市裕農路６６０號１樓","06 2687412"
"8120366","海佃分行","台南市海佃路一段１３０號","06 2585015"
"8120377","彰化分行","彰化縣彰化市中正路一段２７３號","04 7227789"
"8120388","五甲分行","高雄縣鳳山市五甲三路９號","07 8131168"
"8120399","鳳山分行","高雄縣鳳山市中山西路１０５號","07 7199999"
"8120403","古亭分行","台北市羅斯福路三段２８號","02 23646888"
"8120414","建橋分行","台北市建國北路一段９６號２樓","02 25081899"
"8120436","民生分行","台北市松山區富錦街５０８號","02 87872680"
"8120447","太平分行","台中縣太平市宜昌路５１１號","04 22730588"
"8120458","和平分行","台北市和平東路一段２３８號","02 23685589"
"8120469","北高雄分行","高雄市博愛二路３６０號","07 5509900"
"8120470","南新莊分行","台北縣新莊市富國路５８之１號","02 29068868"
"8120481","內湖分行","台北市內湖路一段３５８號","02 26599966"
"8120492","永和分行","台北縣永和市竹林路１９５號","02 89280588"
"8120517","逢甲分行","台中市河南路二段２５８號","04 24517890"
"8120528","竹科分行","新竹市光復路二段２８９號","03 5163123"
"8120540","南屯分行","台中市東興路二段１８７號","04 24720788"
"8120551","大直分行","台北市北安路６４５號","02 85096858"
"8120562","南門分行","台北市中正區南昌路一段５５號","02 23972588"
"8120610","西門分行","台北市重慶南路一段５７號１樓","02 23717878"
"8120621","敦北分行","台北市民生東路三段１３３號１樓","02 27126666"
"8120632","忠孝分行","台北市忠孝東路四段２８０號","02 66369999"
"8120643","復興分行","台北市復興北路１５０號","02 27137666"
"8120654","板南分行","台北縣板橋市館前東路４１號","02 29566789"
"8120665","民權分行","台中市民權路５５９號","04 22051888"
"8120676","五福分行","高雄市五福二路１１６號","07 2168855"
"8120687","建北分行","台北市中山區建國北路二段１７號３樓","02 25056966"
"8120698","三和分行","台北縣三重市三和路四段１８３號","02 22877979"
"8120702","東港分行","屏東縣東港鎮中正路１３５號１樓","08 8331788"
"8120713","府城分行","台南市中山路８８號","06 2284400"
"8120724","東高雄分行","高雄市建興路３０９號","07 3801500"
"8120735","基隆路分行","台北市基隆路二段５３號","02 27352567"
"8120746","新店分行","台北縣新店市建國路１１４號","02 29157766"
"8120757","縣府分行","桃園縣桃園市縣府路１１６號","03 3351955"
"8120768","西台中分行","台中市大墩路７１１號","04 23274567"
"8120779","延平分行","台北市延平北路二段２０２號１樓","02 25579155"
"8120780","南壢分行","桃園縣中壢市中豐路３６９號","03 4273377"
"8120791","景平分行","台北縣中和市景平路６３４－９號","02 22428989"
"8120805","文心分行","台中市北屯區文心路三段４４７號Ｂ１","04 22946888"
"8120816","岡山分行","高雄縣岡山鎮維仁路９５號","07 6219677"
"8120827","台北分行","台北市八德路三段２０８號","02 25798989"
"8120838","大雅分行","台中縣大雅鄉中清路二段１９８號１樓","04 25652299"
"8120849","汐止分行","台北縣汐止市中興路１３５號１樓","02 26945133"
"8120850","南屏分行","屏東縣屏東市仁愛路７５－２號","08 7337575"
"8120861","石牌分行","台北市北投區石牌路二段４９號１樓","02 55815052"
"8120872","永康分行","台南縣永康市中華路９８６號","06 2425788"
"8120883","南松山分行","台北市南京東路五段９２號","02 25286188"
"8120894","淡水分行","台北縣淡水鎮中山路７６號","02 26268689"
"8120908","東基隆分行","基隆市信一路１３３－１號","02 24249999"
"8120919","新板分行","台北縣板橋市縣民大道二段９８號１樓","02 29571858"
"8120920","北師分行","台北市和平東路二段３４７號","02 27058588"
"8120931","佳里分行","台南縣佳里鎮延平路２８８之１號１樓","06 7226655"
"8120942","江翠分行","台北縣板橋市文化路二段１８２巷３弄８５號","02 82529999"
"8120975","松德分行","台北市信義區松山路４９３號","02 27261688"
"8120986","北大分行","新竹市北大路４５７號","03 5218181"
"8120997","東門分行","新竹市東門街１２９號","03 5234141"
"8121008","關東橋分行","新竹市光復路一段２７１號","03 5779292"
"8121019","竹北分行","新竹市中正東路３３１號","03 5518383"
"8121020","南寮分行","新竹市東大路三段５４３號","03 5362611"
"8121031","八德分行","桃園縣八德市介壽路一段９９１號","03 3626668"
"8121042","員林分行","彰化縣員林鎮育英路２８號","04 8397899"
"8121053","民族分行","新竹市民族路１９６號","03 5323171"
"8121064","右昌分行","高雄市楠梓區後昌路７５０號１樓","07 3652200"
"8121075","沙鹿分行","台中縣沙鹿鎮中山路２０１之１號１樓","04 26656699"
"8121086","頭份分行","苗栗縣頭份鎮自強路４１號","037696188"
"8121097","羅東分行","宜蘭縣羅東鎮公路１５３號","03 9533366"
