"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"005","臺灣土地銀行","存款類12位\n放款類13位","台北市館前路４６號","02 23483456"
"通匯金融代號","支單位名稱","地址","電話"
"0050027","基隆分行","基隆市義一路１８號","02 24210200"
"0050038","中和分行","台北縣中和市景平路３２３號","02 29461123"
"0050049","南港分行","台北市南港路一段３６４號１樓","02 27834161"
"0050050","台北分行","台北市博愛路７２號","02 23713241"
"0050061","民權分行","台北市民權西路２６號","02 25629801"
"0050072","古亭分行","台北市羅斯福路三段１２５號","02 23634747"
"0050083","長安分行","台北市長安東路二段５２號","02 25238166"
"0050094","士林分行","台北市中山北路五段６８９號","02 28341361"
"0050108","三重分行","台北縣三重市重新路二段１之８∣１０號","02 89712222"
"0050119","宜蘭分行","宜蘭縣宜蘭市光復路４３號","03 9361101"
"0050120","羅東分行","宜蘭縣羅東鎮公正路１５８號","03 9571111"
"0050131","桃園分行","桃園縣桃園市中正路７５號","03 3379911"
"0050142","中壢分行","桃園縣中壢市中山路１９０號","03 4253140"
"0050153","石門分行","桃園縣龍潭鄉北龍路４９號","03 4792101"
"0050164","新竹分行","新竹市中央路１號","03 5213211"
"0050175","竹東分行","新竹縣竹東鎮東林路１０號","03 5961171"
"0050186","花蓮分行","花蓮縣花蓮市中山路３５６號","03 8312601"
"0050197","玉里分行","花蓮縣玉里鎮中山路二段５１號","03 8886181"
"0050201","苗栗分行","苗栗縣苗栗市中正路４０２號","037320531"
"0050212","頭份分行","苗栗縣頭份鎮中華路９３２號","037667185"
"0050223","豐原分行","台中縣豐原市中山路５０８號","04 25242191"
"0050234","大甲分行","台中縣大甲鎮鎮政路４０號","04 26877181"
"0050245","台中分行","台中市中區自由路二段１號","04 22235021"
"0050256","南投分行","南投縣南投市中山街２０２號","0492222143"
"0050267","員林分行","彰化縣員林鎮中山路二段１００號","04 8323171"
"0050278","斗六分行","雲林縣斗六市中山路７２號","05 5323901"
"0050289","北港分行","雲林縣北港鎮民主路９０號","05 7836111"
"0050290","嘉義分行","嘉義市中山路３０９號","05 2241150"
"0050304","新營分行","台南縣新營市中山路７９號","06 6322441"
"0050315","永康分行","台南縣永康市中山南路２０號","06 2321171"
"0050326","台南分行","台南市中正路２８號","06 2265211"
"0050337","高雄分行","高雄市大勇路１３１號","07 5515231"
"0050348","岡山分行","高雄縣岡山鎮岡山路２８５號","07 6216102"
"0050359","美濃分行","高雄縣美濃鎮中山路一段６５號","07 6813211"
"0050360","屏東分行","屏東縣屏東市逢甲路７８號","08 7325131"
"0050371","台東分行","台東縣台東市中華路一段３５７號","089310111"
"0050382","青年分行","高雄縣鳳山市青年路二段２８１號１樓","07 7808700"
"0050393","金門分行","金門縣金城鎮民生路３４號","08 2327301"
"0050407","澎湖分行","澎湖縣馬公鎮三民路２０號","06 9262141"
"0050418","營業部","台北市館前路４６號","02 23483456"
"0050452","和平分行","台北市和平東路三段１５號","02 27057505"
"0050463","潮州分行","屏東縣潮州鎮新生路１２號","08 7884111"
"0050474","彰化分行","彰化縣彰化市光復路９８號","04 7230777"
"0050485","中山分行","高雄市五福三路８７號","07 2519406"
"0050496","永和分行","台北縣永和市竹林路３３號","02 89268168"
"0050500","板橋分行","台北縣板橋市文化路一段１４３號","02 29689111"
"0050511","鳳山分行","高雄縣鳳山市曹公路１５號","07 7460121"
"0050522","湖口分行","新竹縣湖口鄉中正路一段１０２號","03 5996111"
"0050533","蘇澳分行","宜蘭縣蘇澳鎮太平路１７號","03 9961100"
"0050544","新興分行","高雄市七賢一路４８０號","07 2355111"
"0050555","西台中分行","台中市西區五權路２∣４號","04 22289151"
"0050566","虎尾分行","雲林縣虎尾鎮林森路一段４９０號","05 6327373"
"0050577","仁愛分行","台北市仁愛路三段２９號","02 27728282"
"0050588","忠孝分行","台北市復興南路一段１２９號","02 27312393"
"0050599","中正分行","高雄市中正三路１５８號","07 2352156"
"0050614","新店分行","台北縣新店市北新路一段３０９號","02 29151234"
"0050625","北台南分行","台南市公園路１２８之７號","06 2210071"
"0050636","松山分行","台北市敦化南路一段１號","02 25774558"
"0050647","內湖分行","台北市民權東路六段１５６號","02 27963800"
"0050658","三民分行","高雄市三民區建工路６４７號１樓","07 3861301"
"0050669","民雄分行","嘉義縣民雄鄉建國路三段２１６號","05 2200180"
"0050670","大社分行","高雄縣大社鄉中山路３６９號","07 3520779"
"0050692","前鎮分行","高雄市前鎮區一心一路２４１號","07 3329755"
"0050706","路竹分行","高雄縣路竹鄉中山路７５０號","07 6972131"
"0050717","五甲分行","高雄縣鳳山市五甲二硌２５６號","07 7715176"
"0050728","太平分行","台中縣太平市中山路３段１３１號１樓","04 22780788"
"0050739","正濱分行","基隆市中正區中正路６５２號","02 24621111"
"0050740","敦化分行","台北市敦化南路二段７６號","02 27052987"
"0050762","蘆洲分行","台北縣蘆洲市中山一路１００號","02 22859100"
"0050773","北台中分行","台中市大雅路４５號","04 22016902"
"0050784","苓雅分行","高雄市苓雅區忠孝二路１８號","07 3328477"
"0050795","信義分行","台北市基隆路一段４３６號","02 27585667"
"0050809","土城分行","台北縣土城市中央路一段１２７號","02 22651000"
"0050810","淡水分行","台北縣淡水鎮中山北路一段４０號","02 26219691"
"0050821","草屯分行","南投縣草屯鎮中正路６０１之７號","0492330573"
"0050832","東台南分行","台南市東門路三段２６１號","06 2902789"
"0050843","通霄分行","苗栗縣通霄鎮中正路８５號","037756010"
"0050854","學甲分行","台南縣學甲鎮中正路３０３號","06 7832166"
"0050865","新莊分行","台北縣新莊市思源路２２１號","02 29973321"
"0050876","雙和分行","台北縣中和市中山路二段１２０號","02 22425300"
"0050898","白河分行","台南縣白河鎮三民路３９５號","06 6855301"
"0050902","復興分行","台北市民生東路三段１３２號","02 27199989"
"0050913","平鎮分行","桃園縣平鎮市南豐路９８號","03 4699111"
"0050935","文山分行","台北市文山區景興路２０６號","02 29336222"
