"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"006","合作金庫商業銀行","存款類一、放款類一13位","台北市館前路７７號","02 23118811"
"通匯金融代號","支單位名稱","地址","電話"
"0060017","總行","台北市館前路７７號","02 23118811"
"0060028","中山路分行","台北市中山北路二段７１號","02 25213211"
"0060039","西門分行","台北市昆明街７７號","02 23814949"
"0060040","延平分行","台北市南京西路３０１號","02 25554111"
"0060051","大稻埕分行","台北市重慶北路二段６７號","02 25568111"
"0060062","東門分行","台北市信義路二段２０８號","02 23933123"
"0060073","松山分行","台北市八德路四段６２２號","02 27656261"
"0060084","新店分行","台北縣新店市光明街３２號","02 29111111"
"0060095","永和分行","台北縣永和市中正路５７５號","02 29236611"
"0060109","三重分行","台北縣三重市正義南路１７號","02 29738111"
"0060110","板橋分行","台北縣板橋市文化路一段２０號","02 29660971"
"0060121","基隆分行","基隆市仁二路２５５號","02 24284181"
"0060132","宜蘭分行","宜蘭縣宜蘭市中山路三段３０號","03 9323911"
"0060143","蘇澳分行","宜蘭縣蘇澳鎮漁港路５６號","03 9962521"
"0060154","桃園分行","桃園縣桃園市中正路５８號","03 3326121"
"0060165","中壢分行","桃園縣中壢市中山路１８０號","03 4225141"
"0060176","新竹分行","新竹市中正路２３號","03 5244151"
"0060187","苗栗分行","苗栗縣苗栗市中正路６６０號","037320921"
"0060198","頭份分行","苗栗縣頭份鎮仁愛路７０號","037665115"
"0060202","豐原分行","台中縣豐原市中正路１０２號","04 25231122"
"0060213","沙鹿分行","台中縣沙鹿鎮沙田路１０６號","04 26622141"
"0060224","台中分行","台中市自由路二段２號","04 22245121"
"0060235","彰化分行","彰化縣彰化市民生路２７９號","04 7225151"
"0060246","員林分行","彰化縣員林鎮中山路一段８４４號","04 8322181"
"0060257","南投分行","南投縣南投市中山街９６號","0492234141"
"0060268","斗六分行","雲林縣斗六市大同路３號","05 5323981"
"0060279","北港分行","雲林縣北港鎮義民路５３號","05 7836136"
"0060280","嘉義分行","嘉義市國華街２７９號","05 2224571"
"0060291","新營分行","台南縣新營市中山路１１５號","06 6324121"
"0060305","台南分行","台南市成功路４８號","06 2232101"
"0060316","成功分行","台南市北門路一段９７號","06 2269161"
"0060327","鳳山分行","高雄縣鳳山市中正路９５號","07 7460181"
"0060338","岡山分行","高雄縣岡山鎮校前路２號","07 6216161"
"0060349","高雄分行","高雄市大勇路９９號","07 5514221"
"0060350","新興分行","高雄市西賢二路１１０號","07 2887121"
"0060361","屏東分行","屏東縣屏東市中正路４２號","08 7343611"
"0060372","潮州分行","屏東縣潮州鎮新生路９１號之１","08 7883101"
"0060383","花蓮分行","花蓮縣花蓮市中山路１２４號","03 8338111"
"0060394","台東分行","台東縣台東市中華路一段３３６號","089323011"
"0060408","澎湖分行","澎湖縣馬公市新明路２１號１樓","06 9272766"
"0060419","南京東路分行","台北市南京東路一段９８號","02 25623150"
"0060420","北高雄分行","高雄市中華三路２３２號","07 2863000"
"0060431","大同分行","台北市承德路三段１０號","02 25932323"
"0060442","和平分行","基隆市中正路３８９號","02 24622155"
"0060453","忠孝分行","台北市忠孝東路四段２８５號","02 27718811"
"0060464","景美分行","台北市文山區羅斯福路六段４５７號","02 29318111"
"0060475","士林分行","台北市士林區中正路４６９號１樓","02 28805161"
"0060486","汐止分行","台北縣汐止市忠孝東路２２５號","02 26413211"
"0060497","新莊分行","台北縣新莊市中正路２００號","02 29929981"
"0060501","中興分行","台中市公園路５號","04 22241161"
"0060512","苓雅分行","高雄市青年一路３９４號","07 2918151"
"0060545","台北分行","台北市復興北路５５號","02 27724277"
"0060567","營業部","台北市館前路７７號","02 23118811"
"0060578","南豐原分行","台中縣豐原市圓環南路１３８號","04 25244180"
"0060589","羅東分行","宜蘭縣羅東鎮公正路５１號","03 9545191"
"0060590","三民分行","高雄市博愛路一段３０號","07 3127190"
"0060604","城東分行","台北市松江路８７號","02 25070111"
"0060615","佳里分行","台南縣佳里鎮和平街８３號","06 7223131"
"0060626","中和分行","台北縣中和市泰和街９號","02 22499500"
"0060637","南高雄分行","高雄市三多三路９４號","07 3348141"
"0060648","南嘉義分行","嘉義市民族路７４６號","05 2286311"
"0060659","竹東分行","新竹縣竹東鎮長春路二段９２號","03 5963126"
"0060671","東三重分行","台北縣三重市三和路二段３７號","02 29728110"
"0060682","南興分行","台南市民生路二段７２號","06 2221291"
"0060693","五權分行","台中市公益路二段６１號","04 23229191"
"0060707","埔里分行","南投縣埔里鎮中山路二段２９９號","0492986411"
"0060718","大順分行","高雄市大順三路２０號","07 7131886"
"0060729","南勢角分行","台北縣中和市興南路一段２０號","02 29461266"
"0060730","朴子分行","嘉義縣朴子市海通路６２號","05 3794171"
"0060763","大安分行","台北市敦化南路二段８１巷１號","02 27553482"
"0060774","民權分行","台北市民權東路三段５８號","02 25057011"
"0060785","東高雄分行","高雄市中正三路２號","07 2366431"
"0060796","東台北分行","台北市忠孝東路四段３２５號","02 27721234"
"0060800","城內分行","台北市衡陽路８７號","02 23311041"
"0060811","建國分行","台北市信義路三段７７號","02 27027850"
"0060822","圓山分行","台北市中山北路二段８９之４號","02 25113245"
"0060833","信義分行","台北市信義路四段１７２號","02 27067188"
"0060844","長春分行","台北市長春路２０１號","02 25035015"
"0060855","仁愛分行","台北市仁愛路四段３２５號","02 27763071"
"0060866","玉成分行","台北市忠孝東路五段８１５號","02 27856060"
"0060877","古亭分行","台北市和平東路一段６５號","02 23949205"
"0060888","長安分行","台北市長安東路一段９號","02 25637181"
"0060899","松興分行","台北市南京東路五段２０２號之１","02 27643131"
"0060903","民族分行","台北市承德路三段２７７號","02 25962271"
"0060914","復興分行","台北市復興南路一段２３７號","02 27541111"
"0060925","雙連分行","台北市民生西路１１３號","02 25577151"
"0060936","民生分行","台北市民生東路三段１２６號","02 27181339"
"0060947","新生分行","台北市新生南路一段９３號","02 27771888"
"0060958","松江分行","台北市松江路１５２號","02 25224567"
"0060969","永吉分行","台北市松山路２７７號","02 27675226"
"0060981","東新莊分行","台北縣新莊市思源路３３９號","02 29973456"
"0060992","北三重分行","台北縣蘆洲市三民路８４號","02 82825678"
"0061003","前金分行","高雄市中華四路４５號","07 3363966"
"0061014","成大分行","台南市勝利路１３８號","06 3028001"
"0061025","大里分行","台中縣大里市中興路一段３８４號","04 24934111"
"0061036","海山分行","台北縣板橋市文化路二段４４３號","02 22551333"
"0061070","南台中分行","台中市忠明南路７８９號","04 22617211"
"0061081","埔墘分行","台北縣板橋市三民路二段３３號","02 29631122"
"0061092","慈文分行","桃園縣桃園市中正路７２０號","03 3578811"
"0061106","北寧分行","台北市南京東路四段１６號","02 25798811"
"0061117","迴龍分行","桃園縣龜山鄉萬壽路一段１６３號","02 82098266"
"0061128","太平分行","台中縣太平市中興路８４號","04 22761515"
"0061139","彰營分行","彰化縣彰化市民族路５３２號","04 7229221"
"0061140","彰儲分行","彰化縣彰化市中正路一段３２１號","04 7240082"
"0061151","虎尾分行","雲林縣虎尾鎮中正路１５號","05 6313821"
"0061162","南屯分行","台中市南屯區五權西路二段１０３號","04 24752171"
"0061173","西台中分行","台中市漢口路二段１５１號","04 23170311"
"0061184","溪湖分行","彰化縣溪湖鎮西環路５６號","04 8829121"
"0061195","烏日分行","台中縣烏日鄉中山路一段５９８號","04 23369911"
"0061209","和美分行","彰化縣和美鎮鹿和路六段３６１號","04 7570123"
"0061210","南桃園分行","桃園縣桃園市中山路８４５號","03 3692188"
"0061221","屏南分行","屏東縣屏東市民生路２５５號","08 7665511"
"0061232","東台南分行","台南市中華東路二段１９７號","06 2882211"
"0061243","北新竹分行","新竹市北大路１６８號","03 5284001"
"0061254","復旦分行","台北市市民大道四段１００號","02 27215551"
"0061265","竹山分行","南投縣竹山鎮集山路三段８３９號","0492652721"
"0061276","前鎮分行","高雄市前鎮區草衙一路５６號","07 8416491"
"0061287","灣內分行","高雄市三民區建工路８５４號","07 3861591"
"0061298","路竹分行","高雄縣路竹鄉國昌路６８號","07 6966122"
"0061302","憲德分行","高雄市公正路１８２號","07 7112046"
"0061313","竹北分行","新竹縣竹北市光明六路２６１號","03 5546000"
"0061324","六合分行","台北縣新店市三民路２號","02 29172911"
"0061335","五洲分行","台北市松江路２３７號","02 25077666"
"0061346","臺大分行","台北市中山南路７號地下一樓","02 23568071"
"0061368","龜山分行","桃園縣龜山鄉萬壽路二段１０６８號","03 3299661"
"0061379","大溪分行","桃園縣大溪鎮信義路４３號","03 3874666"
"0061380","龍潭分行","桃園縣龍潭鄉中正路２２１號","03 4893512"
"0061391","中原分行","桃園縣中壢市中北路二段３９２號","03 4688998"
