"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"009","彰化商業銀行","支存類14位\n存款類14位","台中市自由路二段３８號","04 22222001"
"通匯金融代號","支單位名稱","地址","電話"
"0092200","總行營業部","台中市自由路二段３８號","04 22222001"
"0093003","吉林分行","台北市南京東路二段９８號","02 25626151"
"0093010","城內分行","台北市衡陽路６８號","02 23113791"
"0094004","北台中分行","台中市中港路一段６號","04 22011122"
"0094011","南台中分行","台中市台中路１０２號","04 22243181"
"0094028","北屯分行","台中市北屯路１０號","04 22322922"
"0094035","水湳分行","台中市文心路三段４４７號","04 22969966"
"0094042","南屯分行","台中市文心路一段３０６號","04 23220011"
"0094059","台中分行","台中市復興路二段７８號","04 22650011"
"0094108","基隆分行","基隆市愛四路６０號","02 24233933"
"0094115","仁愛分行","基隆市孝二路１００號","02 24233941"
"0094122","東基隆分行","基隆市信一路５７號","02 24233861"
"0094202","宜蘭分行","宜蘭縣宜蘭市光復路１８號","03 9352510"
"0094219","羅東分行","宜蘭縣羅東鎮中正路１９４號","03 9551171"
"0095005","北門分行","台北市延平北路一段１８號","02 25586271"
"0095012","台北分行","台北市重慶南路一段２７號","02 23617211"
"0095029","萬華分行","台北市康定路３０４號","02 23060201"
"0095036","西門分行","台北市西寧南路１６９號","02 23719271"
"0095043","永樂分行","台北市迪化街一段１２０號","02 25585151"
"0095050","建成分行","台北市南京西路１２３號","02 25555121"
"0095067","大同分行","台北市重慶北路三段１９９號","02 25919113"
"0095074","承德分行","台北市士林區承德路４段８１號１樓","02 28868989"
"0095081","中山北路分行","台北市中山北路二段１１１號","02 25711241"
"0095109","東門分行","台北市信義路２段１３９號１樓","02 23921241"
"0095116","古亭分行","台北市羅斯福路二段２５號","02 23517211"
"0095130","大安分行","台北市和平東路一段１７７號","02 23213214"
"0095147","城東分行","台北市南京東路三段２２５號","02 27153535"
"0095154","中崙分行","台北市八德路２段２０１號","02 27312211"
"0095161","雙園分行","台北市莒光路３１２號","02 23042141"
"0095178","士林分行","台北市福德路２１號","02 28822354"
"0095185","總部分行","台北市中山北路二段５７號","02 25514256"
"0095192","松山分行","台北市永吉路１６５號","02 27625242"
"0095203","忠孝東路分行","台北市忠孝東路四段１６４號","02 27713151"
"0095210","信義分行","台北市信義路四段１５５號","02 27039081"
"0095227","東台北分行","台北市南京東路四段１２６號","02 25704567"
"0095234","民生分行","台北市民生東路四段５４之１號","02 27121311"
"0095241","西松分行","台北市南京東路五段２１３號","02 27639611"
"0095258","復興分行","台北市復興北路３６７號","02 27173222"
"0095265","台北世貿中心分行","台北市基隆路一段３３３號三樓","02 27203101"
"0095272","敦化分行","台北市敦化南路二段７１號","02 27849821"
