"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"012","台北富邦商業銀行","存款類12位\n放款類14位","台北市仁愛路四段１６９號","02 27716699"
"通匯金融代號","支單位名稱","地址","電話"
"0122009","營業部","台北市中山北路二段５０號","02 25425656"
"0122032","長安東路分行","台北市長安東路一段３６號","02 25212481"
"0122102","公庫部","台北市市府路１號Ｂ１","02 27209001"
"0122205","城東分行","台北市南京東路二段９０號","02 25116388"
"0122216","農安分行","台北市松江路３６９號","02 25031451"
"0123006","士林分行","台北市士林區中正路２８８號","02 28317444"
"0123017","士東分行","台北市中山北路六段３６０號","02 28735757"
"0123028","瑞光分行","台北市內湖區瑞光路３９２號","02 26562989"
"0123039","玉成分行","台北市忠孝東路六段１２６號","02 26511212"
"0123040","福港分行","台北市承德路四段３１０號","02 28836712"
"0123051","忠孝分行","台北市忠孝東路四段１０７號","02 27417880"
"0123062","承德分行","台北市承德路二段１４２號","02 25536553"
"0123073","龍江分行","台北市南京東路三段２８號","02 25073817"
"0123109","延平分行","台北市延平北路二段６９號","02 25552170"
"0123202","木柵分行","台北市木柵路三段９２號","02 29391035"
"0123213","木新分行","台北市木新路三段２３６號","02 29383791"
"0123305","龍山分行","台北市西寧南路１６１號","02 23718720"
"0123408","八德分行","台北市八德路三段１７８號","02 25776467"
"0123419","永春分行","台北市松山路６５５號","02 27592921"
"0123420","永吉分行","台北市信義區永吉路１９９號１樓","02 27628700"
"0123501","中山分行","台北市中山北路二段１６２號","02 25963171"
"0123604","北投分行","台北市北投區中央北路一段２號","02 28915533"
"0123615","石牌分行","台北市文林北路２１６號","02 28271616"
"0123707","大安分行","台北市仁愛路四段３７號","02 27312333"
"0123800","大同分行","台北市重慶北路三段１８６號","02 25929282"
"0123903","古亭分行","台北市羅斯福路三段１００號","02 23650381"
"0124003","雙園分行","台北市東園街１９號","02 23030374"
"0124014","萬華分行","台北市萬大路４８２號","02 23325901"
"0124106","建成分行","台北市南京西路２２號","02 25554161"
"0124117","市府分行","台北市市府路１號","02 27298999"
"0124209","南港分行","台北市三重路１９－５號","02 26551177"
"0124302","景美分行","台北市景文街６４號","02 29352636"
