"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"013","國泰世華商業銀行","存款類一12位\n存款類二11位\n存款類三14位","台北市信義區松仁路７號","02 23125555"
"通匯金融代號","支單位名稱","地址","電話"
"0130017","館前分行","台北市館前路６５號","02 23125555"
"0130028","國外部","台北市館前路６５號３樓","02 23125555"
"0130039","南京東路分行","台北市南京東路二段１３２號","02 25061333"
"0130051","高雄分行","高雄市博愛一路３６６號","07 3237711"
"0130062","台中分行","台中市自由路一段１４８號","04 22231031"
"0130073","台北分行","台北市博愛路１５０號","02 23319595"
"0130095","永和分行","台北縣永和市永和路一段１５號","02 29258861"
"0130109","台南分行","台南市民生路一段６２號","06 2280171"
"0130110","忠孝分行","台北市忠孝東路四段２９３號","02 27721252"
"0130121","天母分行","台北市天母西路２４號","02 28717040"
"0130132","西台中分行","台中市民權路１８５號","04 22208937"
"0130143","東高雄分行","高雄市中正二路７２號","07 2241531"
"0130154","信義分行","台北市敦化南路二段３２號","02 27052316"
"0130165","光復分行","台北市南京東路五段９９號","02 27654222"
"0130176","板橋分行","台北縣板橋市中正路１０２號","02 29651811"
"0130187","復興分行","台北市南京東路三段２４８號","02 27210306"
"0130198","民權分行","台北市民權東路三段１４４號","02 25452155"
"0130202","大安分行","台北市仁愛路四段３３號","02 27771795"
"0130213","三重分行","台北縣三重市重陽路二段２９號","02 29822101"
"0130224","中壢分行","桃園縣中壢市中央西路一段１１號","03 4224066"
"0130235","員林分行","彰化縣員林鎮中山路二段３０號之２","04 8324122"
"0130246","新店分行","台北縣新店市中正路５４２號之４","02 22184881"
"0130257","新莊分行","台北縣新莊市中正路２４５號","02 29968491"
"0130268","鳳山分行","高雄縣鳳山市中山西路２０３號","07 7426325"
"0130279","安和分行","台北市安和路二段９２號","02 23255007"
"0130280","松江分行","台北市松江路３２８號","02 25639241"
"0130291","苓雅分行","高雄市林森二路８９號","07 3338911"
"0130305","古亭分行","台北市羅斯福路三段１４９號","02 23632931"
"0130316","建成分行","台北市南京西路３６號","02 25551688"
"0130327","東門分行","台北市信義路二段２７７號","02 23943851"
"0130349","桃園分行","桃園縣桃園市民權路６號","03 3359955"
"0130350","豐原分行","台中縣豐原市三民路１９９號","04 25288700"
"0130361","嘉義分行","嘉義市民生北路２６號","05 2275552"
"0130372","松山分行","台北市基隆路一段１５１號","02 27633310"
"0130383","前金分行","高雄市中正四路１４８號","07 2861720"
"0130394","北三重分行","台北縣三重市三和路四段１１１號","02 22861133"
"0130408","新竹分行","新竹市北大路３０７號","03 5241111"
"0130419","永康分行","台南縣永康市中華路４２３號","06 2338077"
"0130420","中山分行","台北市中山北路三段４７號","02 25917585"
"0130431","埔墘分行","台北縣板橋市三民路二段１９６號","02 29618700"
"0130442","新生分行","台北市民生東路一段５５號","02 25621666"
"0130453","中和分行","台北縣中和市中山路二段２９６號","02 22422178"
"0130464","清水分行","台中縣清水鎮中山路１７０號","04 26235798"
"0130475","彰化分行","彰化縣彰化市華山路３５號","04 7289288"
"0130486","敦北分行","台北市敦化北路２３６號","02 27139911"
"0130497","中正分行","台北市復興南路一段９９號","02 27118168"
"0130501","五權分行","台中市西區英才路５３０號","04 23014000"
"0130512","東台南分行","台南市林森路一段３９５號","06 2761166"
"0130523","新興分行","高雄市中正三路５５號","07 2274171"
"0130534","敦南分行","台北市敦化南路一段１８３∣１８５號","02 27408811"
"0130545","後埔分行","台北縣板橋市重慶路２６０∣２６２號","02 29546688"
"0130556","蘆洲分行","台北縣蘆洲市中正路７９號","02 82825588"
"0130567","西門分行","台北市長沙街二段９３號","02 23813188"
"0130578","三民分行","台北市民生東路五段１６５之７號","02 27475688"
