"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"017","兆豐國際商業銀行","存款類11位\n代收類14位","台北市吉林路１００號","02 25633156"
"通匯金融代號","支單位名稱","地址","電話"
"0170022","港都分行","高雄市前金區中正四路２５３號","07 2510141"
"0170033","楠梓分行","高雄市楠梓區加昌路６００之１號","07 3615131"
"0170044","台中分行","台中市民權路２１６號","04 22281171"
"0170055","忠孝分行","台北市忠孝東路四段２３３號","02 27711877"
"0170066","府城分行","台南市中山路９０號","06 2231231"
"0170077","國外部","台北市吉林路１００號","02 25633156"
"0170088","台北復興分行","台北市南京東路三段１９８號","02 27516041"
"0170099","財富管理處","台北市吉林路１００號","02 25633156"
"0170103","蘭雅分行","台北市中山北路六段１２６號","02 28385225"
"0170114","財務部","台北市吉林路１００號","02 25633156"
"0170125","三重分行","台北縣三重市重陽路三段９９號","02 29884455"
"0170136","新興分行","高雄市新興區中山一路３０８號","07 2353001"
"0170147","桃園分行","桃園縣桃園市成功路二段２號","03 3376611"
"0170158","中山分行","台北市中山北路二段１５號","02 25119231"
"0170169","高雄加工出口區分行","高雄市高雄加工出口區中四路２號","07 8316131"
"0170170","城中分行","台北市許昌街４２號","02 23122222"
"0170181","北彰化分行","彰化縣彰化市光復路３９號","04 7232111"
"0170192","安和分行","台北市安和路二段６２號","02 27042141"
"0170206","竹科新安分行","新竹市科學工業園區新安路１號","03 5775151"
"0170217","天母分行","台北市中山北路七段１９３號","02 28714125"
"0170228","嘉義分行","嘉義市文化路２５９號","05 2241166"
"0170239","花蓮分行","花蓮縣花蓮市公園路２６號","03 8350191"
"0170251","國際金融業務分行","台北市吉林路１００號","02 25633156"
"0170262","北新竹分行","新竹市中正路１２９號","03 5217171"
"0170273","板南分行","台北縣板橋市南雅南路二段１４８號","02 89663303"
"0170284","潭子分行","台中縣潭子鄉台中加工出口區南二路３號","04 25335111"
"0170295","桃園國際機場分行","桃園縣大園鄉航站南路１５號","03 3982200"
"0170309","南台北分行","台北市羅斯福路二段９號之１","02 23568700"
"0170310","敦南分行","台北市敦化南路二段６２號","02 27050136"
"0170321","員林分行","彰化縣員林鎮大同路一段３３８號","04 8332561"
"0170343","永和分行","台北縣永和市福和路２０１號","02 29240086"
"0170354","豐原分行","台中縣豐原市中正路５１９號","04 25285566"
"0170365","民生分行","台北市民生東路三段１２８號","02 27190690"
"0170376","北台中分行","台中市台中港路二段８０之８號","04 23115119"
"0170387","三多分行","高雄市苓雅區三多二路９３號","07 7250688"
"0170398","中壢分行","桃園縣中壢市復興路４６號","03 4228469"
"0170402","三民分行","高雄市鼓山區中華一路２２５號","07 5536511"
"0170413","新莊分行","台北縣新莊市思源路４２１號","02 22772888"
"0170424","松南分行","台北市南京東路五段２３４號","02 27535856"
"0170435","大同分行","台北市南京西路１１３號","02 25567515"
"0170446","南台中分行","台中市五權西路一段２５７號","04 23752529"
"0170457","鳳山分行","高雄縣鳳山市中山西路２４８號","07 7473566"
"0170468","新店分行","台北縣新店市北新路二段１７３號","02 29182988"
"0170479","東高雄分行","高雄市三民區大順二路４１９號","07 3806456"
"0170480","信義分行","台北市基隆路二段６５號","02 23788188"
"0170491","基隆分行","基隆市南榮路２４號","02 24228558"
"0170505","永康分行","台南縣永康市中山路１８０號","06 2019389"
"0170516","內湖分行","台北市成功路四段６８號","02 27932050"
"0170527","岡山分行","高雄縣岡山鎮中山北路１３８號","07 6230300"
"0170538","屏東分行","屏東縣屏東市民族路２１３號","08 7323586"
"0170550","松山機場分行","台北市敦化北路３４０號松山機場","02 27152385"
"0170561","土城分行","台北縣土城市中央路二段２７６號","02 22666866"
"0170572","大稻埕分行","台北市西寧北路６２之５號","02 25523216"
"0170583","頭份分行","苗栗縣頭份鎮中華路９１６號","037688168"
"0170594","苓雅分行","高雄市苓雅區四維四路８號","07 3355595"
"0170608","沙鹿分行","台中縣沙鹿鎮中山路５３３號","04 26656778"
"0170619","八德分行","桃園縣八德市大智路１９號","03 3665211"
"0170620","宜蘭分行","宜蘭縣宜蘭市民族路３３８號１樓","03 9310666"
"0170631","斗六分行","雲林縣斗六市雲林路二段２２５號","05 5361779"
"0170642","南投分行","南投縣南投市文昌街４５號","0492232223"
"0170653","東台南分行","台南市長榮路一段２２５號","06 2381611"
"0170664","高雄國際機場分行","高雄市小港區中山四路２號高雄國際航空站","07 8067866"
"0170675","東內湖分行","台北市港墘路２０２號","02 26275699"
"0170686","太平分行","台中縣太平市中興東路１５２號１樓","04 22789111"
"0170697","中和分行","台北縣中和市中山路二段１２４號","02 22433567"
"0170701","南京東路分行","台北市南京東路二段５３號","02 25712568"
"0170712","東台中分行","台中市進化北路３３０號","04 22321111"
"0170723","北高雄分行","高雄市三民區九如二路５３２號","07 3157777"
"0170745","南港分行","台北市忠孝東路六段２１之１號","02 27827588"
"0170756","竹南科學園區分行","苗栗縣竹南鎮科東三路２號１樓","037586666"
"0170767","中科簡易型分行","台中縣大雅鄉科雅路２８號２樓","04 25658108"
"0170778","大甲簡易型分行","台中縣大甲鎮中山路一段１０３３號","04 26867777"
"0170789","林森簡易型分行","高雄市新興區林森一路２３０號","07 2823357"
"0170790","金門分行","金門縣金城鎮民生路３７－５號","08 2375800"
"0170804","南崁分行","桃園縣蘆竹鄉中正路３３號","03 3525288"
"0170815","中鋼簡易型分行","高雄市小港區臨海工業區中鋼路１號","07 8021111"
"0170837","榮總簡易型分行","台中市台中港路三段１６０號","04 23592525"
"0170860","駐外交部簡易型分行","台北市凱達格蘭大道２號１２９室","02 23482065"
"0171030","仁武簡易型分行","高雄縣仁武鄉中正路２號","07 3711144"
"0171166","高雄漁港簡易型分行","高雄市前鎮區漁港東二路３號１０７室","07 8219630"
"0172015","金控總部分行","台北市忠孝東路二段１２３號","02 25633156"
"0172026","台北分行","台北市忠孝東路四段５５０號","02 27587590"
"0172037","新竹分行","新竹市東前街６９號","03 5225106"
"0172048","中台中分行","台中市三民路一段１９４號","04 22234021"
"0172059","高雄分行","高雄市中正四路２３５號","07 2515111"
"0172060","板橋分行","台北縣板橋市文化路一段５１號","02 29608989"
"0172071","桃興分行","桃園縣桃園市復興路１８０號","03 3327126"
"0172082","竹北分行","新竹縣竹北市光明一路１５５號","03 5589968"
"0172107","敦化分行","台北市南京東路四段１號２樓","02 87126355"
"0172129","嘉興分行","嘉義市吳鳳北路３７９號","05 2780148"
"0172130","台南分行","台南市忠義路二段１４號","06 2292131"
"0172141","寶成分行","台中市台中港路三段７８之２號","04 24619000"
"0172152","竹科竹村分行","新竹市科學工業園區竹村七路２１號","03 5773155"
"0172163","世貿分行","台北市基隆路一段３３３號","02 27203566"
