"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"021","花旗（台灣）商業銀行","信用卡專戶14位\n10位","台北市松智路一號１樓","02 87297100"
"通匯金融代號","支單位名稱","地址","電話"
"0210018","營業部","台北市松智路一號１樓","02 87297410"
"0210030","高雄分行","高雄市三民區九如一路５０２號","07 3916000"
"0210041","台中分行","台中市西區忠明南路２４２號","04 23726601"
"0210052","新竹分行","新竹縣竹北市文平路１３０號","03 6108588"
"0210063","台南分行","台南市永福路二段８３號","06 2262500"
"0210074","桃園分行","桃園縣桃園市縣府路１１０號","03 3391234"
"0210085","松江分行","台北市南京東路二段１０１號","02 25633456"
"0210096","板橋分行","台北縣板橋市三民路一段２１０號","02 66203100"
"0210100","文心分行","台中市文心路四段８２３號","04 22048300"
"0210111","信義分行","台北市信義路四段４６０號","02 87252988"
"0210122","天母分行","台北市忠誠路二段２４號","02 28352088"
"0210133","建成分行","台北市重慶北路一段６７號","02 25558566"
"0210144","中山分行","台北市中山區德惠街９－２號１樓","02 21823588"
"0210155","城東分行","台北市吉林路２４號","02 25219950"
"0210166","安南分行","台南市民權路二段９７號","06 2231181"
"0210177","港都分行","高雄市五福四路１１１號","07 5510361"
"0210188","中港分行","台中市台中港路一段４２８號","04 23131861"
"0210199","襄陽分行","台北市襄陽路８號","02 23715181"
"0210203","復興分行","台北市復興北路１號","02 27514092"
"0210214","新興分行","高雄市中正三路４５號","07 2267191"
"0210225","基隆分行","基隆市信一路１３２號","02 24241231"
"0210236","北桃園分行","桃園縣桃園市三民路三段２８８號","03 3339213"
"0210247","永和分行","台北縣永和市福和路２５２號","02 29239222"
"0210258","豐原分行","台中縣豐原市豐中路１３號","04 25276111"
"0210269","民權分行","台中市民權路１０２號","04 22214181"
"0210270","府城分行","台南市西門路四段３７４號","06 2523011"
"0210281","苓雅分行","高雄市中山二路４７２號","07 2618141"
"0210292","松山分行","台北市南京東路五段３號","02 27530321"
"0210306","三重分行","台北縣三重市成功路１７３號","02 29726199"
"0210317","員林分行","彰化縣員林鎮員東路二段４１０號","04 8347711"
"0210328","士林分行","台北市承德路四段２８１號","02 28823720"
"0210339","板新分行","台北縣板橋市區運路２６號","02 29561188"
"0210340","中壢分行","桃園縣中壢市九和二街４５號","03 4223999"
"0210351","大安分行","台北市敦化南路二段３３３號","02 27323188"
"0210362","竹城分行","新竹市北大路３２１號","03 5226617"
"0210373","嘉義分行","嘉義市垂楊路３２０號","05 2275100"
"0210384","北台中分行","台中市文心路四段３３９號","04 22425811"
"0210395","三民分行","高雄市博愛一路５５號","07 3121618"
"0210409","新莊分行","台北縣新莊市中山路一段６７號","02 85221188"
"0210410","民生分行","台北市民權東路三段７４號","02 25030077"
"0210421","彰化分行","彰化縣彰化市中正路二段２８０號２樓","04 7266266"
"0210432","鳳山分行","高雄縣鳳山市經武路５８號","07 7480101"
"0210443","新店分行","台北縣新店市中正路５２７號","02 22189866"
"0210454","仁德分行","台南縣仁德鄉中正路二段１０３６號","06 2702211"
"0210465","前鎮分行","高雄市前鎮區一心一路２３９號","07 3369801"
"0210476","忠孝分行","台北市松德路６１號","02 27591616"
"0210487","屏東分行","屏東縣屏東市自由路１８８號","08 7666531"
"0210498","清水分行","台中縣清水鎮中山路２４３之３號","04 26225991"
"0210502","中正分行","台北市新生南路一段１５８號","02 23975726"
"0210513","永康分行","台南縣永康市中正北路１１２號","06 2538383"
"0210524","羅東分行","宜蘭縣羅東鎮中正北路　７７　號","03 9555899"
"0210535","敦化分行","台北市敦化南路１段３７６號","02 27007799"
"0210546","中和分行","台北縣中和市建一路１７２號","02 82265698"
"0210557","大里分行","台中縣大里市益民路二段３５號","04 24832288"
"0210568","岡山分行","高雄縣岡山鎮岡山路１７２號","07 6228812"
"0210579","內湖分行","台北市瑞光路５１３巷２２弄５號","02 26599008"
"0210580","南港分行","台北市南港區興東街２９之３號","02 26537890"
"0210591","北港分行","雲林縣北港鎮中正路９５號","05 7836171"
"0210616","南科分行","台南縣新市鄉南科三路１５號２樓","06 5051717"
"0210627","斗六分行","雲林縣斗六市雲林路二段２１１號","05 5360866"
"0210638","樹林分行","台北縣樹林市中山路一段１５３號","02 26759668"
"0210649","麥寮分行","雲林縣麥寮鄉中興路７４號","05 6938168"
"0210650","華中分行","台北縣中和市中山路二段２２８號１樓之３","02 82411166"
"0210661","竹科分行","新竹市光復路一段６４７號","03 5633600"
"0210672","金華分行","台南市金華路三段２１８號","06 2112888"
