"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"039","荷商荷蘭銀行台北分行","企業金融部 7位\n消費金融部9-14位\n信用卡專戶14位","台北市松仁路７號１８樓","02 87225090/"
"通匯金融代號","支單位名稱","地址","電話"
"0390019","台北分行","台北市松仁路７號１８樓","02 87225090"
"0390020","高雄分行","高雄市四維三路６號","07 9755888"
"0390053","松山分行","台北市敦化南路一段２號","02 27732000"
"0390064","台中分行","台中市中港路一段３０６號","04 23298898"
"0390075","板橋分行","台北縣板橋市民生路三段１０號２樓","02 82533038"
"0390086","台東分行","台東縣台東市中山路３６２號","089711500"
"0390097","中華分行","台東縣台東市中華路一段３５４號","089331155"
"0390101","天母分行","台北市士林區中山北路六段８７號１樓","02 77372199"
"0390112","池上分行","台東縣池上鄉福原村中山路２４１號","089862032"
"0390123","竹北分行","新竹縣竹北市縣政二路５７２號１樓","03 6203700"
"0390134","內湖分行","台北市內湖區瑞光路４１２號１樓","02 77082600"
"0390145","知本分行","台東縣台東市青海路四段４５９號","089512250"
"0390156","太麻里分行","台東縣太麻里鄉泰和村太麻里街１０６號","089781636"
"0390178","新店分行","台北縣新店市民權路１１５號１樓","02 77052000"
"0390189","中山分行","台北市中山北路二段６６號１樓","02 77372288"
"0390190","鳳山分行","高雄縣鳳山市光遠路３９６號","07 9757500"
"0390204","彰化分行","彰化縣彰化市中山路二段８３８－１號１樓","04 7084666"
"0390330","北高雄分行","高雄市博愛三路１２號１樓","07 9757000"
"0390341","台南分行","台南市東區東寧路１８６號１樓","06 7006800"
"0390400","松江分行","台北市南京東路二段６６號１樓","02 25213688"
"0390411","桃園分行","桃園縣桃園市中正路１２９６號１樓","03 2723333"
