"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"052","渣打國際商業銀行","12位\n11位\n14位","新竹市中央路１０６號六樓","03 5245131"
"通匯金融代號","支單位名稱","地址","電話"
"0520018","營業部","新竹市中央路１０６號","03 5243151"
"0520030","桃園分行","桃園縣桃園市中正路６６號","03 3340176"
"0520041","中壢分行","桃園縣中壢市中山路１９４號","03 4252186"
"0520052","竹東分行","新竹縣竹東鎮長春路一段３００號","03 5965711"
"0520063","竹南分行","苗栗縣竹南鎮中正路２１７號","037476161"
"0520074","苗栗分行","苗栗縣苗栗市中正路５６２號","037324671"
"0520085","新埔分行","新竹縣新埔鎮中正路３８６號","03 5883611"
"0520096","頭份分行","苗栗縣頭份鎮和平路１０６號","037668281"
"0520100","大溪分行","桃園縣大溪鎮康莊路２５３號１樓","03 3873915"
"0520111","楊梅分行","桃園縣楊梅鎮大成路１０５號","03 4783491"
"0520122","新屋分行","桃園縣新屋鄉中山路２５１號","03 4773226"
"0520133","湖口分行","新竹縣湖口鄉中正路一段８２號","03 5992614"
"0520144","苑裡分行","苗栗縣苑裡鎮為公路１９號","037862851"
"0520155","大園分行","桃園縣大園鄉中山北路４４號","03 3861130"
"0520166","龍潭分行","桃園縣龍潭鄉北龍路２０２號","03 4793185"
"0520177","竹北分行","新竹縣竹北市三民路５９號","03 5513115"
"0520199","三民分行","桃園縣桃園市三民路三段３０１號","03 3351593"
"0520203","內壢分行","桃園縣中壢市內壢信義路８３號","03 4553122"
"0520214","八德分行","桃園縣八德市介壽路二段４３號","03 3634341"
"0520225","新明分行","桃園縣中壢市民族路５６號","03 4918701"
"0520236","永安分行","桃園縣桃園市中正路４６５號","03 3324002"
"0520247","公館分行","苗栗縣公館鄉忠孝路２１１號","037228525"
"0520258","通霄分行","苗栗縣通霄鎮仁愛路１６號","037757511"
"0520269","後龍分行","苗栗縣後龍鎮成功路２０號","037724591"
"0520270","龜山分行","桃園縣龜山鄉萬壽路二段１０７７號","03 3290728"
"0520281","南崁分行","桃園縣蘆竹鄉中正路９０號","03 3524148"
"0520292","新竹分行","新竹市復興路３５號","03 5266171"
"0520306","關西分行","新竹縣關西鎮明德路２１號","03 5875151"
"0520317","大樹林分行","桃園縣桃園市桃鶯路２３３號","03 3664291"
"0520328","光復分行","新竹市光復路一段２７０號","03 5775663"
"0520351","龍岡分行","桃園縣中壢市龍東路３０２號","03 4657779"
"0520362","山子頂分行","桃園縣平鎮市中豐路山頂段１５０號","03 4696257"
"0520373","埔心分行","桃園縣楊梅鎮永美路３５１號","03 4824984"
"0520384","新豐分行","新竹縣新豐鄉建興路一段１５５之７號","03 5591113"
"0520410","三義分行","苗栗縣三義鄉中正路８３號","037875281"
"0520421","新莊簡易型分行","台北縣新莊市中正路８７９之１７號","02 29082996"
"0520454","中正簡易型分行","新竹市中正路３２６號","03 5348939"
"0520465","會稽分行","桃園縣桃園市春日路８６２號","03 3553278"
"0520476","環北分行","桃園縣中壢市環北路４０５號","03 4511333"
"0520498","延平簡易型分行","新竹市延平路一段２１４巷５０號","03 5219216"
"0520502","大湖簡易型分行","苗栗縣大湖鄉民生路７９號","037995561"
"0520513","新興分行","新竹市四維路１３０號","03 5233171"
"0520524","新社分行","新竹縣竹北市中正西路１４１號","03 5519456"
"0520546","科學園區分行","新竹市科學園區園區二路１１號","03 5785355"
"0520557","觀音分行","桃園縣觀音鄉大同村中山路二段８３３號","03 4986401"
"0520568","銅鑼簡易型分行","苗栗縣銅鑼鄉銅鑼村中正路２０１號","037985211"
"0520579","北新竹分行","新竹市北大路６號１樓","03 5348155"
"0520591","平鎮簡易型分行","桃園縣平鎮市環南路２２５號","03 4910311"
"0520605","國外部","新竹市中正路１１０號５樓","03 5288234"
"0520616","大竹分行","桃園縣蘆竹鄉大竹路５０６之２３號","03 3137633"
"0520649","東內壢分行","桃園縣中壢市榮民路４７號","03 4351988"
"0520672","建國分行","台北市中山區建國北路一段３８號","02 87723232"
"0520683","公西分行","桃園縣龜山鄉復興一路２３７號","03 3972288"
"0520694","金陵分行","桃園縣平鎮市金陵路８７號","03 4579155"
"0520708","莊敬簡易型分行","桃園縣桃園市大興西路二段３５號","03 3026699"
"0520719","板橋分行","台北縣板橋市新府路１－１、１－３號２樓","02 29528799"
"0520720","蘆洲簡易型分行","台北縣蘆洲市集賢路３０８號","02 82828266"
"0520731","豐原分行","台中縣豐原市圓環東路７９７號","04 25234116"
"0520742","文心分行","台中市文心路一段３８０號","04 23192480"
"0520753","內湖分行","台北市內湖區東湖路６９號","02 26318888"
"0520764","九如分行","高雄市九如一路３８３號","07 3872296"
"0520775","台南分行","台南市金華路二段４２９號","06 2648101"
"0520786","嘉義分行","嘉義市民族路３４５號","05 2288855"
"0520797","南屯分行","台中市黎明路二段３０２號","04 22536208"
"0520801","神岡分行","台中縣神岡鄉中山路７８６號","04 25622731"
"0520812","東寧分行","台南市東興路８８號","06 2761561"
"0520823","東海分行","台中市西屯區福科路３０６號","04 24653500"
"0520856","永和簡易型分行","台北縣永和市中正路３０２號","02 29452510"
"0520867","中和簡易型分行","台北縣中和市建一路１８２號","02 82271656"
"0520878","北屯分行","台中市北區文心路四段２３６號","04 22990755"
"0520889","西屯分行","台中市西屯區河南路２段３２７號","04 27081040"
"0520926","彰化分行","彰化縣彰化市中正路二段５３號","04 7282999"
"0520959","敦北分行","台北市敦化北路１６８號１樓","02 27166261"
"0520960","北高雄分行","高雄市文信路１８９號","07 5501705"
"0520971","台中分行","台中市中港路一段２６１號","04 23246800"
"0520982","高雄分行","高雄市中正二路１７５號２２樓","07 2285500"
"0521015","復興分行","台北市復興北路３６３號１０樓","02 66027676"
"0521037","大雅分行","台中市北區大雅路５７號","04 36023300"
"0521060","三多分行","高雄市前鎮區中山二路２６２號１樓","07 9660766"
"0521071","東台南分行","台南市中區民族路二段１０７號１樓","06 2203203"
"0521082","七賢分行","高雄市七賢一路３０１號","07 2385976"
"0521093","西湖分行","台北市內湖路一段６６號１樓","02 66023000"
"0521118","信義分行","台北市信義區松仁路９７號２樓","02 27206118"
"0521129","東台北分行","台北市松山區南京東路三段１２８號","02 66192900"
"0521141","敦化分行","台北市敦化南路２段９３號１樓","02 66396000"
"0521152","天母分行","台北市忠誠路二段４６－１號","02 66107600"
"0521163","仁愛分行","台北市大安區仁愛路四段１號１樓","02 66363700"
"0521185","中山分行","台北市中山區中山北路二段１３６號","02 66197200"
