通匯金融代號	總單位名稱	帳號長度	地址	電話
053	台中商業銀行	12位	台中市西區民權路８７號	04 22236021
通匯金融代號	支單位名稱	地址	電話
0530019	中正分行	台中市中區中正路１８９號	04 22245181
0530020	營業部	台中市西區民權路８７號	04 22274567
0530042	南台中分行	台中市南區復興路三段３５５號	04 22244187
0530053	霧峰分行	台中縣霧峰鄉中正路８２９號	04 23391165
0530064	大甲分行	台中縣大甲鎮蔣公路４２號	04 26862151
0530075	沙鹿分行	台中縣沙鹿鎮中山路２９８號	04 26621101
0530086	豐原分行	台中縣豐原市中正路３０２∣１號	04 25244171
0530097	東勢分行	台中縣東勢鎮中山路６１號	04 25872185
0530101	彰化分行	彰化縣彰化市光復路１２６號	04 7224641
0530112	溪湖分行	彰化縣溪湖鎮彰水路三段２９０號	04 8853311
0530123	員林分行	彰化縣員林鎮中山南路２７號	04 8326141
0530134	田中分行	彰化縣田中鎮中州路一段１９７號	04 8742206
0530145	北斗分行	彰化縣北斗鎮斗苑路一段１８０號	04 8884146
0530156	二林分行	彰化縣二林鎮仁愛路４９６、４９８號	04 8962125
0530167	南投分行	南投縣南投市民生街５２號	0492222146
0530178	水里分行	南投縣水里鄉民權路２５０號	0492772177
0530189	草屯分行	南投縣草屯鎮碧山路１４１號	0492334146
0530190	竹山分行	南投縣竹山鎮竹山路１４８號	0492643181
0530204	埔里分行	南投縣埔里鎮西康路６２號	0492984001
0530215	鹿港分行	彰化縣鹿港鎮中山路２６６號	04 7780545
0530226	西台中分行	台中市公益路３６９號	04 23212501
0530237	清水分行	台中縣清水鎮中山路１０４號	04 26226106
0530248	東豐原分行	台中縣豐原市三民路２０３號	04 25260175
0530259	烏日分行	台中縣烏日鄉三民街１０９號	04 23373176
0530271	北台中分行	台中市北區大雅路６２４號	04 22920832
0530307	南豐原分行	台中縣豐原市中山路２３２號	04 25261195
0530318	和美分行	彰化縣和美鎮鹿和路六段３９３號	04 7562171
0530329	大里分行	台中縣大里市中興路一段２９２∣１號	04 24927727
0530330	西屯分行	台中市西屯區河南路二段４３６號	04 27060696
0530341	太平分行	台中縣太平市中興路１１５號	04 22700756
0530363	大雅分行	台中縣大雅鄉中清南路３９號	04 25668161
0530374	后里分行	台中縣后里鄉民生路９５號	04 25571180
0530385	潭子分行	台中縣潭子鄉潭興路三段７６號	04 25323121
0530396	社頭分行	彰化縣社頭鄉員集路二段３１１號	04 8731466
0530400	永靖分行	彰化縣永靖鄉永南村西門路７１號	04 8232363
0530411	花壇分行	彰化縣花壇鄉花壇村中山路一段４４６號	04 7868775
0530422	秀水分行	彰化縣秀水鄉彰水路二段５９７號	04 7693525
0530433	名間分行	南投縣名間鄉彰南路６７號	0492735615
0530444	南屯分行	台中市五權西路二段６６３號	04 23824358
0530455	大肚分行	台中縣大肚鄉沙田路二段７７８號	04 26991166
0530466	神岡分行	台中縣神岡鄉社南村民族路４０號	04 25621501
0530477	內新分行	台中縣大里市中興路二段３３９號	04 24830345
0530488	伸港分行	彰化縣伸港鄉新港村中山東路１１１號	04 7983171
0530499	北太平分行	台中市東區精武東路６６號	04 22121298
0530503	台中港分行	台中縣梧棲鎮八德路３６號	04 26571191
0530514	北員林分行	彰化縣員林鎮大同路二段１１６號	04 8322141
0530525	南陽分行	台中縣豐原市圓環東路３３８號	04 25244426
0530536	大竹分行	彰化縣彰化市彰南路一段３６４號	04 7387648
0530547	鹿谷分行	南投縣鹿谷鄉鹿彰路３１６號	0492755281
0530558	崇德分行	台中市北區漢口路四段３６７號	04 22371161
