"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"054","京城商業銀行","12位","台南市西門路一段５０６號","06 2139171"
"通匯金融代號","支單位名稱","地址","電話"
"0540010","營業部","台南市西門路一段５０６號","06 2141271"
"0540032","台南分行","台南市忠義路二段６９號一樓","06 2283155"
"0540043","嘉義分行","嘉義市中山路２６２號","05 2242135"
"0540054","新營分行","台南縣新營市中山路１４８號","06 6324161"
"0540065","鹽水分行","台南縣鹽水鎮中正路１５號","06 6521677"
"0540076","虎尾分行","雲林縣虎尾鎮公安路１３３號１樓","05 6323301"
"0540087","斗六分行","雲林縣斗六市民生路１２８號","05 5321561"
"0540098","民雄分行","嘉義縣民雄鄉民生路６號","05 2262372"
"0540102","北港分行","雲林縣北港鎮民主路６１號","05 7836181"
"0540113","麻豆分行","台南縣麻豆鎮中山路８３號１樓","06 5721117"
"0540124","朴子分行","嘉義縣朴子市山通路４３號","05 3795181"
"0540135","佳里分行","台南縣佳里鎮文化路２０３號","06 7223152"
"0540146","梅山分行","嘉義縣梅山鄉中山路１２６號","05 2622131"
"0540157","斗南分行","雲林縣斗南鎮中正路１３１號","05 5973181"
"0540180","東台南分行","台南市林森路二段９８號","06 2385506"
"0540191","西台南分行","台南市民族路三段２２５號","06 2289211"
"0540205","北台南分行","台南市公園路７７６號","06 2518623"
"0540216","博愛分行","嘉義市林森西路１７５號","05 2226626"
"0540227","西螺分行","雲林縣西螺鎮福興路１６６號","05 5869541"
"0540238","大同分行","台南市大同路二段６１５號","06 2607736"
"0540249","善化分行","台南縣善化鎮中山路４５２號","06 5815658"
"0540250","學甲分行","台南縣學甲鎮濟生路１１１號","06 7831417"
"0540272","開元分行","台南市開元路２８０號","06 2347302"
"0540283","永康分行","台南縣永康市永大路二段２７號","06 2729621"
"0540294","新市分行","台南縣新市鄉中正路２４０號","06 5995631"
"0540308","仁德分行","台南縣仁德鄉中山路２６８號１樓","06 2708056"
"0540319","六甲分行","台南縣六甲鄉中正路４９１號","06 6987813"
"0540320","安南分行","台南市海佃路一段３６６號","06 2598153"
"0540331","中埔分行","嘉義縣中埔鄉和睦村中山路五段８６７號","05 2390011"
"0540342","崙背分行","雲林縣崙背鄉中山路３７５號","05 6966821"
"0540353","西港分行","台南縣西港鄉中山路３４４號","06 7951949"
"0540364","新化分行","台南縣新化鎮中山路５８６號","06 5987103"
"0540375","竹崎分行","嘉義縣竹崎鄉竹崎村中山路２２１之１號","05 2611941"
"0540397","安和分行","台南市安和路二段２４１號","06 3559311"
"0540401","新興分行","台南市新興路３５７∣３５９號","06 2658511"
"0540412","中華分行","台南市中華東路三段１９８號","06 2603171"
"0540434","白河分行","台南縣白河鎮國光路７號","06 6852085"
"0540445","興業分行","嘉義市新民路７８４號","05 2852171"
"0540467","水上分行","嘉義縣水上鄉中興路３１７號","05 2689681"
"0540489","府城分行","台南市西門路四段１５號","06 2833046"
"0540504","歸仁分行","台南縣歸仁鄉中山路二段２９號","06 2396185"
"0540515","鹽行分行","台南縣永康市中正北路５４號","06 2541839"
"0540537","台北分行","台北市仁愛路四段７５號","02 27710922"
"0540548","大林分行","嘉義縣大林鎮中興路６０號","05 2651541"
"0540607","關廟分行","台南縣關廟鄉文衡路１７號","06 5961550"
"0540641","太保分行","嘉義縣太保市北港路二段１６６之１７號","05 2381518"
"0540652","蘆洲分行","台北縣蘆洲市集賢路２３２號","02 22884988"
"0540663","玉井分行","台南縣玉井鄉中山路１３０號","06 5747673"
"0540696","高雄分行","高雄市裕誠路１１０號","07 3457171"
"0540700","台中分行","台中市忠明路２００號","04 23293511"
"0540711","內湖分行","台北市內湖區洲子街１８１號１樓","02 27994599"
"0540733","豐原分行","台中縣豐原市向陽路３１１號","04 25158928"
"0540744","桃園分行","桃園縣桃園市中華路１０６號","03 3472469"
"0540755","雙和分行","台北縣中和市中正路８７８號","02 82217871"
"0540766","岡山分行","高雄縣岡山鎮中山北路１７６號","07 6241766"
"0540777","中正分行","高雄市苓雅區中正二路１７５號","07 2252288"
"0540788","忠孝分行","台北市南港區忠孝東路６段２１號１樓","02 27889818"
"0540799","北高雄分行","高雄市左營區立文路７７號","07 5507708"
"0540803","五甲分行","高雄縣鳳山市五甲二路４９８號","07 8221168"
"0540814","板橋分行","台北縣板橋市中山路１段３號一樓","02 89515758"
"0540825","文心分行","台中市文心路一段３２０號１樓","04 23288007"
"0540836","松山分行","台北市松山區復興北路５９號","02 87738778"
"0540847","新莊分行","台北縣新莊市中華路二段１５８號１樓","02 29941213"
