通匯金融代號	總單位名稱	帳號長度	地址	電話
101	稻江商業銀行	14位	台北市延平北路二段１３３號	02 25539101
通匯金融代號	支單位名稱	地址	電話
1010011	營業部	台北市延平北路二段１３３號	02 25539101
1010020	民生分行	台北市民生東路二段５９號	02 25629873
1010039	建成分行	台北市南京西路１４５號	02 25558787
1010048	大橋分行	台北市延平北路三段１９之１號	02 25917114
1010057	南京東路分行	台北市南京東路三段２１號	02 25068494
1010066	昆明分行	台北市長沙街二段４７號	02 23145270
1010075	長安分行	台北市長安東路二段１１０號	02 25069277
1010084	永吉分行	台北市永吉路１８９之５號	02 27635781
1010093	和平東路分行	台北市和平東路三段１２１號	02 27383636
1010109	石牌分行	台北市致遠一路二段４２號	02 28233377
1010118	內湖分行	台北市內湖路一段５７５號	02 26573181
1010127	成功簡易分行	台北市成功路四段１９７號	02 27934266
1010136	古亭分行	台北市汀州路一段１８９號	02 23323477
1010145	景美分行	台北市興隆路一段１４６號	02 29355296
1010154	南港分行	台北市忠孝東路六段９６６號	02 26516686
1010163	信義簡易分行	台北市信義路六段３１號	02 23465111
1010172	萬華分行	台北市西園路二段２２１號	02 23377556
1010181	士林分行	台北市劍潭路１１號	02 28829299
1010190	松山分行	台北市八德路四段４６５號	02 27631188
1010206	北投簡易分行	台北市北投區中和街３２８號	02 28921366
1010215	中山分行	台北市南京東路一段１３８號	02 25712151
1010224	天母簡易分行	台北市德行東路１０９巷７７號	02 28358798
