"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"106","台北市第九信用合作社","13位","台北市昆明街３２２號","02 23021185"
"通匯金融代號","支單位名稱","地址","電話"
"1060016","營業部（永欣證券）","台北市昆明街３２２號","02 23021185"
"1060025","興隆分社","台北市興隆路二段１８５號","02 29320555"
"1060034","雙園分社","台北市東園街１４５號","02 23011180"
"1060043","西門分社","台北市漢中街１９３號","02 23122154"
"1060052","古亭分社","台北市羅斯福路三段２７１號","02 23629211"
"1060061","中正分社","台北市八德路二段１８８號","02 27110633"
"1060070","松山分社","台北市莊敬路１９６號","02 27208541"
"1060089","士林分社","台北市忠誠路二段７號","02 28349361"
"1060098","東湖分社","台北市東湖路５５號１樓","02 26312411"
"1060104","安和分社","台北市基隆路二段１４９－４９號","02 27388788"
"1060113","民生分社","台北市光復北路２３８號","02 27120588"
"1060122","雙連分社","台北市錦西街２４號","02 25717869"
"1060131","重慶分社","台北市鄭州路２７號","02 25558151"
"1060140","木柵分社","台北市文山區保儀路５９號","02 29362121"
"1060159","吉林分社","台北市吉林路１７３號","02 25115679"
"1060168","大直分社","台北市北安路６３２號","02 25329933"
"1060177","萬大分社","台北市萬大路２４４號","02 23377719"
"1060186","東門分社","台北市金山南路一段９８號","02 23958995"
