"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"118","板信商業銀行","存放款類14位","台北縣板橋市文化路一段１１號","02 29689101"
"通匯金融代號","支單位名稱","地址","電話"
"1180011","營業部","台北縣板橋市文化路一段１１號","02 29689101"
"1180020","後埔分行","台北縣板橋市成都街１８號","02 29629121"
"1180039","永和分行","台北縣永和市仁愛路１２號","02 29299481"
"1180048","埔墘分行","台北縣板橋市三民路二段３８號１樓","02 29629106"
"1180057","華江分行","台北縣板橋市文化路二段３８２號","02 22529101"
"1180066","民族分行","台北縣板橋市漢生東路３３９號","02 29629111"
"1180075","中和分行","台北縣中和市中和路２３２號","02 22498756"
"1180084","土城分行","台北縣土城市中央路一段２８９號","02 22629119"
"1180093","文化分行","台北縣板橋市文化路一段２６１號","02 22587777"
"1180109","大觀分行","台北縣板橋市大觀路二段１５５號","02 22756566"
"1180118","興南分行","台北縣中和市興南路一段４５號","02 29459366"
"1180136","高雄分行","高雄市五福四路１４８號","07 5518270"
"1180145","小港分行","高雄市二苓路２１３號","07 8011161"
"1180163","新興分行","高雄市八德二路６９號","07 2860191"
"1180181","前鎮分行","高雄市瑞隆路４２１號","07 7513176"
"1180190","苓雅分行","高雄市林森二路１０號","07 3337177"
"1180206","陽明分行","高雄市覺明路１７８號","07 3865111"
"1180215","高新莊分行","高雄市新莊仔路４８５號","07 3412621"
"1180260","松江分行","台北市松江路２３８號","02 25429999"
"1180279","信義分行","台北市基隆路二段１２７號","02 27329999"
"1180288","新莊分行","台北縣新莊市幸褔路７１９號","02 29906699"
"1180297","秀朗分行","台北縣永和市得和路１１８號","02 29417966"
"1180303","桃園分行","桃園縣桃園市永安路３６０號","03 3398777"
"1180312","三重分行","台北縣三重市重陽路三段１２６號","02 89839966"
"1180330","員山分行","台北縣中和市中正路７５３號","02 22259199"
"1180349","桃鶯分行","桃園縣桃園市桃鶯路１０２號","03 3758999"
"1180358","民生分行","台北市民生東路三段１３３－１號","02 87129966"
"1180367","龍岡分行","桃園縣中壢市龍東路７８號","03 4657799"
"1180385","樹林分行","台北縣樹林市鎮前街５８號","02 86755666"
"1180394","金城分行","台北縣土城市金城路三段９１號","02 82615666"
"1180400","新竹分行","新竹縣竹北市自強南路５６號","03 6581588"
"1180419","八德分行","台北市八德路二段３６０號","02 27528833"
"1180428","台中分行","台中市文心路一段５５６號","04 23267799"
"1180437","台南分行","台南市東區崇明路１８９號","06 3368799"
"1180446","新店分行","台北縣新店市民權路６０號","02 89113377"
"1180455","內湖分行","台北市內湖區成功路四段１６３號","02 87919999"
"1180482","中正分行","台北縣板橋市中正路３３０號","02 89658998"
"1180507","嘉義分行","嘉義市中山路２９８號","05 2279045"
"1180516","吳鳳簡易型分行","嘉義市吳鳳北路１１４號","05 2278826"
"1180525","仁愛分行","嘉義市仁愛路５０２號","05 2222157"
"1180561","軍輝簡易型分行","嘉義市吳鳳南路３６０號","05 2300778"
"1180598","蘆洲分行","台北縣蘆洲市民族路２５６號","02 82850666"
"1180604","羅東分行","宜蘭縣羅東鎮公正路１１９號１樓","03 9568866"
"1180613","北台中分行","台中市北區文心路四段１８４號","04 22961798"
"1180622","成功分行","台南市成功路４５７號１樓","06 2113999"
"1180631","福和分行","台北縣永和市永貞路４５號","02 89211919"
