"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"119","淡水第一信用合作社","存款類13位","台北縣淡水鎮中正路６３號","02 26211211"
"通匯金融代號","支單位名稱","地址","電話"
"1190010","營業部","台北縣淡水鎮中正路６３號","02 26211211"
"1190029","三重分社","台北縣三重市力行路二段１４８號","02 82871212"
"1190038","三芝分社","台北縣三芝鄉埔頭村中山路一段７１號","02 26362121"
"1190047","八里分社","台北縣八里鄉訊塘村中山路二段４５８號","02 26102727"
"1190056","石門分社","台北縣石門鄉尖鹿村中央路５號","02 26382626"
"1190065","竹圍分社","台北縣淡水鎮民族路１２號","02 28091177"
"1190074","水碓分社","台北縣淡水鎮中山路１９２號","02 26201166"
"1190083","英專分社","台北縣淡水鎮博愛街１號","02 26201155"
"1190092","義山分社","台北縣淡水鎮淡金路三段３３５號","02 26226512"
"1190108","龍形分社","台北縣八里鄉龍源村龍米路一段１２１號","02 26181177"
"1190117","金山分社","台北縣金山鄉美田村中山路１５６號","02 24989090"
