"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"130","新竹第一信用合作社","14位","新竹市大同路１３０號","03 5233141"
"通匯金融代號","支單位名稱","地址","電話"
"1300013","營業部","新竹市大同路１３０號","03 5233141"
"1300022","城中分社","新竹市中山路７２號","03 5226008"
"1300031","武昌分社","新竹市武昌街５１號","03 5224007"
"1300040","新社分社","新竹縣竹北市中正西路２４５號","03 5538868"
"1300059","竹北分社","新竹縣竹北市博愛街４３５號","03 5552052"
"1300068","三民分社","新竹市民生路２９８號","03 5330351"
"1300077","香山分社","新竹市牛埔路１５５號","03 5388836"
"1300086","東南分社","新竹市食品路１０５號","03 5729023"
"1300095","光復分社","新竹市光復路一段５７９號","03 5781936"
"1300101","南寮分社","新竹市延平路三段６７５號","03 5364477"
"1300110","南香山分社","新竹市大庄路３號","03 5302172"
"1300129","武陵分社","新竹市武陵路１３１號","03 5340019"
"1300138","延平分社","新竹市延平路一段３１２巷９號","03 5220059"
