"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"132","新竹第三信用合作社","13位","新竹市北大路２８２號","03 5263192"
"通匯金融代號","支單位名稱","地址","電話"
"1320011","市中分社","新竹市西門街１６號","03 5253011"
"1320020","民生分社","新竹市民生路２３３號","03 5325161"
"1320039","營業部","新竹市北大路２８２號","03 5263192"
"1320048","中正分社","新竹市中正路３１３號","03 5333165"
"1320057","東南分社","新竹市東南街４８號","03 5230105"
"1320066","西門分社","新竹市林森路３０２號","03 5265192"
"1320075","東光分社","新竹市光復路一段４５５號","03 5784851"
"1320084","香山分社","新竹市牛埔南路５３號","03 5307161"
"1320093","竹南分社","苗栗縣竹南鎮光復路２０５號","037552366"
"1320109","延平分社","新竹市延平路一段４０３號","03 5280868"
"1320118","光華分社","新竹市光華東街５４號","03 5429555"
"1320127","新豐分社","新竹縣新豐鄉建興路一段１４６號","03 5579388"
"1320136","竹北分社","新竹縣中正東路１９７號","03 6566111"
"1320145","六家簡易型分社","新竹縣竹北市嘉興路１２０號","03 5509055"
