"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"146","台中市第二信用合作社","14位","台中市中山路２０２號","04 22255155"
"通匯金融代號","支單位名稱","地址","電話"
"1460014","營業部","台中市中山路２０２號","04 22255151"
"1460023","文昌分社","台中市文心路四段７５２號","04 22313116"
"1460032","南屯分社","台中市五權西路二段６２３號","04 23893176"
"1460041","五權分社","台中市五權路２８９號","04 22024136"
"1460050","東南分社","台中市復興路三段１５６號","04 22241136"
"1460069","大智分社","台中市大智路９６號","04 22813191"
"1460078","港路分社","台中市台中港路一段３３１號","04 23213970"
"1460087","精進分社","台中市進化路２００號","04 22119752"
"1460096","中興分社","台中市五權路１∣１５１號","04 23724730"
"1460102","水湳分社","台中市大雅路５０６號","04 22974356"
"1460111","中和分社","台中市黎明路一段１５４號","04 24700351"
"1460120","松竹分社","台中市昌平路二段１４６號","04 24222780"
"1460139","向上分社","台中市南屯區向上路一段５７０號","04 23200980"
"1460148","大雅分社","台中縣大雅鄉雅潭路３１６－１２號","04 25669191"
"1460157","西屯分社","台中市西屯區西屯路三段３９之１號","04 37032277"
