"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"147","三信商業銀行","10位","台中市市府路５９號","04 22245161"
"通匯金融代號","支單位名稱","地址","電話"
"1470013","台中分行","台中市市府路５９號","04 22245161"
"1470022","營業部","台中市公園路３２之１號","04 22211186"
"1470031","中正簡易型分行","台中市中正路３３０號","04 22241115"
"1470040","成功分行","台中市進化路５８０號","04 22304100"
"1470059","西屯分行","台中市河南路二段４５８號","04 27062968"
"1470068","國光分行","台中市復興路三段３３３號","04 22245111"
"1470077","大智分行","台中市大智路３３９號","04 22815998"
"1470086","林森分行","台中市林森路９９號","04 23725151"
"1470095","南門分行","台中市南門路７５號","04 22871146"
"1470101","進化分行","台中市進化北路２５５號","04 22333550"
"1470110","南屯分行","台中市南屯路２段４１０號","04 24718500"
"1470138","北屯簡易型分行","台中市文心路四段７５１號","04 22426565"
"1470147","豐原分行","台中縣豐原市圓環東路２１４號","04 25151788"
"1470156","彰化分行","彰化縣彰化市中正路二段１８１號","047298686"
"1470165","員林分行","彰化縣員林鎮大同路一段１８９號","04 8383888"
"1470183","台北分行","台北市內湖區陽光街２４６號","02 87512588"
"1470192","桃園分行","桃園縣桃園市成功路２段９號","03 3470505"
"1470208","板橋分行","台北縣板橋市民族路２６０號","02 89536001"
"1470235","原舊豐信分行","台中縣豐原市中正路１５１號","04 25224281"
"1470253","豐信分行","台中縣豐原市中山路３５３號","04 25261181"
"1470262","中山分行","台中縣豐原市大明路９號","04 25277155"
"1470271","豐東分行","台中縣豐原市向陽路３３０號","04 25225072"
"1470280","豐樂分行","台中縣豐原市中正路６９３號","04 25287055"
"1470299","台南分行","台南市南區大同路２段４３８號","06 2130966"
"1470305","高雄分行","高雄市左營區文府路１號","07 3505685"
"1470314","新莊分行","台北縣新莊市中平路２８７號","02 22768887"
