"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"163","彰化第十信用合作社","13位","彰化縣彰化市陳稜路１５６號","04 7231151"
"通匯金融代號","支單位名稱","地址","電話"
"1630011","營業部（永昌收付處）","彰化縣彰化市陳稜路１５６號","04 7231151"
"1630020","華山分社","彰化縣彰化市華山路２０３號","04 7248321"
"1630039","三民分社","彰化縣彰化市三民路３０１號","04 7256171"
"1630048","中華分社","彰化縣彰化市建和街３０號","04 7611311"
"1630057","大竹分社","彰化縣彰化市彰南路二段２０５號","04 7388191"
"1630066","和美分社","彰化縣和美鎮和卿路３４號","04 7567566"
"1630075","大埔分社","彰化縣彰化市延平里埔北街２１７號","04 7115111"
"1630084","埔鹽分社","彰化縣埔鹽鄉埔鹽村彰水路二段４號","04 8657171"
"1630093","溪湖分社","彰化縣溪湖鎮大竹里平和街２１１號","04 8822711"
"1630109","伸港分社","彰化縣伸港鄉新港村中山路４８號","04 7981151"
