"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"203","高雄第二信用合作社","存款類一14位\n存款類二13位","高雄市中正四路１０７號","02 87869888"
"通匯金融代號","支單位名稱","地址","電話"
"2030012","營業部","高雄市中正四路１０７號","07 2722766"
"2030021","三多分社","高雄市三多一路２２７號","07 2235550"
"2030030","旗津分社","高雄市廟前路１０６號","07 5715898"
"2030049","苓雅分社","高雄市成功一路２００號","07 3362020"
"2030058","新興分社","高雄市新興區中山一路１８４號","07 2722766"
"2030067","左營分社","高雄市左營大路２５５號","07 5815136"
"2030076","瑞隆分社","高雄市瑞隆路４４７號","07 8319900"
"2030085","鹽埕分社","高雄市鹽埕區大仁路９２號","07 5211202"
"2030094","灣子分社","高雄市鼎山街７３３號","07 3160699"
"2030100","前鎮分社","高雄市草衙二路５１７號","07 8214581"
"2030119","大昌分社","高雄市覺民路５０１號","07 3814488"
"2030128","後勁分社","高雄市楠梓區後昌路１２７號","07 3649911"
"2030137","右昌分社","高雄市後昌路６３７號","07 3649911"
"2030155","明誠分社","高雄市左營區明誠二路３５９號","07 5567188"
"2030164","光華簡易型分社","高雄市光華一路１０２號","07 2235550"
