"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"204","高雄市第三信用合作社","14位","高雄市建國三路３２７號","07 2871100"
"通匯金融代號","支單位名稱","地址","電話"
"2040011","營業部","高雄市大仁路１４１號","07 5513201"
"2040020","八德分社","高雄市八德一路３１６號","07 2371711"
"2040039","苓雅分社（兆豐代收處）","高雄市成功一路１５６號","07 3333121"
"2040048","新興分社","高雄市中正四路３７號","07 2313141"
"2040057","三民分社","高雄市建國三路３２７號","07 2871101"
"2040066","鼓山分社","高雄市鼓山二路１３１號","07 5611261"
"2040075","臨海分社","高雄市延平街２２號","07 5610141"
"2040084","前鎮分社","高雄市前鎮區凱旋四路１２８號","07 8218151"
"2040093","前金分社","高雄市中華三路１３２號","07 2888005"
"2040109","左營分社","高雄市左營大路３２７號","07 5817171"
"2040118","青年分社","高雄市青年一路１７９號","07 3353186"
"2040127","楠梓分社","高雄市楠梓區楠梓路８２號","07 3511121"
"2040136","三多分社","高雄市三多二路２２４號","07 7613103"
"2040145","灣子分社","高雄市建興路３９１號之１","07 3820366"
"2040154","天祥分社（國際代收處）","高雄市天祥一路１２７號","07 3427762"
"2040163","陽明分社","高雄市陽明路３６５號","07 3804260"
"2040172","武廟分社","高雄市武廟路５５號","07 7158711"
"2040181","瑞祥分社","高雄市前鎮區瑞北路６８號","07 7263471"
"2040190","右昌分社","高雄市軍校路７６１號","07 3657601"
"2040206","一心分社","高雄市前鎮區一心二路３９號","07 3363211"
