"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"215","花蓮第一信用合作社","存款類14位\n放款類13位","花蓮縣花蓮市中山路４７３號","03 8336111"
"通匯金融代號","支單位名稱","地址","電話"
"2150017","復興分社（光隆，日盛證券收付處）","花蓮縣花蓮市復興街１７號","03 8325151"
"2150026","自由分社","花蓮縣花蓮市自由街７２號","03 8351111"
"2150035","中華分社","花蓮縣花蓮市中華路４６９號","03 8525151"
"2150044","總社〈營業部〉","花蓮縣花蓮市中山路４７３號","03 8336111"
"2150053","美崙分社","花蓮縣花蓮市中美路２５８號","03 8226188"
"2150062","信義簡易型分社","花蓮縣花蓮市中華路１８０號","03 8361601"
"2150071","自強分社","花蓮縣花蓮市中山路７６５號","03 8563151"
"2150080","國光簡易型分社","花蓮縣花蓮市中正路３２號","03 8342011"
"2150099","鳳山分社","高雄縣鳳山市青年路二段３５０號","07 7772211"
"2150105","建國分社","花蓮縣花蓮市建國路二段２９２號","03 8566665"
"2150114","新秀簡易型分社","花蓮縣新城鄉北埔村北埔路１９７號","03 8269889"
"2150123","慶豐簡易型分社","花蓮縣花蓮市吉安路二段２８４號","03 8510761"
"2150132","台東分社","台東縣台東市更生路５６０號","089331111"
"2150141","仁武分社","高雄縣仁武鄉仁雄路１５號","07 3720101"
"2150150","橋頭分社","高雄縣橋頭鄉仕隆路６１、６３號","07 6120101"
