"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"216","花蓮第二信用合作社","14位","花蓮縣花蓮市光復街３６號","03 8351161"
"通匯金融代號","支單位名稱","地址","電話"
"2160016","營業部","花蓮縣花蓮市光復街３６號","03 8351161"
"2160025","中山分社","花蓮縣花蓮市中山路３４４號","03 8355711"
"2160034","主里分社","花蓮縣花蓮市中福路２３２號","03 8355111"
"2160043","美崙分社","花蓮縣花蓮市中美路２４０號","03 8227851"
"2160052","中正分社","花蓮縣花蓮市中正路５８號","03 8362141"
"2160061","富國分社","花蓮縣花蓮市中山路７３９號","03 8573661"
"2160070","田蒲分社","花蓮縣花蓮市中華路４６９∣４號","03 8532161"
"2160089","建國分社","花蓮縣吉安鄉自強路５５８號","03 8573911"
"2160098","壽豐分社","花蓮縣壽豐鄉中山路六段２６號","03 8654111"
"2160104","玉里分社","花蓮縣玉里鎮民族街８號","03 8980511"
"2160122","台東分社","台東縣台東市光明路５９號","089322001"
"2160131","大里分社","台中縣大里市中興路二段３３２－５號","04 24851001"
"2160140","太平分社","台中縣太平市中興東路１３６號","04 22709001"
