"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"606","北農中心所屬會員","","五股農林口農泰農八里農金農淡水農店農","02 29676789"
"通匯金融代號","支單位名稱","地址","電話"
"6060156","八里鄉農會","台北縣八里鄉訊塘村中山路二段３６６號","02 26102996"
"6060765","埤頭分部","台北縣八里鄉中正路５１號","02 86301230"
"6060824","龍形分部","台北縣八里鄉龍源村龍米路一段３３８號","02 26182345"
"6060064","三峽鎮農會","台北縣三峽鎮民生街１５４號","02 26711002"
"6060260","成福分部","台北縣三峽鎮成福路３２７號","02 26726329"
"6060558","橫溪分部","台北縣三峽鎮介壽路三段１７號","02 86763051"
"6060673","大埔分部","台北縣三峽鎮大埔路２９０∣２號","02 26716370"
"6061131","中正分部","台北縣三峽鎮大同路９８號之３","02 26741147"
"6061359","民生分部","台北縣三峽鎮民生街１５２－２號","02 26723637"
"6060097","土城市農會","台北縣土城市中正路５號","02 82615266"
"6060318","清水分部","台北縣土城市清水路１１４號","02 82615249"
"6060684","頂埔分部","台北縣土城市中央路四段２０８號","02 22687801"
"6060695","貨饒分部","台北縣土城市裕民路６６號","02 82615259"
"6060891","峰廷分部","台北縣土城市金城路三段２１３號","02 82615257"
"6060905","廣福分部","台北縣土城市廣明街３０號","02 89662586"
"6060112","五股鄉農會","台北縣五股鄉民義路一段１３號","02 22914060"
"6060329","興珍辦事處","台北縣五股鄉四維路１０５號","02 29826415"
"6060330","成州辦事處","台北縣五股鄉凌雲路一段３１號","02 22914067"
"6060709","德泰辦事處","台北縣五股鄉成泰路一段３號","02 29093063"
"6060950","五福辦事處","台北縣五股鄉工商路１９７號","02 22931839"
"6061083","德音辦事處","台北縣五股鄉成泰路一段１７７號","02 22923571"
"6061094","成德辦事處","台北縣五股鄉成泰路三段５７７巷３４號","02 22923632"
"6061175","成功辦事處","台北縣五股鄉成泰路三段３２１之１號","02 22931611"
"6060477","平溪鄉農會","台北縣平溪鄉嶺腳村中華路１５號","02 24951051"
"6060499","石門鄉農會","台北縣石門鄉石門村中央路２號","02 26381005"
"6060547","老梅分部","台北縣石門鄉老梅村老梅路２號","02 26381362"
"6060466","石碇鄉農會","台北縣石碇鄉潭邊村湳窟路６號","02 26631214"
"6060190","中和地區農會","台北縣中和市中和路３５號","02 22491000"
"6060444","中正分部","台北縣永和市得和路３６２∣３６４號","02 29467419"
"6060455","員山分部","台北縣中和市員山路４９３號","02 22238639"
"6060570","智光分部","台北縣永和市中正路１７９號","02 29459111"
"6060581","連城分部","台北縣中和市連城路３８６號","02 22269108"
"6060592","民享分部","台北縣中和市莒光路１１４號","02 29530280"
"6060732","錦和分部","台北縣中和市圓通路３３３號","02 22454550"
"6060743","仁愛分部","台北縣永和市仁愛路２４５∣２４７號","02 29230982"
"6061223","竹林分部","台北縣中和市竹林路１３４號","02 22312877"
"6061289","興南分部","台北縣中和市興南路一段１６７∣１６９號","02 29410981"
"6060145","坪林鄉農會","台北縣坪林鄉坪林街１０３號","02 26657227"
"6060189","新店地區農會","台北縣新店市光明街９８號","02 29106666"
"6060363","德安分部","台北縣新店市安康路二段１７７號","02 22115353"
"6060422","中正分部","台北縣新店市民族路１７７號","02 29126933"
"6060433","烏來辦事處","台北縣烏來鄉烏來村８６號","02 26616353"
"6061245","青潭辦事處","台北縣新店市北宜路二段８２－５號","02 22178893"
"6061326","安康辦事處","台北縣新店市安忠路４號","02 22123975"
"6060123","林口鄉農會","台北縣林口鄉林口路２９號","02 26011226"
"6060341","南勢分部","台北縣林口鄉文化路一段１２６號","02 26001225"
"6060846","北新庄分部","台北縣三芝鄉興華村７９號","02 26371212"
"6061290","三芝鄉農會","台北縣三芝鄉中山路一段６號","02 26363111"
"6060167","金山地區農會","台北縣金山鄉美田村中山路２６７號","02 24981100"
"6060352","萬里分部","台北縣萬里鄉瑪鍊路２６號","02 24921115"
"6060857","野柳分部","台北縣萬里鄉港東路６５∣１號","02 24922888"
"6060019","三重市農會","台北縣三重市重新路一段１號","02 29823466"
"6060606","溪美分部","台北縣三重市溪尾街１２號","02 29802855"
"6060710","力行分部","台北縣三重市力行路二段４號","02 29899984"
"6060721","三民分部","台北縣三重市三民街１２８號之２","02 29846125"
"6060916","光復分部","台北縣三重市光復路一段１７號","02 29952793"
"6060938","成功分部","台北縣三重市集美街１４８號","02 29743837"
"6061119","慈福分部","台北縣三重市仁愛街３８９號","02 29800388"
"6060134","泰山鄉農會","台北縣泰山鄉明志路一段２２８號","02 22977299"
"6060651","貴子分部","台北縣泰山鄉明志路三段１７５號","02 29034258"
"6060662","明志分部","台北縣泰山鄉明志路二段６９號","02 22964504"
"6060927","貴和分部","台北縣泰山鄉貴和村壽山路２６號","02 29086208"
"6061005","泰林分部","台北縣泰山鄉泰林路２段４８２號","02 29099195"
"6061016","泰友分部","台北縣泰山鄉明志路二段３１８號","02 29037801"
"6060031","淡水鎮農會","台北縣淡水鎮中正路４２之１號","02 26202290"
"6060798","中興分部","台北縣淡水鎮水源街一段５７號","02 26218639"
"6060802","竹圍分部","台北縣淡水鎮民生路２２號","02 28092004"
"6060813","水碓分部","台北縣淡水鎮中山北路一段５６號","02 26220677"
"6061061","福德分部","台北縣淡水鎮自強路２２３號","02 28082056"
"6061348","義山分部","台北縣淡水鎮淡金路三段３１１號","02 26237927"
"6061360","新興分部","台北縣淡水鎮新民街６９號","02 26202773"
"6060204","深坑鄉農會","台北縣深坑鄉深坑街４號","02 26623226"
"6061201","萬順辦事處","台北縣深坑鄉萬順村草地尾５５∣１號","02 26626006"
"6060178","瑞芳地區農會","台北縣瑞芳鎮逢甲路３９號","02 24972760"
"6060374","九份分部","台北縣瑞芳鎮基山街１２８號","02 24972402"
"6060385","四腳亭分部","台北縣瑞芳鎮大埔路１０８∣６號","02 24576810"
"6060396","雙溪辦事處","台北縣雙溪鄉大同路１７號","02 24931020"
"6060400","貢寮辦事處","台北縣貢寮鄉朝陽街５２號","02 24941227"
"6060411","澳底分部","台北縣貢寮鄉延平街５號","02 24901271"
"6060868","龍興分部","台北縣瑞芳鎮中正路２２之２號","02 24978975"
"6060961","福隆辦事處","台北縣貢寮鄉福隆街１６號","02 24991397"
"6060042","樹林市農會","台北縣樹林市鎮前街７７號","02 26862288"
"6060237","三多分部","台北縣樹林市中正路７６９號","02 26892361"
"6060248","山佳分部","台北縣樹林市中山路三段２３５號","02 26806023"
"6060259","柑園分會","台北縣樹林市寶園街１１號","02 26802801"
"6060754","保安分部","台北縣樹林市保安二街１３５號","02 26851100"
"6061027","東山分部","台北縣樹林市復興路４５２巷２８號","02 26877266"
"6061038","金寮分部","台北縣樹林市保安街二段６４號","02 26815677"
"6061120","圳安辦事處","台北縣樹林市俊英街１０５之１號","02 86882288"
"6061315","大同分部","台北縣樹林市中華路７６號","02 86852288"
"6061337","復興分部","台北縣樹林市復興路２９０號","02 26873368"
"6060101","蘆洲市農會","台北縣蘆洲市中山一路１２９號","02 82820777"
"6060569","灰嗂分部","台北縣蘆洲市長安街１１７號","02 28477533"
"6060835","成功分部","台北縣蘆洲市成功路１３４號","02 22855777"
"6060053","鶯歌鎮農會","台北縣鶯歌鎮建國路６６號","02 26706262"
"6060503","二橋分部","台北縣鶯歌鎮中正三路１６９號","02 26791890"
"6060514","鳳鳴分部","台北縣鶯歌鎮鶯桃路５３９號","02 26785501"
"6061197","永昌分部","台北縣鶯歌鎮鶯桃路１２９巷８號","02 26776661"
