"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"614","永靖農員林農秀水農二林農","","芳苑農埔心農竹塘農埤頭農","07 7439121"
"通匯金融代號","支單位名稱","地址","電話"
"6140087","二林鎮農會","彰化縣二林鎮儒林路二段２６０號","04 8961191"
"6140711","原斗分部","彰化縣二林鎮萬原路３號","04 8902016"
"6140799","挖仔分部","彰化縣二林鎮二溪路七段４６１號","04 8685213"
"6140858","中山分部","彰化縣二林鎮中山路１１６號３Ｆ","04 8950208"
"6141291","萬興分部","彰化縣二林鎮二溪路六段３６號","04 8682121"
"6140180","永靖鄉農會","彰化縣永靖鄉瑚璉村東門路９５號","04 8221161"
"6140696","永安分部","彰化縣永靖鄉西門路７４號","04 8220161"
"6140733","五福分部","彰化縣永靖鄉五福村中山路一段８５號","04 8220151"
"6140870","同安分部","彰化縣永靖鄉同安村永福路一段５１５號","04 8237479"
"6141028","永興分部","彰化縣永靖鄉東寧村永興路二段１５９－２號","04 8233950"
"6140261","竹塘鄉農會","彰化縣竹塘鄉竹元村東陽路一段１６號","04 8972243"
"6141017","長安分部","彰化縣竹塘鄉長安村東陽路二段１６０號","04 8971425"
"6140124","秀水鄉農會","彰化縣秀水鄉安東村中山路３２８號","04 7691321"
"6140320","福安分部","彰化縣秀水鄉福安村彰水路二段５０１號","04 7692031"
"6140478","馬鳴分部","彰化縣秀水鄉民生路２１８號","04 7694974"
"6140515","金興分部","彰化縣秀水鄉番花路２３７號","04 7692139"
"6141338","芳苑鄉農會","彰化縣芳苑鄉仁愛村斗苑路芳苑段１９５號","04 8984111"
"6141327","芬園鄉農會","彰化縣芬園鄉竹林村彰南路四段３３７號","0492522216"
"6140043","員林鎮農會","彰化縣員林鎮中正路４６２號","04 8358176"
"6140526","東山分部","彰化縣員林鎮山腳路四段９號","04 8313501"
"6140700","百果山分部","彰化縣員林鎮員水路一段２１２號","04 8311710"
"6140179","埔心鄉農會","彰化縣埔心鄉忠義北路１００號","04 8293171"
"6140559","舊館分部","彰化縣埔心鄉舊館村中興路２７號","04 8297861"
"6140593","明聖分部","彰化縣埔心鄉明聖路四段６５號","04 8291146"
"6140227","埤頭鄉農會","彰化縣埤頭鄉合興村斗苑西路９２號","04 8922211"
"6140401","路口厝分部","彰化縣埤頭鄉中和村溪林路３０３號","04 8894036"
"6140412","埤頭分部","彰化縣埤頭鄉埤頭村埤頭路５３號","04 8922075"
"6140423","芙朝分部","彰化縣埤頭鄉芙朝村芙朝路３２號","04 8925894"
