"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"616","莿桐；褒忠；崙背；古坑；二崙；四湖；西螺","","口湖；大埤；斗六；台西；","07 7439121"
"通匯金融代號","支單位名稱","地址","電話"
"6160115","二崙鄉農會","雲林縣二崙鄉崙西村中山路１０７號","05 5986001"
"6160274","油車分部","雲林縣二崙鄉油車村成功路２２號","05 5986007"
"6160285","永定分部","雲林縣二崙鄉永定村永定路６７號","05 5986008"
"6160171","口湖鄉農會","雲林縣口湖鄉湖東村４６號","05 7892701"
"6160311","（木＋宜）梧分部","雲林縣口湖鄉光明路２９∣１號","05 7907094"
"6160322","金湖分部","雲林縣口湖鄉中正路３３號","05 7972108"
"6160333","下崙分部","雲林縣口湖鄉福安路９３之２號","05 7991215"
"6160089","大埤鄉農會","雲林縣大埤鄉中山路２∣１號","05 5913631"
"6160252","怡然分部","雲林縣大埤鄉三民路２號","05 5913012"
"6160562","嘉興分部","雲林縣大埤鄉嘉興路９３∣１號","05 5913013"
"6160012","斗六市農會","雲林縣斗六市民生路２７３號","05 5322041"
"6160492","石榴分部","雲林縣斗六市石榴路７９∣３號","05 5573706"
"6160595","鎮南分部","雲林縣斗六市中山路１７３號","05 5353860"
"6160609","光興分部","雲林縣斗六市鎮北路１７６號","05 5343592"
"6160746","成功分部","雲林縣斗六市成功路３１７號","05 5322165"
"6160757","虎溪分部","雲林縣斗六市虎溪里西平路５７２號","05 5513610"
"6160056","斗南鎮農會","雲林縣斗南鎮中山路１１６號","05 5973822"
"6160218","石龜溪辦事處","雲林縣斗南鎮靖興里南生路１６號","05 5969373"
"6160458","西埤分部","雲林縣斗南鎮新厝７０∣８號","05 5969380"
"6160469","新光分部","雲林縣斗南鎮新光里正福路４２號","05 5969385"
"6160702","明昌分部","雲林縣斗南鎮南昌西路７８號","05 5969455"
"6160735","西岐分部","雲林縣斗南鎮西岐里大間路２８號","05 5969452"
"6160078","古坑鄉農會","雲林縣古坑鄉古坑村中山路５０號","05 5823102"
"6160230","永光分部","雲林縣古坑鄉永光村光昌路７５號","05 5821264"
"6160241","東和分部","雲林縣古坑鄉東和村文化路１２６號","05 5262784"
"6160137","台西鄉農會","雲林縣台西鄉中山路１２２號","05 6985301"
"6160296","崙豐分部","雲林縣台西鄉忠孝路７０號","05 6902712"
"6160643","牛厝分部","雲林縣台西鄉牛厝村成功路１０５∣１２號","05 6983857"
"6160665","蚊港分部","雲林縣台西鄉蚊港村蚊港路１０９號","05 6902879"
"6160160","四湖鄉農會","雲林縣四湖鄉中山西路９４號","05 7872008"
"6160300","飛沙分部","雲林縣四湖鄉大同路１００號","05 7723205"
"6160447","溪底分部","雲林縣四湖鄉溪底村民生路４號","05 7874681"
"6160573","林厝分部","雲林縣四湖鄉中華路１００號","05 7721304"
"6160698","泊子分部","雲林縣四湖鄉泊東村泊子路１３２之６號","05 7720806"
"6160034","西螺鎮農會","雲林縣西螺鎮延平路３５３號","05 5863621"
"6160403","埤源分部","雲林縣西螺鎮東興里１０６號","05 5866511"
"6160528","九隆分部","雲林縣西螺鎮九隆里４０號","05 5866531"
"6160539","和心分部","雲林縣西螺鎮埔心路６０號","05 5866521"
"6160540","建興分部","雲林縣西螺鎮建興路１３０號","05 5866541"
"6160621","中山分部","雲林縣西螺鎮中山路１２７號","05 5863631"
"6160023","虎尾鎮農會","雲林縣虎尾鎮和平路６８號","05 6323511"
"6160414","德興分部","雲林縣虎尾鎮德興路１６號","05 6336253"
"6160506","大屯分部","雲林縣虎尾鎮東屯里３６之１號","05 6651174"
"6160517","惠來分部","雲林縣虎尾鎮惠來里１０９號","05 6223478"
"6160610","頂溪分部","雲林縣虎尾鎮東興路１之２號","05 6220304"
"6160126","崙背鄉農會","雲林縣崙背鄉南陽村建國路３５號","05 6961116"
"6160713","豐榮分部","雲林縣崙背鄉豐榮村１０鄰１２３號","05 6552030"
"6160148","褒忠鄉農會","雲林縣褒忠鄉中民村自強路１００號","05 6972111"
"6160090","莿桐鄉農會","雲林縣莿桐鄉莿村中正路５４號","05 5846161"
"6160263","饒平分部","雲林縣莿桐鄉饒平村饒平南路７號","05 5843584"
"6160436","六合分部","雲林縣莿桐鄉六合村新庄路３８∣１號","05 5711325"
