"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"617","竹崎鹿草嘉市民雄溪口梅山義竹東石番路","","大林太保大埔朴子六腳水上布袋新港","07 7439121"
"通匯金融代號","支單位名稱","地址","電話"
"6170046","大林鎮農會","嘉義縣大林鎮中山路１３０號","05 2653121"
"6170264","吉林分部","嘉義縣大林鎮新興路５號","05 2652261"
"6170275","溝背分部","嘉義縣大林鎮義和里１鄰２之６號","05 2953931"
"6170286","大美分部","嘉義縣大林鎮大美里１４鄰１６８號","05 2954551"
"6170297","排路分部","嘉義縣大林鎮排路里５鄰８４號","05 2694552"
"6170781","中林分部","嘉義縣大林鎮中林里７０∣５號","05 2654524"
"6171467","中坑分部","嘉義縣大林鎮中坑里沙崙４鄰１２１號","05 2950529"
"6170172","蒜頭分部","嘉義縣六腳鄉蒜頭村１２５號","05 3804533"
"6170666","港尾寮分部","嘉義縣六腳鄉豐美村１６０號","05 3802033"
"6170677","六腳分部","嘉義縣六腳鄉六腳村３號","05 3781631"
"6170688","灣內分部","嘉義縣六腳鄉灣南村３１∣５號","05 3802049"
"6170703","更寮分部","嘉義縣六腳鄉正義村２１１號","05 3793630"
"6170806","六腳鄉農會","嘉義縣六腳鄉蒜頭村７∣２０號","05 3802816"
"6171434","蘇崙分部","嘉義縣六腳鄉蘇厝村２之３號","05 7812170"
"6170105","太保市農會","嘉義縣太保市太保里５８號","05 3711101"
"6170437","後潭分部","嘉義縣太保市後潭里３７４之７號","05 3711014"
"6170448","新埤分部","嘉義縣太保市新埤路６號","05 3611940"
"6170459","南新分部","嘉義縣太保市中山路一段２４５號","05 2373012"
"6170758","嘉太分部","嘉義縣太保市麻寮里麻太路３２∣１號","05 2375676"
"6171412","安東分部","嘉義縣太保市新埤路６號","05 3621022"
"6170116","水上鄉農會","嘉義縣水上鄉中和路１９號","05 2682010"
"6170460","成功分部","嘉義縣水上鄉三界村１５０號","05 2395514"
"6170471","南靖分部","嘉義縣水上鄉三鎮村３５號","05 2682015"
"6170482","大崙分部","嘉義縣水上鄉大崙村１３６∣１號","05 3711243"
"6170493","忠和分部","嘉義縣水上鄉中庄村７１∣１２０號","05 2890220"
"6170507","北回分部","嘉義縣水上鄉回歸村２１７號","05 2356502"
"6170518","柳林分部","嘉義縣水上鄉柳鄉村１００∣１４號","05 2683274"
"6170725","民生分部","嘉義縣水上鄉民生村立業街３巷２∣２號","05 2360386"
"6170035","布袋鎮農會","嘉義縣布袋鎮太平路１１６號","05 3472024"
"6170242","過溝分部","嘉義縣布袋鎮中安里６號","05 3451003"
"6170253","永安分部","嘉義縣布袋鎮東港里埔厝８６號","05 3471660"
"6170769","新厝分部","嘉義縣布袋鎮龍江里２８４號","05 3474090"
"6171375","新塭辦事處","嘉義縣布袋鎮復興里６７號","05 3431050"
"6170057","民雄鄉農會","嘉義縣民雄鄉中樂村民族路４２號","05 2267151"
"6170301","北斗分部","嘉義縣民雄鄉北斗村５６∣１號","05 2219748"
"6170312","山中分部","嘉義縣民雄鄉山中村７８之１號","05 2212862"
"6170323","菁埔分部","嘉義縣民雄鄉菁埔村１５２之１１號","05 2265372"
"6170714","秀林分部","嘉義縣民雄鄉秀林村１之５１號","05 2215380"
"6171478","三興分部","嘉義縣民雄鄉三興村陳厝寮２７號","05 2720233"
"6171489","興南分部","嘉義縣民雄鄉興南村頭橋５０號","05 2212413"
"6170024","朴子市農會","嘉義縣朴子市山通路１０２號","05 3794102"
"6170219","開元分部","嘉義縣朴子市開元路２６７號","05 3794120"
"6170220","文化分部","嘉義縣朴子市第二市場十棟２號","05 3794129"
"6170231","松梅分部","嘉義縣朴子市牛挑灣１５３號","05 3695021"
"6171353","大慷榔分部","嘉義縣朴子市大慷榔８０號","05 3794154"
"6171364","雙溪口分部","嘉義縣朴子市雙溪口１４８號","05 3794150"
"6170149","竹崎地區農會","嘉義縣竹崎鄉竹崎村中正路１１１號","05 2612120"
"6170574","內埔分部","嘉義縣竹崎鄉內埔村元興路１２９號","05 2541003"
"6170585","灣橋分部","嘉義縣竹崎鄉灣橋村灣橋１８９號","05 2790103"
"6170596","東義分部","嘉義縣竹崎鄉獅埜村火炭埔１９∣１號","05 2110003"
"6170699","大埔分部","嘉義縣大埔鄉大埔村大埔２５７號","05 2521410"
"6171423","石棹分部","嘉義縣竹崎鄉中和村石棹２２∣１５號","05 2561144"
"6171490","鹿滿分部","嘉義縣竹崎鄉紫雲村鹿寮崛３５號","05 2615781"
"6170079","東石鄉農會","嘉義縣東石鄉港前村６０號","05 3799184"
"6170356","東石分部","嘉義縣東石鄉元樹村１４７號","05 3731418"
"6170367","副瀨分部","嘉義縣東石鄉副瀨村１０鄰７９號","05 3732331"
"6170378","下楫分部","嘉義縣東石鄉下楫村８４－８號","05 3601451"
"6170389","西崙分部","嘉義縣東石鄉西崙村５６－３號","05 3451523"
"6170150","梅山鄉農會","嘉義縣梅山鄉梅南村中山路１２７號","05 2622100"
"6170600","瑞里分部","嘉義縣梅山鄉瑞里村１０號","05 2501030"
"6170611","太平分部","嘉義縣梅山鄉太平村４８號","05 2571052"
"6170622","太和分部","嘉義縣梅山鄉太和村蛤里味３７∣１號","05 2661074"
"6170091","鹿草鄉農會","嘉義縣鹿草鄉西井村２８８號","05 3752911"
"6170415","下潭分部","嘉義縣鹿草鄉下潭村４５９號","05 3651339"
"6170426","後土屈分部","嘉義縣鹿草鄉後土屈村後土屈６４－７號","05 3752497"
"6171331","重寮分部","嘉義縣鹿草鄉重寮村９０號","05 3752797"
"6171401","松山分部","嘉義縣鹿草鄉竹山村２１９號","05 3650152"
"6170138","番路鄉農會","嘉義縣番路鄉菜公店５９號","05 2592360"
"6170563","觸口分部","嘉義縣番路鄉觸口村觸口１３７之１號","05 2591314"
"6171320","隙頂分部","嘉義縣番路鄉公田村隙頂２４之２號","05 2586418"
"6170633","月眉分部","嘉義縣新港鄉月眉村２４號","05 3771369"
"6170644","大潭分部","嘉義縣新港鄉大潭村９１號","05 3743034"
"6170655","崙子分部","嘉義縣新港鄉南崙村１０５∣４號","05 3760045"
"6170817","新港鄉農會","嘉義縣新港鄉福德村登雲路１１１巷２號","05 3741148"
"6171261","安和分部","嘉義縣新港鄉安和村９２之１號","05 3770804"
"6170068","溪口鄉農會","嘉義縣溪口鄉民生街８０號","05 2691845"
"6170334","柴林分部","嘉義縣溪口鄉林腳村３９號","05 2691313"
"6170345","崙尾分部","嘉義縣溪口鄉美北村９∣３號","05 2691314"
"6171386","柳溝分部","嘉義縣溪口鄉柳溝村柳溝路４７號","05 2694100"
"6170080","義竹鄉農會","嘉義縣義竹鄉仁里村４２１號","05 3411301"
"6170390","過路分部","嘉義縣義竹鄉西過村４２７號","05 3437184"
"6170404","光榮分部","嘉義縣義竹鄉東光村１６２號","05 3421154"
"6171397","新店分部","嘉義縣義竹鄉新店村１２９之７號","05 3427310"
"6170013","吳鳳分部","嘉義市吳鳳北路２９１號","05 2242171"
"6170194","福全分部","嘉義市北港路２５號","05 2333950"
"6170208","北興分部","嘉義市北興街１７５之１號","05 2326108"
"6170862","嘉義市農會","嘉義市北港路２５１號","05 2331637"
"6171272","宣信分部","嘉義市宣信街２５９號","05 2237243"
"6171283","民生分部","嘉義市杭州三街１號","05 2254731"
