"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"618","永康西港六甲善化鹽水北門佳里將軍新營歸仁","","","07 7439121"
"通匯金融代號","支單位名稱","地址","電話"
"6180139","六甲鄉農會","台南縣六甲鄉建國街１４號","06 6983621"
"6180612","林鳳營辦事處","台南縣六甲鄉中社村林鳳營２１號","06 6983630"
"6180195","北門鄉農會","台南縣北門鄉北門村１２５號","06 7862004"
"6180818","溪底寮分部","台南縣北門鄉中樞村４２號","06 7861387"
"6180829","蚵寮分部","台南縣北門鄉保吉村３３９之１號","06 7863222"
"6181206","三慈分部","台南縣北門鄉三光村８０號","06 7850007"
"6180324","永康市農會","台南縣永康市中山南路６３５號","06 2321121"
"6181011","大灣分部","台南縣永康市大灣路２８１號","06 2716105"
"6181181","鹽行分部","台南縣永康市中正北路７５號","06 2530829"
"6181240","中華分部","台南縣永康市中華路３２號","06 2336587"
"6181262","崑山分部","台南縣永康市大灣路８４８號","06 2732156"
"6181343","龍潭分部","台南縣永康市自強路７２１號","06 2040910"
"6180243","玉井鄉農會","台南縣玉井鄉中正路１３９號","06 5742216"
"6181114","中華分部","台南縣玉井鄉中華路２２８號","06 5741271"
"6180162","西港鄉農會","台南縣西港鄉文化路２號","06 7952706"
"6180689","後營分部","台南縣西港鄉營西村１號","06 7952706#2"
"6180715","竹林分部","台南縣西港鄉竹林村１０４∣３號","06 7952706#2"
"6180069","佳里鎮農會","台南縣佳里鎮安西里和平街１６８號","06 7224496"
"6180416","佳興分部","台南縣佳里鎮興化里８鄰４８３之６號","06 7217964"
"6180427","子龍分部","台南縣佳里鎮子龍里９鄰子良廟１６５之１號","06 7217970"
"6180438","塭內分部","台南縣佳里鎮龍安里１鄰塭子內１０之２號","06 7217968"
"6180449","延平分部","台南縣佳里鎮頂廓里３鄰２８之３號","06 7217963"
"6181158","新生分部","台南縣佳里鎮忠仁里新生路８３號","06 7217967"
"6180184","將軍鄉農會","台南縣將軍鄉忠興村１８９號","06 7942201"
"6180771","苓仔寮分部","台南縣將軍鄉保源村苓保１０１號","06 7942545"
"6180782","將軍分部","台南縣將軍鄉將富村４８號","06 7942038"
"6180793","馬沙溝分部","台南縣將軍鄉長沙村５號","06 7930281"
"6180807","青鯤鯓分部","台南縣將軍鄉鯤鯓村２２２號之６","06 7920323"
"6180081","善化鎮農會","台南縣善化鎮中山路２４２號","06 5836111"
"6180450","東關里分部","台南縣善化鎮大信街１號","06 5836111"
"6180461","六分寮分部","台南縣善化鎮六德里３３３之２號","06 5838020"
"6181365","茄拔分部","台南縣善化鎮嘉北里茄拔３５２之１０號","06 5853400"
"6180025","新營市農會","台南縣新營市中山路１２３號","06 6351611"
"6180335","太子宮分部","台南縣新營市太北里１４０∣３號","06 6523505"
"6180346","延平分部","台南縣新營市復興路１號","06 6351611"
"6181066","三民分部","台南縣新營市三民路３６∣１４號","06 6351611"
"6181217","中正分部","台南縣新營市埤寮里２號","06 6353607"
"6181402","楠西鄉農會","台南縣楠西鄉楠西村中正路８８號","06 5751612"
"6180298","歸仁鄉農會","台南縣歸仁鄉八甲村９號","06 2302101"
"6180966","大潭武東辦事處","台南縣歸仁鄉武東村５∣２號","06 2781544"
"6180977","大廟分部","台南縣歸仁鄉大廟村７５∣６號","06 2712447"
"6180988","新市場分部","台南縣歸仁鄉中山路１８４號","06 2304158"
"6181239","歸南分部","台南縣歸仁鄉中山路７９６號","06 2395029"
"6180036","鹽水鎮農會","台南縣鹽水鎮西門路２１號","06 6521026"
"6180357","歡雅分部","台南縣鹽水鎮歡雅里２６號","06 6552263"
"6180368","圣頭港辦事處","台南縣鹽水鎮圣頭港１９９∣１號","06 6892044"
