"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"621","壽豐本會；吉安本會；新秀本會；富里本會","","","07 7439121"
"通匯金融代號","支單位名稱","地址","電話"
"6210021","吉安鄉農會","花蓮縣吉安鄉吉安村１１８號之５","03 8521151"
"6210102","仁里分部","花蓮縣吉安鄉仁里村中正路二段２４號","03 8523103"
"6210227","北昌分部","花蓮縣吉安鄉北昌村建國路一段１５７號","03 8576427"
"6210238","宜昌分部","花蓮縣吉安鄉宜昌村中華路二段４８號","03 8529273"
"6210043","富里鄉農會","花蓮縣富里鄉富里村中山路１３５號","03 8832111"
"6210135","東竹分部","花蓮縣富里鄉竹田村１號","03 8821039"
"6210146","東里分部","花蓮縣富里鄉東里村大庄路１０１號","03 8861109"
"6210098","新秀地區農會","花蓮縣新城鄉北埔村樹人街２號","03 8267751"
"6210191","新城分部","花蓮縣新城鄉中山路２∣３號","03 8611047"
"6210205","嘉里分部","花蓮縣新城鄉嘉里二路１２號","038266835"
"6210216","秀林分部","花蓮縣秀林鄉秀林村秀林８９號","03 8611074"
"6210032","壽豐鄉農會","花蓮縣壽豐鄉壽山路１９號","03 8653101"
"6210124","志學分部","花蓮縣壽豐鄉中山路二段２６７號","03 8661350"
"6210331","豐裡分部","花蓮縣壽豐鄉豐裡村中山路７２巷３７號","03 8652105"
