"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"622","池上成功長濱關山鹿野東河太麻里台東地區","","","07 7439121"
"通匯金融代號","支單位名稱","地址","電話"
"6220088","太麻里地區農會","台東縣太麻里鄉太麻里街１０６號","089781733"
"6220170","美和分部","台東縣太麻里鄉美和村８７∣３號","089511550"
"6220181","金崙分部","台東縣太麻里鄉金崙村３１８號","089771027"
"6220192","大武分部","台東縣大武鄉大武街８７號","089792993"
"6220066","台東地區農會","台東縣台東市更生北路１１８號","089223511"
"6220099","豐里分部","台東縣台東市中華路三段１６８號","089331946"
"6220125","台東分部","台東縣台東市文化街３７號","089310127"
"6220136","知本分部","台東縣台東市知本路三段２０３號","089512364"
"6220147","綠島分部","台東縣綠島鄉南寮村１８８號","089672573"
"6220158","初鹿分部","台東縣卑南鄉明峰村忠孝路１４６號","089571260"
"6220217","太平分部","台東縣卑南鄉太平路１４６號","089380045"
"6220228","蘭嶼分部","台東縣蘭嶼鄉椰油村忠孝街１６８號","089732039"
"6220284","新園分部","台東縣台東市中興路六段８６２號","089381488"
"6220022","成功鎮農會","台東縣成功鎮中華路１３９號","089851102"
"6220206","忠孝分部","台東縣成功鎮美山路１３９之２號","089871148"
"6220251","信義分部","台東縣成功鎮都歷路２４６之１號","089841268"
"6220033","池上鄉農會","台東縣池上鄉福源村中山路３０２號","089862010"
"6220044","東河分部","台東縣東河鄉東河村南東河３８０號","089896040"
"6220103","東河鄉農會","台東縣東河鄉都蘭村都蘭２０３號","089531202"
"6220114","泰源分部","台東縣東河鄉泰源村６１之２號","089892103"
"6220055","長濱鄉農會","台東縣長濱鄉長濱村５８號","089832089"
"6220077","鹿野地區農會","台東縣鹿野鄉鹿野村中華路４１號","089550556"
"6220169","瑞源分部","台東縣鹿野鄉瑞源村光復路２號","089581433"
"6220240","瑞豐分部","台東縣鹿野鄉瑞豐村中山路７５號","089812620"
"6220011","關山鎮農會","台東縣關山鎮和平路７８號","089811681"
"6220239","海端分部","台東縣海端鄉海端村山界路２６號","089931208"
