"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"623","北農中心所屬會員","","景美區農","02 29676789"
"通匯金融代號","支單位名稱","地址","電話"
"6230023","士林區農會","台北市士林區文林路３４２號","02 28838949"
"6230090","社子分會","台北市士林區社子街１６２號","02 28129591"
"6230148","文林分會","台北市大北路６５號","02 28812247"
"6230159","天母分會","台北市士東路９７號","02 28336399"
"6230207","陽明山分部","台北市格致路２６號","02 28619003"
"6230229","延平分部","台北市延平北路八段１３４號","02 28102198"
"6230034","內湖區農會","台北市內湖路二段３３４號","02 27900138"
"6230104","潭美分部","台北市新明路２２０號","02 27911812"
"6230171","東湖分部","台北市東湖路１４４號","02 26314947"
"6230182","西湖分部","台北市內湖區內湖路一段３２３巷５弄１號","02 26270447"
"6230274","民權分部","台北市民權東路六段１０８號","02 27955177"
"6230056","木柵區農會","台北市木柵路三段７７號","02 29398021"
"6230252","木新分部","台北市木新路三段１號","02 29399011"
"6230012","北投區農會","台北市光明路９６號","02 28924185"
"6230078","石牌分部","台北市石牌路二段１１０號","02 28215147"
"6230089","關渡分部","台北市知行路２８５號","02 28582293"
"6230126","立農分部","台北市北投區吉利街１３１號","02 28222491"
"6230137","大屯分部","台北市中和街３３４號","02 28933126"
"6230241","福興分部","台北市北投區文林北路１０４號","02 28276301"
"6230045","南港區農會","台北市南港路一段１７３號","02 27836121"
"6230115","中研分部","台北市南港區舊庄街一段３５號","02 26517599"
"6230067","景美區農會","台北市文山區景文街１號","02 29312113"
