"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"625","台中市農會","存款類13位","台中市向上路一段９５號","04 23023560"
"通匯金融代號","支單位名稱","地址","電話"
"6250014","台中市農會信用部","台中市向上路一段９５號２樓","04 23023560"
"6250025","西屯分部","台中市西屯路二段３０７號","04 27013275"
"6250036","北屯分部","台中市北屯路１０４號","04 22332298"
"6250047","南屯分部","台中市南屯路二段１１６號","04 23891181"
"6250058","四民分部","台中市昌平路二段１１２號","04 24224193"
"6250069","西區分部","台中市向上路一段９５號１樓","04 23023560"
"6250070","東區分部","台中市旱溪街８９號","04 22123627"
"6250092","南區分部","台中市復興路三段１４７號","04 22251260"
"6250117","北區分部","台中市北區興進路７２號","04 22344490"
"6250139","軍功分部","台中市軍功路６４號","04 24362806"
"6250140","大坑分部","台中市東山路二段２７號","04 22392466"
