"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"700","中華郵政股份有限公司","存簿類14位\n劃撥類 8位","台北市金山南路二段５５號","02 23931261"
"通匯金融代號","支單位名稱","地址","電話"
"7000010","郵政劃撥儲金","台北市金山南路二段５５號","02 23925432"
"7000021","郵政存簿儲金","台北市金山南路二段５５號","02 23925432"
"7000001006","台北北門郵局(台北901支)","10012 台北市中正區忠孝西路1段114號","(02)2361-5752"
"7000001010","台北東門郵局(台北1支)","10061 台北市中正區新生南路1段162、164號1樓","(02)2394-7576"
"7000001023","台北漢中街郵局(台北2支)","10846 台北市萬華區漢中街173號","(02)2361-6809"
"7000001037","台北西園郵局(台北3支)","10847 台北市萬華區長沙街2段156、158、160、162號","(02)2331-4524"
"7000001041","台北龍山郵局(台北4支)","10851 台北市萬華區廣州街67號","(02)2306-4755"
"7000001054","台北南海郵局(台北5支)","10075 台北市中正區重慶南路2段43號","(02)2396-3142"
"7000001068","台北螢橋郵局(台北6支)","10083 台北市中正區廈門街76號","(02)2368-4714"
"7000001071","台北青田郵局(台北7支)","10644 台北市大安區和平東路1段155號","(02)2321-4288"
"7000001085","台北復興橋郵局(台北8支)","10041 台北市中正區忠孝西路1段1號","(02)2311-4421"
"7000001099","台北中山郵局(台北9支)","10444 台北市中山區中山北路1段142號","(02)2542-6403"
"7000001101","台北迪化街郵局(台北10支)","10343 台北市大同區迪化街1段38號","(02)2556-0519"
"7000001114","台北圓環郵局(台北11支)","10356 台北市大同區重慶北路2段15號","(02)2556-1703"
"7000001128","行政院郵局(台北12支)","10051 台北市中正區北平東路2號(行政院內)","(02)2321-4874"
"7000001131","台北公館郵局(台北13支)","10673 台北市大安區台北捷運公館站第3出入口B1","(02)2365-9518"
"7000001145","國史館郵局(台北14支)","10048 台北市中正區博愛路168號之1","(02)2331-0962"
"7000001159","總統府郵局(台北15支)","10048 台北市中正區重慶南路1段122號(總統府內)","(02)2311-0859"
"7000001176","台北雙連郵局(台北17支)","10449 台北市中山區中山北路2段96號","(02)2541-4332"
"7000001180","台北松山郵局(台北18支)","10566 台北市松山區八德路4段626號","(02)2767-4928"
"7000001205","台北法院郵局(台北20支)","10048 台北市中正區博愛路127號(司法大廈內)","(02)2331-4925"
"7000001219","台北台北橋郵局(台北21支)","10357 台北市大同區民權西路246號","(02)2557-8538"
"7000001222","台北師大郵局(台北22支)","10610 台北市大安區和平東路1段162號(師範大學內)","(02)2363-5053"
"7000001236","台大郵局(台北23支)","10617 台北市大安區羅斯福路4段1號(台灣大學內)","(02)2363-3435"
"7000001240","台北仁愛路郵局(台北24支)","10651 台北市大安區仁愛路3段47號","(02)2771-1497"
"7000001253","立法院郵局(台北25支)","10051 台北市中正區濟南路1段1號","(02)2391-7844"
"7000001267","台北信維郵局(台北26支)","10682 台北市大安區信義路4段74號","(02)2707-7130"
"7000001271","台北建北郵局(台北27支)","10479 台北市中山區建國北路2段33號","(02)2502-0944"
"7000001284","士林郵局(台北28支)","11163 台北市士林區文林路162號","(02)2881-8743"
"7000001298","文山景美郵局(台北29支)","11670 台北市文山區羅斯福路6段389號","(02)2931-2010"
"7000001300","台北古亭郵局(台北30支)","10084 台北市中正區南昌路2段232號","(02)2367-2165"
"7000001313","台北東園郵局(台北31支)","10869 台北市萬華區東園街148、150號","(02)2309-9202"
"7000001327","台北光華郵局(台北32支)","10666 台北市大安區新生北路1段7之2號","(02)2741-0600"
"7000001331","台北南陽郵局(台北33支)","10047 台北市中正區信陽街8號","(02)2361-3711"
"7000001344","台北中崙郵局(台北34支)","10488 台北市中山區復興北路40號","(02)2771-1401"
"7000001358","台北莒光郵局(台北35支)","10862 台北市萬華區莒光路210號","(02)2302-4644"
"7000001361","台北光復郵局(台北36支)","10555 台北市松山區八德路3段240號","(02)2570-1157"
"7000001375","台北大直郵局(台北37支)","10465 台北市中山區北安路518巷14弄18、20號","(02)2533-4543"
"7000001392","台北重南郵局(台北39支)","10044 台北市中正區忠孝西路1段120號","(02)2331-3075"
"7000001421","士林社子郵局(台北42支)","11165 台北市士林區延平北路5段150號","(02)2812-2884"
"7000001435","台北三張犁郵局(台北43支)","10692 台北市大安區信義路4段337號","(02)2709-6837"
"7000001449","台北成功郵局(台北44支)","10670 台北市大安區四維路198巷38弄12號","(02)2704-3862"
"7000001452","松山機場郵局(台北45支)","10548 台北市松山區敦化北路338號B1","(02)2713-3365"
"7000001466","台北長安郵局(台北46支)","10455 台北市中山區長安東路2段97號","(02)2506-8771"
"7000001470","台北大同郵局(台北47支)","10364 台北市大同區承德路3段83號","(02)2597-4508"
"7000001483","台北西松郵局(台北48支)","10569 台北市松山區南京東路5段311號","(02)2769-7535"
"7000001497","台北市府郵局(台北49支)","11008 台北市信義區市府路1號地下2樓(台北市政府內)","(02)2720-0690"
"7000001509","台北大龍峒郵局(台北50支)","10371 台北市大同區重慶北路3段338號","(02)2597-5098"
"7000001512","台北五分埔郵局(台北51支)","11086 台北市信義區松德路300號","(02)2727-3686"
"7000001526","士林天母郵局(台北52支)","11151 台北市士林區中山北路7段130號","(02)2871-8271"
"7000001530","台北光武郵局(台北53支)","10691 台北市大安區大安路1段52巷16號","(02)2781-6693"
"7000001543","台北吳興郵局(台北54支)","11050 台北市信義區莊敬路418號之1","(02)2720-0060"
"7000001557","台北松江路郵局(台北55支)","10468 台北市中山區松江路364號","(02)2521-6681"
"7000001561","台北延壽郵局(台北56支)","10572 台北市松山區民生東路5段12號","(02)2756-7232"
"7000001574","台北六張犁郵局(台北57支)","10674 台北市大安區和平東路3段208號","(02)2733-5532"
"7000001588","台北小南門郵局(台北58支)","10066 台北市中正區廣州街15號","(02)2375-9856"
"7000001591","故宮郵局(台北59支)","11143 台北市士林區至善路2段221號(故宮博物院內)","(02)2881-8410"
